"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","The law which explained above mentioned indicated the ban on production smoking and any kind of usage and the warning on cigarette packets from MOPH","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","élaboration  de nouvelles dispositions sur la composition des produits du tabac  en vue de compléter et modifier   le décret exécutif de 2004 relatif à la réglementation et la fabrication des produits du tabac.","Un projet , modifiant et complétant le décret exécutif de 2004 relatif à la règlementation et la fabrication des produits du tabac en vue dintroduction de nouvelles disposition sur la composition des produits du tabac est en cours délaboration","Answer not provided","WHO African Region"
"4","Angola","The tests and measurements on manufactured tobacco products are being carried out by the Ministry of Agriculture.","The tests and measurements on manufactured tobacco products are being carried out by the Ministry of Agriculture.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing.","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Tasmanian legislation and Ministerial declarations in the Australian Capital Territory, Northern Territory, South Australia, New South Wales, and Victoria have prohibited the retail sale of fruit and confectionary flavoured cigarettes. Relevant Ministerial declarations are published in the relevant state and territory government Gazette. Western Australian legislation currently prohibits the display of these products, and a Bill is currently before the State Parliament which includes provisions to align with other jurisdictions.

The Australian Government Department of Health is in the early stage of considering options and developing a regulation impact statement for implementation of the WHO FCTC Partial Guidelines for Article 9 (relating to regulation of the contents of tobacco products) and Article 10 (relating to regulation of tobacco product disclosures), to reduce the harmful effects of tobacco use.","Tasmanian legislation and Ministerial declarations in the Australian Capital Territory, Northern Territory, South Australia, New South Wales, Western Australia and Victoria have prohibited the retail sale of fruit and confectionary flavoured cigarettes. Relevant Ministerial declarations are published in the relevant state and territory government Gazette. 
The Australian Government Department of Health is in the early stage of considering options and developing a regulation impact statement for implementation of the World Health Organization Framework Convention on Tobacco Control (WHO FCTC) Partial Guidelines for Article 9 (relating to regulation of the contents of tobacco products) and Article 10 (relating to regulation of tobacco product disclosures), to reduce the harmful effects of tobacco use.","Tasmanian legislation and Ministerial declarations in the Australian Capital Territory. Northern Territory. South Australia. New South Wales. Western Australia and Victoria have banned the retail sale of fruit and confectionary flavoured cigarettes. Relevant Ministerial declarations are published in the relevant state and territory government Gazette. Please see Annex 1 for links to relevant legislation and further information.
The Australian Government Department of Health is developing a regulation impact statement on options for further implementation of the World Health Organization Framework Convention on Tobacco Control (WHO FCTC) Partial Guidelines for Article 9 (relating to regulation of the contents of tobacco products) and Article 10 (relating to regulation of tobacco product disclosures). to reduce the harmful effects of tobacco use.","WHO Western Pacific Region"
"8","Austria","Following the transposition of the EU Tobacco Products Directive (TPD II) into national law, the Austrian Tobacco Act was amanded in May 2016 concerning the regulation of the contents/emission of tobacco
products including novel tobacco products such as e-cigarettes (in particular: ban of products with characterising flavours, transitional period for flavoured products with market share","Austria currently finalizes the transposition of the EU Tobacco Products Directive (TPD II) into national law: This will result in an amendment of the Austrian Tobacco Act concerning the regulation of the contents/emission of tobacco
products (in particular: ban of products with characterising flavours, transitional period for flavoured products with market share","Austria is already preparing for the transposition of the EU Tobacco Products Directive (TPD II) into national law: This will result in an amendment of the Austrian Tobacco act concerning the regulation of the contents/emission of tobacco products (in particular: ban of products with characterising flavours transitional period for flavoured products with market share","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013) addresses regulation of the contents of tobacco products","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","By end of 2015, tobacco testing lab was established in Public Health Directorate laboratory. the lab is equipped with machines to test smoking tobacco (cigarettes)contents and emissions. They are still trying to provide machines to fully test other types of tobacco products such as Dokha and water pipe.","By end of 2015, tobacco testing lab was established in Public Health Directorate laboratory. the lab is equipped with machines to test smoking tobacco (cigarettes)contents and emissions. They are still trying to provide machines to test other types of tobacco products such as Dokha and water pipe.","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","No progress within the last 2 years","No progress within the last 2 years","Answer not provided","WHO Region of the Americas"
"14","Belarus",". Принят и с 15 мая 2016 года вступил   в силу технический регламент Таможенного союза ""Технический регламент на табачную продукцию"" (ТР ТС 035/2014). В настоящее время продолжается работа над проектом решения Совета Евразийской экономической комиссии «Об утверждении формы отчета о составе реализованных на территории государства – члена Евразийского экономического союза в течение отчетного календарного года табачных изделий и выделяемых ими веществах»","Требования к сигаретам из табака изложены: ГОСТ 3935-2000 ""Сигареты. Общие технические условия"". Последние изменение к стандарту утверждено в декабре 2008 г.; ГОСТ 1505-2001 ""Папиросы. Общие технические условия""; ГОСТ 8699-76 ""Сигары. Технические условия""; ГОСТ 858-2000 ""Табак курительный. Общие технические условия""; ГОСТ 7823-2000 ""Табак трубочный. Общие технические условия"". Принят и с 15 мая 2016 года вступает   в силу технический регламент Таможенного союза ""Технический регламент на табачную продукцию"" (ТР ТС 035/2014).","Requirements for cigarettes of tobacco contained GOST 3935-2000 '' Cigarettes. General technical conditions'' . Latest revision of the standard was approved in December 2008; GOST 1505-2001 '' cigarettes . General technical conditions'' ; GOST 8699-76 '' Cigars . Specifications''; GOST 858-2000 ''Tobacco smoking . General technical conditions'' ; GOST 7823-2000 '' Pipe tobacco . General technical conditions'' . Currently a technical regulation of the Customs Union '' Technical regulations for tobacco products '' the requirements of which are required for 3 of the Customs Union.","WHO European Region"
"15","Belgium","La nouvelle directive européenne 2014/40/UE est dapplication depuis le 20 mai 2016.","","Pas de changements concernant ces aspects depuis le dernier rapport. La Belgique a toujours un arrêté royal listant les ingrédient autorisés. Il s’agit d’une liste à la fois positive et négative. Des niveaux maximum de goudrons CO et nicotine sont toujours imposés et régulièrement contrôlés.","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","Larrêté interministériel N°019 du 24 mai 2011 précisant les normes ISO en matière de production de commercialisation et de consommation des cigarettes et autres produits du tabac en République du Bénin stipule en son article 2 chaque fabricant ou importateur doit chaque année pour chaque marque de produit de tabac quil fabrique ou importe soumettre au Ministère de la Santé les résultats des tests effectués dans les laboratoires locaux ou étrangers accrédités sur la base des normes ISO 4387 pour le goudron ISO 10315 pour la nicotine et ISO 8454 pour le monoxyde de carbone.","WHO African Region"
"18","Bhutan","Cultivate, Harvest, Manufacture, sale, and distribution of tobacco and tobacco products are banned. The content of tobacco and tobacco products is measured only for the purpose of import for personal consumption.","Answer not provided","Sec-16 of the tobacco control act states that all tobacco and tobacco products imported for personal consumption shall show printed labels displaying the information on relevant constituents and emissions.","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","La propuesta de Ley actualizada y presentada por el Organo Legislativo, contempla la reglamentación del contenido de productos de tabaco, haciendo principal hincapié en saborizantes.","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Regulation of the content and emissions of tobacco products is covered by Federation BiH and Republic of Srpskas tobacco control laws and bylaws through which is mandatory to use information on content of tobacco product and publish it on packages of all tobacco products. In lack of independent laboratories for testing and measuring the contents of tobacco products, main testing and measuring of content of tobacco products is covered by domestic or foreign tobacco products manufacturers.","Answer not provided","In 2011 by State Authority for taxation as well entity Ministry of Trade is enforced Rule on packaging of tobacco products with mandatory placement of all information''s related tobacco ingredients. All exported tobacco products are suppose to be controlled by responsible authorities with priority of need for establishment of state accredited laboratories for control of tobacco ingredients independently from tobacco industry.
 Regulating the content and emissions of tobacco products is covered by Republic of Srpska''s tobacco control bylaw through which is mandatory to use informations on content of tobacco product and publish it on packages of all tobacco products. In lack of undependent laboratories for testing and measuring the contents of tobacco products main testing and measuring of content of tobacco products is covered by domestic or foreign tobacco products manufacturers.","WHO European Region"
"21","Botswana","International guidelines and standards are used in this case. The repeal of the Tobacco Control Bill  addressed article 9 in a comprehensive way. If found necessary, a standard (specification) will be developed.","Report not provided","Report not provided","WHO African Region"
"22","Brazil","• Clearer definitions of the different types of tobacco products;
• Expansion of the obligation to analyze emissions of products for other types of tobacco products, in addition to cigarettes;
• Inclusion of new information that must be contained in the analytical reports presented at the time of registration / renewal of registration;
• Increase the list of substances submitted by tobacco industry to Anvisa.","In the last two years, there haven´t been changes in the Brazilian sanitary legislation regarding the implementation of Article 9.","Additives banned in all tobacco products. including menthol. in 2012 through a resolution of National Agency of Sanitary Surveillance (ANVISA). This prohibition is suspended due to a tobacco industry lawsuit. ANVISA created a group of specialists to study and analyse the impact these additives in smoker''s health.","WHO Region of the Americas"
"23","Brunei Darussalam","No change.","Report not provided","No change","WHO Western Pacific Region"
