"","Party","2018","2016","2014","Region"
"1","Afghanistan","nowadays government encourages people to cultivate saffron rather than tobacco, and provide them support and assistance to do that","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","La culture du tabac  est  et reste très  faible dans notre pays.","La culture du tabac  est  et reste très  faible dans notre pays.","La culture du tabac demeure très faible en Algérie.","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"8","Austria","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Tobacco production is not an established industry locally","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Barbados is not a tobacco producing country","Barbados is not a tobacco producing country","Answer not provided","WHO Region of the Americas"
"14","Belarus","Не изменились","Не изменились","Answer not provided","WHO European Region"
"15","Belgium","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","il nexiste pas au Bénin de grandes cultures de tabac jusquà ce jour","il nexiste pas au Bénin de grandes cultures de tabac","le bénin ne cultive pas le tabac à grande échelle","WHO African Region"
"18","Bhutan","Not Applicable","Not Applicable","The law provides that no person in the country shall cultivate harvest or manufacture tobacco or tobacco products","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"21","Botswana","The country does not grow tobacco, although there are only few manufacturers. They have not been aproached for alternatives including their employees. The retailers were made aware of the health effects of tobacco use and made to understand that they are contributing in killing people who are their customers(smokers) and were advised of available alternatives.","Report not provided","Report not provided","WHO African Region"
"22","Brazil","- A seminar on diversification in tobacco growing areas was held in Florianppolis, from 5 to 7 June 2017. The event was organized by the Special Secretariat for Family Agriculture and Agrarian Development (SEAD) and Executive Secretariat of the National Commission for the Implementation of the Framework Convention for Tobacco Control, with the support of the Secretariat of the Framework Convention on Tobacco Control of the World Health Organization. Solid collective reactions were carried out by a group of social actors engaged and committed to this important and urgent issue for Brazilian society.
- Work and research plans of interest to article 17 are being prepared for its improvement .
- Political and technical visits, as well as interlocutions of interest to article 17 were carried out in the National Congress.","The ministry of Agrarian Development (MDA) contracts public and private extension entities through public calls to provide technical assistance and rural extension services for family farmers with the aim of promoting diversification of areas cultivated with tobacco.
On 2013 MDA contracted extension services to assist 11.200 tobacco producers in the Southern States of Rio Grande do Sul, Santa Catarina and Paraná, where is concentrated 98% of tobacco for cigarettes produced in Brazil.
These are 3 years contracts and include subjects related to “diversification of production and income, commercialization, value adding, farmer organization, and others related to the FCTC, such as, the health of tobacco producers, protection and conservation of natural resources, and awareness raising about the objectives of the FCTC. 
Apart from the contracts on diversification, MDA also contracted extension services on municipalities that produce tobacco, to assist another 33.400 families on other topics such as, agroecology, dairy activities, coffee production, and sustainability.
Furthermore, it has a specific item on its budget that supports training of farmers and extension agents, implementation of demonstration units on economic viable alternatives to tobacco, and research concerning diversification.","The National Program for Activities Diversification in Tobacco Growing Areas under the coordination of the Ministry of Agrarian Development (MDA ) was launched in 2005. It aims to reduce the tobacco growers economic dependence on tobacco productive chain by supporting the implementation of projects of rural extension . training and research to implement strategies for productive diversification that create new opportunities for income generation and quality of life for families .Its principles are associated with a systemic view of the famrs . with actions to strengthen sustainable development . enhance the food security of families . adopt diversified production systems that mobilize the effective participation of families including youth and women in the planning process promoting community cooperatives and association to guarantee market for new products..The Program is managed collectively and held by the institutions that comprise the Thematic Network of Diversification in Tobacco growing Family Farming. .By 2012 the program was invested more than 12 million US dollars to provide Technical Assistance and Rural Extension ( Ater ) . training and research to generate references for the diversification process Between 2011 and 2012. 75 projects were implemented in 6 tobacco growing states ( RS . SC . PR . BA . AL and SE ) in partnership with 50 NGOs and civil society . universities . research centers . associations of producers . benefiting more than 55 000 families . In 2012 . the Ministry of Agrarina Development launched a specific call for projects of Ater to promote diversification in tobacco growing areas prioritizing 95 major tobacco growing municipalities. benefiting 10.000 households producing tobacco . with investments of over 5 million US dollars.
In 2012 MDA sponsored a survey on the situation of tobacco farmers in the tobacco supply chain and their interest to shift for other crops or activities.","WHO Region of the Americas"
"23","Brunei Darussalam","Answer not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"24","Bulgaria","Taking into account the changed economic and social and institutional environment and its influence on the tobacco producers, the main strategic objective of Bulgaria is formulated in the following way to support local communities in areas where tobacco is the main livelihood by creating preconditions for sustainable development of the sector first, and second, to diversify the local economy. Two priorities have been defined to implement this strategic goal:
-Creating prerequisites for sustainable tobacco production, adapted to market changes
-Diversification of agricultural production and development of industrial activities by industry and services to create new jobs.","2013 – 21 393 hа engaged in tobacco;
2014 – 13 794 hа engaged in tobacco;
2015 г. – 14 095 hа engaged in tobacco (provisional data).
Data are provided by those first processors of raw tobacco and reported to the European Commission","Tobacco growers are supported under the Rural development program in two directions: 
• Diversification into non-agricultural activities in rural areas; 
• Diversification into other agronomic activities within the farm.
http://prsr.government.bg/","WHO European Region"
"25","Burkina Faso","Answer not provided","Answer not provided","Cela concerne la culture traditionnelle qui est pratiquée aux alentours de quelques concessions juste pour la consommation familiale.","WHO African Region"
"26","Burundi","Report not provided","Answer not provided","Report not provided","WHO African Region"
"27","Cambodia","Answer not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"28","Cameroon","La promotion des cultures de rente et vivriers dans le cadre des programmes du Ministère en charge de lagriculture et du développement rural","La promotion des cultures de rente et vivriers dans le cadre des programmes du Ministère en charge de lagriculture et du développement rural","L’absence d’une loi nationale ne nous permet pas de mettre en place cet aspect mais elle reste évoquée","WHO African Region"
"29","Canada","Tobacco Transition Program:

In 2009, Agriculture and Agri-Food Canada introduced the Tobacco Transition Program, which was aimed at removing the outdated tobacco quota system in Ontario. The program also included funds to help tobacco growing regions of Southern Ontario to transition to a non-tobacco economy.

This program is now completed and the quota system has been removed.  

Current Grant and Contribution Programming:

At this time there are no tobacco specific federal only grant and contribution programs administered by Agriculture and Agri-Food Canada. Moreover, there are no cost-shared tobacco specific programs being delivered by provinces and territories under Canada’s current national agriculture policy framework (Growing Forward 2), under which the federal-provincial-territorial governments share the costs of a wide range of agricultural programs. 

However, as agricultural producers, tobacco producers are eligible to receive funding from a number of Agriculture and Agri-Food Canada’s programs, according to each program’s eligibility criteria. The list of such programs can be found on Agriculture and Agri-Food Canada’s web site at: http://www.agr.gc.ca/eng/programs-and-services/list-of-programs-and-services/?id=1362151577626.","Tobacco Transition Program:

In 2009, Agriculture and Agri-Food Canada introduced the Tobacco Transition Program, which was aimed at removing the outdated tobacco quota system in Ontario. The program also included funds to help tobacco growing regions of Southern Ontario to transition to a non-tobacco economy.

This program is now completed and the quota system has been removed.  

Current Grant and Contribution Programming:

At this time there are no tobacco specific federal only grant and contribution programs administered by Agriculture and Agri-Food Canada. Moreover, there are no cost-shared tobacco specific programs being delivered by provinces and territories under Canada’s current national agriculture policy framework (Growing Forward 2), under which the federal-provincial-territorial governments share the costs of a wide range of agricultural programs. 

However, tobacco producers are eligible to participate in Canada’s suit of agricultural Business Risk Management (BRM) programs (i.e., AgriInsurance, AgriStability and AgriInvest).

Tobacco producers, companies, or associations would be eligible to apply to AFFCs non-BRM programs.  However, their application would need to merit program requirements, and be aligned with the objectives of existing non-BMR programs.  No application s have been received to date under the current non-BMR programs which started in 2013.","Agriculture and Agri-Food Canada (AAFC) does not have programs specifically targeted to tobacco producers. 
Tobacco producers. including producers in transition. may however qualify for support under AAFC suite of Business Risk Management programs. For instance. the AgriInvest program could be used to make investments in alternative measures while the AgriStability program could support the adjustments towards a new situation. Tobacco producers. including producers in transition. or their respective industry associations may also qualify for support to transition from tobacco production under one of the three federal-only Growing Forward 2 programs administered by AAFC: AgriInnovation. AgriCompetitiveness and AgriMarketing.","WHO Region of the Americas"
"30","Cape Verde","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","Answer not provided","Report not provided","Report not provided","WHO African Region"
"33","Chile","No se ha avanzado en esta materia.","No se ha avanzado en esta materia.","No se ha avanzado en esta materia.","WHO Region of the Americas"
"34","China","全国种烟面积、烟叶收购量逐年减少，种烟面积从2013年的2092万亩，下降到2015年的1609.9万亩，2017年进一步下降到1482.2万亩，比2013年下降29.1%，比2015年下降7.9%；烟叶收购量从2013年的253万吨，下降到2015年的220万吨，2017年进一步下降到188.25万吨，比2013年下降25.6%，比2015年下降14.4%。我国始终坚持促进烟农增收工作举措，一方面持续加强烟叶生产基础设施建设和水源工程建设，加大先进适用技术集成和推广应用，稳步提升种植规模化、烟农职业化、服务专业化、作业机械化水平；另一方面大力推进设施资源综合利用、多元经营和辅助产业发展，积极拓宽烟农增收渠道，2017年全国烟农增加非烟收入148亿元，约占烟农总收入的20.8%，有效弥补因烟叶种植面积下降而减少的收入，带动5万余户烟农脱贫致富。","致力提升农村基础设施综合配套水平，推进水源工程援建工作，创新生产组织形式，提高专业化服务水平和机械化作业率，推广先进适用技术，精准实施产业扶贫，帮助烟农转产，促进经济社会发展。全国烟叶种植面积从2013年的2092万亩下降到2015年的1609.9万亩，减少23.04%。","Organized a study of alternatives to tobacco growing the result shows that our farmers generally widespread planting techniques to master a variety of crops. Participated in the Framework Convention on Tobacco Control Working Group Meeting on Articles17 and 18 (planting alternative) held in Brazil in October 2013.","WHO Western Pacific Region"
"35","Colombia","El Ministerio de Agricultura destinó recursos por valor de $2.500 millones de pesos colombianos, equivalentes a 820.000 dólares para apoyar Fortalecimiento de los cultivos de maíz, fríjol, mandarina y aguacate como alternativas de rotación y diversificación del cultivo de tabaco en las principales zona tabacaleras.

En el marco de la política sectorial, Colombia cuenta con un instrumento denominado de parafiscalidad, consistente en aportes de los productores del cultivo de tabaco, para ser destinados a programas definidos por normas internas, tales como:

•	Inversión en infraestructura física y social 
•	Modernización y diversificación de la producción
•	Investigación, asistencia técnica, transferencia de transferencia de tecnología y capacitación a productores
•	Apoyo a programas de reforestación y protección de fuentes hídricas.

En Colombia las siembras de tabaco se hacen en rotación con cultivos transitorios como maíz y fríjol con el fin de aumentar el ingreso de los cultivadores y contribuyendo a la conservación del medio ambiente y mejora de la oferta alimentaria de las familias.","La implementación está enmarcada en las directrices del Convenio, y Colombia, al igual que los demás países Parte del CMCT, se encuentra en el proceso de adelantar los proyectos e iniciativas que permitan tener la información pertinente del sector. Tales estudios y datos brindarán la información para construir un plan de trabajo mancomunado con otras instituciones y países, para implementar, en ese contexto, lo pertinente al Convenio Marco.

El Gobierno, y en especial el Ministerio de Agricultura y Desarrollo Rural, ha dispuesto de diferentes instrumentos para el sector tales como el Fondo Nacional del Tabaco, el cual permite cofinanciar con recursos del nivel nacional, departamental y municipal, proyectos y programas enfocados al mejoramiento socioeconómico de los productores y trabajadores del sector (vivienda, saneamiento básico, construcción de drenajes y riego, infraestructura de secado del tabaco, modernización y diversificación del cultivo, manejo de recursos naturales y medio ambiente, seguros, etc.). Así mismo, se adelantan proyectos encaminados a apoyar los cultivos de rotación de tabaco con cultivos como maíz y fríjol, que contribuyen al mejoramiento de los ingresos de los cultivadores de tabaco.","El artículo 17 (Apoyo a actividades alternativas económicamente viables) aún no cuenta con directrices aprobadas por las Partes. Se espera para el 2015 se pueda contar con directrices parciales aprobadas que permitan una primera orientación del trabajo que deberá realizar cada país.","WHO Region of the Americas"
"36","Comoros","Answer not provided","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"38","Cook Islands","No change since the last report","No change since the last report","Answer not provided","WHO Western Pacific Region"
