"","Party","2018","2016","2014","Region"
"1","Afghanistan","Report not provided","No","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Yes","WHO European Region"
"3","Algeria","Report not provided","No","No","WHO African Region"
"4","Angola","Report not provided","No","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","No","No","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Yes","WHO European Region"
"7","Australia","Report not provided","Yes","Yes","WHO Western Pacific Region"
"8","Austria","Report not provided","No","No","WHO European Region"
"9","Azerbaijan","Report not provided","No","No","WHO European Region"
"10","Bahamas","Report not provided","No","No","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Report not provided","No","Yes","WHO Eastern Mediterranean Region"
"12","Bangladesh","Report not provided","Yes","Yes","WHO South-East Asia Region"
"13","Barbados","Report not provided","No","No","WHO Region of the Americas"
"14","Belarus","Report not provided","Yes","Yes","WHO European Region"
"15","Belgium","Report not provided","Yes","Yes","WHO European Region"
"16","Belize","Report not provided","No","No","WHO Region of the Americas"
"17","Benin","Report not provided","Yes","No","WHO African Region"
"18","Bhutan","Report not provided","Yes","Yes","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Report not provided","Yes","Yes","WHO European Region"
"21","Botswana","Report not provided","Report not provided","Report not provided","WHO African Region"
"22","Brazil","Report not provided","Yes","Yes","WHO Region of the Americas"
"23","Brunei Darussalam","Report not provided","Report not provided","Yes","WHO Western Pacific Region"
"24","Bulgaria","Report not provided","No","Yes","WHO European Region"
"25","Burkina Faso","Report not provided","No","Yes","WHO African Region"
"26","Burundi","Report not provided","No","Report not provided","WHO African Region"
"27","Cambodia","Report not provided","Report not provided","No","WHO Western Pacific Region"
"28","Cameroon","Report not provided","Yes","Yes","WHO African Region"
"29","Canada","Report not provided","Yes","Yes","WHO Region of the Americas"
"30","Cape Verde","Report not provided","No","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","Report not provided","Report not provided","Report not provided","WHO African Region"
"33","Chile","Report not provided","Yes","Yes","WHO Region of the Americas"
"34","China","Report not provided","Yes","Yes","WHO Western Pacific Region"
"35","Colombia","Report not provided","Yes","No","WHO Region of the Americas"
"36","Comoros","Report not provided","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","No","No","WHO African Region"
"38","Cook Islands","Report not provided","Yes","Yes","WHO Western Pacific Region"
"39","Costa Rica","Report not provided","Yes","Yes","WHO Region of the Americas"
"40","Côte d'Ivoire","Report not provided","No","No","WHO African Region"
"41","Croatia","Report not provided","Yes","No","WHO European Region"
"42","Cyprus","Report not provided","No","No","WHO European Region"
"43","Czech Republic","Report not provided","No","No","WHO European Region"
"44","Democratic People's Republic of Korea","Report not provided","Report not provided","Yes","WHO South-East Asia Region"
"45","Democratic Republic of the Congo","Report not provided","No","Report not provided","WHO African Region"
"46","Denmark","Report not provided","No","Yes","WHO European Region"
"47","Djibouti","Report not provided","No","Yes","WHO Eastern Mediterranean Region"
"48","Dominica","Report not provided","No","Report not provided","WHO Region of the Americas"
"49","Ecuador","Report not provided","No","Yes","WHO Region of the Americas"
"50","Egypt","Report not provided","Yes","Yes","WHO Eastern Mediterranean Region"
"51","El Salvador","Report not provided","No","No","WHO Region of the Americas"
"52","Equatorial Guinea","Report not provided","No","Report not provided","WHO African Region"
"53","Estonia","Report not provided","Yes","No","WHO European Region"
"54","Ethiopia","Report not provided","Report not provided","Report not provided","WHO African Region"
"55","European Union","Report not provided","Yes","Yes","WHO European Region"
"56","Fiji","Report not provided","Report not provided","No","WHO Western Pacific Region"
"57","Finland","Report not provided","Yes","Yes","WHO European Region"
"58","France","Report not provided","Yes","Yes","WHO European Region"
"59","Gabon","Report not provided","No","No","WHO African Region"
"60","Gambia","Report not provided","No","No","WHO African Region"
"61","Georgia","Report not provided","No","No","WHO European Region"
"62","Germany","Report not provided","Yes","Yes","WHO European Region"
"63","Ghana","Report not provided","No","Yes","WHO African Region"
"64","Greece","Report not provided","No","Yes","WHO European Region"
"65","Grenada","Report not provided","No","No","WHO Region of the Americas"
"66","Guatemala","Report not provided","Yes","No","WHO Region of the Americas"
"67","Guinea","Report not provided","No","Report not provided","WHO African Region"
"68","Guinea-Bissau","Report not provided","No","Report not provided","WHO African Region"
"69","Guyana","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"70","Honduras","Report not provided","Yes","No","WHO Region of the Americas"
"71","Hungary","Report not provided","No","No","WHO European Region"
"72","Iceland","Report not provided","No","No","WHO European Region"
"73","India","Report not provided","Yes","Yes","WHO South-East Asia Region"
"74","Iran (Islamic Republic of)","Report not provided","Yes","No","WHO Eastern Mediterranean Region"
"75","Iraq","Report not provided","No","No","WHO Eastern Mediterranean Region"
"76","Ireland","Report not provided","Yes","Yes","WHO European Region"
"77","Israel","Report not provided","Report not provided","Report not provided","WHO European Region"
"78","Italy","Report not provided","Yes","Yes","WHO European Region"
"79","Jamaica","Report not provided","Yes","Yes","WHO Region of the Americas"
"80","Japan","Report not provided","No","No","WHO Western Pacific Region"
"81","Jordan","Report not provided","Yes","Yes","WHO Eastern Mediterranean Region"
"82","Kazakhstan","Report not provided","Report not provided","No","WHO European Region"
"83","Kenya","Report not provided","No","No","WHO African Region"
"84","Kiribati","Report not provided","No","No","WHO Western Pacific Region"
"85","Kuwait","Report not provided","No","No","WHO Eastern Mediterranean Region"
"86","Kyrgyzstan","Report not provided","No","No","WHO European Region"
"87","Lao People's Democratic Republic","Report not provided","Yes","No","WHO Western Pacific Region"
"88","Latvia","Report not provided","Yes","Yes","WHO European Region"
"89","Lebanon","Report not provided","No","No","WHO Eastern Mediterranean Region"
"90","Lesotho","Report not provided","Report not provided","No","WHO African Region"
"91","Liberia","Report not provided","No","Report not provided","WHO African Region"
"92","Libya","Report not provided","Yes","Yes","WHO Eastern Mediterranean Region"
"93","Lithuania","Report not provided","Yes","No","WHO European Region"
"94","Luxembourg","Report not provided","Yes","No","WHO European Region"
"95","Madagascar","Report not provided","No","No","WHO African Region"
"96","Malaysia","Report not provided","Yes","Yes","WHO Western Pacific Region"
"97","Maldives","Report not provided","No","No","WHO South-East Asia Region"
"98","Mali","Report not provided","No","No","WHO African Region"
"99","Malta","Report not provided","Yes","Yes","WHO European Region"
"100","Marshall Islands","Report not provided","Yes","Yes","WHO Western Pacific Region"
"101","Mauritania","Report not provided","No","No","WHO African Region"
"102","Mauritius","Report not provided","No","Yes","WHO African Region"
"103","Mexico","Report not provided","No","Yes","WHO Region of the Americas"
"104","Micronesia (Federated States of)","Report not provided","Yes","No","WHO Western Pacific Region"
"105","Mongolia","Report not provided","Report not provided","No","WHO Western Pacific Region"
"106","Montenegro","Report not provided","No","No","WHO European Region"
"107","Myanmar","Report not provided","No","No","WHO South-East Asia Region"
"108","Namibia","Report not provided","Report not provided","Report not provided","WHO African Region"
"109","Nauru","Report not provided","No","Report not provided","WHO Western Pacific Region"
"110","Nepal","Report not provided","Report not provided","No","WHO South-East Asia Region"
"111","Netherlands","Report not provided","Yes","Yes","WHO European Region"
"112","New Zealand","Report not provided","Yes","Yes","WHO Western Pacific Region"
"113","Nicaragua","Report not provided","No","Report not provided","WHO Region of the Americas"
"114","Niger","Report not provided","No","Report not provided","WHO African Region"
"115","Nigeria","Report not provided","No","Yes","WHO African Region"
"116","Niue","Report not provided","Report not provided","No","WHO Western Pacific Region"
"117","Norway","Report not provided","Yes","No","WHO European Region"
"118","Oman","Report not provided","Yes","No","WHO Eastern Mediterranean Region"
"119","Pakistan","Report not provided","No","No","WHO Eastern Mediterranean Region"
"120","Palau","Report not provided","No","No","WHO Western Pacific Region"
"121","Panama","Report not provided","Yes","Yes","WHO Region of the Americas"
"122","Papua New Guinea","Report not provided","No","No","WHO Western Pacific Region"
"123","Paraguay","Report not provided","No","No","WHO Region of the Americas"
"124","Peru","Report not provided","No","No","WHO Region of the Americas"
"125","Philippines","Report not provided","No","Yes","WHO Western Pacific Region"
"126","Poland","Report not provided","Yes","Yes","WHO European Region"
"127","Portugal","Report not provided","Yes","Yes","WHO European Region"
"128","Qatar","Report not provided","Yes","No","WHO Eastern Mediterranean Region"
"129","Republic of Korea","Report not provided","Yes","Yes","WHO Western Pacific Region"
"130","Republic of Moldova","Report not provided","Yes","Yes","WHO European Region"
"131","Romania","Report not provided","Report not provided","No","WHO European Region"
"132","Russian Federation","Report not provided","No","Yes","WHO European Region"
"133","Rwanda","Report not provided","Report not provided","Report not provided","WHO African Region"
"134","Saint Kitts and Nevis","Report not provided","No","Report not provided","WHO Region of the Americas"
"135","Saint Lucia","Report not provided","No","Report not provided","WHO Region of the Americas"
"136","Saint Vincent and the Grenadines","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"137","Samoa","Report not provided","Yes","Report not provided","WHO Western Pacific Region"
"138","San Marino","Report not provided","No","No","WHO European Region"
