"","Party","2018","2016","2014","Region"
"1","Afghanistan","Report not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Report not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Report not provided","There is no lawful domestic manufacturing in Australia","Answer not provided","WHO Western Pacific Region"
"8","Austria","Report not provided","To date, there is no tobacco growing and no tobacco production in Austria. The last producer was “Austria Tabak” (later owned by JTI) which closed down its last place of production in Hainburg, Austria, in 2011. Therefore, there is/was basically no real demand for measures relating to Article 17 FCTC within the reporting period.","In December 2011 the last tobacco manufacturing site in Austria was closed down. Social plans are supposedly in force.
Individual sellers (tobacconists) are encouraged to extend their range of goods by selling products such as event tickets (concerts sports events ...) hotel vouchers etc. - for detailed information see http://trafikplus.at/cms/cms.php","WHO European Region"
"9","Azerbaijan","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Legislation drafted.","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Report not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Report not provided","Bank will provide soft loan to the tobacco grower for growing alternatives crops. Bangladesh Bank has instructed all the commercial banks to follow this provision of the existing tobacco control law","Bank will give soft loan to the tobacco grower for growing alternatives crops. Bangladesh Bank has instructed all the commercial banks to follow this provision of the existing tobacco control law","WHO South-East Asia Region"
"13","Barbados","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"14","Belarus","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"18","Bhutan","Report not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"21","Botswana","Report not provided","Report not provided","Report not provided","WHO African Region"
"22","Brazil","Report not provided","xxx","Answer not provided","WHO Region of the Americas"
"23","Brunei Darussalam","Report not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"24","Bulgaria","Report not provided","Answer not provided","Within the RDP are not supported activities related to the production of tobacco. In the texts of Program for the period 2007-2013 has been indicated that support for tobacco producers will be fully focused on diversifying their holdings. Support for tobacco producers is aimed at the diversification of the activities of farmers by non-agricultural activities or different types of agricultural activities aimed at diversification of tobacco production within the tools of RDP.
The producers that suspend activities related to the production of tobacco and start to deal with growing cows (in milk or meat direction) sheep and goats or with production of fruits and vegetables in 2014 can take advantage of the support that is provided by the following schemes for specific support:
Scheme to improve the quality of fruits and vegetables produced in Bulgaria
This scheme for specific support is directed to the traditional production of fruits and vegetables - tomatoes cucumbers peppers apples cherries peaches and nectarines and apricots. The scheme to improve the quality of fruits and vegetables is applied for the first time in Bulgaria by a campaign for direct payments in 2012. In order to receive assistance producers must grow at least 4 acres vegetables or 5 acres of fruits and areas have to meet the requirements for good agricultural condition. The aim of the scheme is to provide additional incentives to produce quality fruits and vegetables. Production is carried out in accordance with quality indicators that are subject to constant monitoring by inspectors from the Bulgarian Agency for Food Safety. Subject to any requirements under the scheme producers receive a certificate of quality as certification is free for manufacturers. By an Order of the Minister of Agriculture and Food ? RD 09-311/26.03.2012 are approved product specifications under the scheme to improve the quality of fruits and vegetables produced in Bulgaria. Orders and other information on the scheme are available at: www.mzh.government.bg heading CAP / Direct payments / Scheme to improve the quality of fruits and vegetables.
The budget for the scheme for 2014 is 37 million lev.
Scheme to maintain the production of cow milk in economically vulnerable farms
Eligible for assistance under the scheme are producers of cow milk having individual milk quota and managing a farm that meets the following requirements: 
1. is registered in the Register of farms for production of cow milk;
2 . there are raised from 10 (inclusive) to 49 (inclusive) of dairy cows registered in the System for animal identification and registration of animal holdings in Bulgarian Agency for Food Safety.
Assistance under the scheme shall be paid when dairy farmers continue to grow stated dairy cows at least 100 days from the day following the last day for the submission of applications for support and have individual milk quota.
Scheme to maintain the cow milk production in disadvantaged areas
Eligib","WHO European Region"
"25","Burkina Faso","Report not provided","La culture encadrée et industrielle du tabac est interdite au Burkina Faso (article 4 de la loi 040-2010/AN)","A la faveur de l’article 4 de la loi 040 il est interdit la culture industrielle et encadrée des produits du tabac. Cependant le pays ne dispose pas pour l’instant un soutien ni une aide aux petits cultivateurs à se retourner vers d’autres activités génératrices de revenus.","WHO African Region"
"26","Burundi","Report not provided","Answer not provided","Report not provided","WHO African Region"
"27","Cambodia","Report not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"28","Cameroon","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"29","Canada","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"30","Cape Verde","Report not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","Report not provided","Report not provided","Report not provided","WHO African Region"
"33","Chile","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"34","China","Report not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"35","Colombia","Report not provided","Answer not provided","Las siembras de tabaco rotan con otros cultivos como el maíz y el fríjol. con el fin de aumentar los ingresos de los cultivadores. así como conservar el medio ambiente y mejorar la oferta alimentaria.","WHO Region of the Americas"
"36","Comoros","Report not provided","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"38","Cook Islands","Report not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"39","Costa Rica","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"40","Côte d'Ivoire","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"41","Croatia","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"42","Cyprus","Report not provided","The above are not applicable to Cyprus given that the country does not grow tobacco.","Answer not provided","WHO European Region"
"43","Czech Republic","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"44","Democratic People's Republic of Korea","Report not provided","Report not provided","Answer not provided","WHO South-East Asia Region"
"45","Democratic Republic of the Congo","Report not provided","Answer not provided","Report not provided","WHO African Region"
"46","Denmark","Report not provided","Answer not provided","Answer not provided","WHO European Region"
