"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","There are no industries for tobacco manufacturing in Afghanistan.","The draft law which is the last stage of the final approval clearly indicated ban of the tobacco usage for students children and fragment women to avoid the tobacco usage.","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"8","Austria","The Austrian jurisdiction (constitutional court, higher administrative court, supreme court) confirmed in various judgements restrictive interpretations regarding the provisions for prohibition of commercials and sponsorings.","The Austrian jurisdiction (constitutional court, higher administrative court, supreme court) confirmed in various judgements restrictive interpretations regarding the provisions for prohibition of commercials and sponsorings.","Answer not provided","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Answer not provided","Answer not provided","An administrative policy is in-place prohibiting any engagement with the tobacco industry.","WHO Region of the Americas"
"14","Belarus","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Franchement les directives pour lapplication de larticle 5.3 sont pas facilement applicables. Nos autorités au plus haut niveau semblent être ignorants des agissements de lindustrie du tabac,","Answer not provided","Answer not provided","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"21","Botswana","None","Report not provided","Report not provided","WHO African Region"
"22","Brazil","XXX","Answer not provided","Answer not provided","WHO Region of the Americas"
"23","Brunei Darussalam","Answer not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"24","Bulgaria","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"25","Burkina Faso","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"26","Burundi","Report not provided","Answer not provided","Report not provided","WHO African Region"
"27","Cambodia","Answer not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"28","Cameroon","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"29","Canada","Answer not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"30","Cape Verde","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","Answer not provided","Report not provided","Report not provided","WHO African Region"
"33","Chile","No hay información adicional","No hay información adicional","Se ha iniciado en el país la discusión del Protocolo de Comercio Ilícito de Productos de Tabaco.","WHO Region of the Americas"
"34","China","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"35","Colombia","Answer not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"36","Comoros","Answer not provided","Report not provided","Report not provided","WHO African Region"
