"","Party","2018","2016","2014","Region"
"1","Afghanistan","Revision,  approve and ratifying of tobacco control law
Establish High Commission for tobacco control
establishing technical committee to develop plan and guidelines
Translation and adaption of Protocol of elimination of illicit trade in tobacco products to Dari language but the parliament reject and proposed to translate in second formal languages pashto as well . 
development of sale procedure on tobacco products .","Revision,  approve and ratifying of tobacco control law
Establish High Commission for tobacco control
establishing technical committee to develop plan and guidelines","Lack of technical advisor and tobacco unit for tobacco control","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","On 02 August 2012 the Minister signed the order for the establishment of the task-force for the implementation of the law “On health protection from tobacco products” which will be working in all country. The Albanian Government did not allocate budget for national NGOs.","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","In 2014, Angola put in place a National Strategic Plan for Tobacco control. A Draft law on Tobacco control is also going to be validated soon before its submission to the national Parliament.","In 2014, Angola put in place a National Strategic Plan for Tobacco control. A Draft law on Tobacco control is also going to be validated soon before its submission to the national Parliament.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Annually government allocates the funds for supporting national NGO''s to carry out the tobacco control programmes especially awareness campaigns. Youth foundation is official partner for this project. Source www.heh.am","WHO European Region"
"7","Australia","The National Tobacco Strategy 2012-2018 (NTS 2012-2018) sets out a national policy framework for the Australian Government and state and territory governments to work together and in collaboration with non-government organisations (NGOs) to improve the health of all Australians by reducing the prevalence of smoking and its associated health, social and economic costs, and the inequalities it causes. 

Under the COAG National Healthcare Agreement (NHA) by 2018, Australian governments have committed to:
•	reducing the daily national smoking rate among Australian adults (aged 18 years or older) from 19.1% (age-standardised) in 2007-08 to 10%; and
•	halving the daily national smoking rate among Aboriginal and Torres Strait Islander adults (aged 18 years or older) from 47.7%
(44.8% age-standardised) in the same period.

Progress against the Council of Australian Governments (COAG) performance benchmark for tobacco is being measured against the results from the Australian Bureau of Statistics National Health Survey (NHS) to monitor changes in smoking prevalence in the general population using age standardised rates.
Part Seven of the NTS 2012-2018 notes that in order to assess whether Australia is on track to meet the COAG performance benchmark for tobacco, a Mid-Point Review of progress would be undertaken.

The Mid-point review of the NTS 2012-2018 included two components: a data analysis component, which was undertaken by the Australian Health and Welfare Institute and a policy analysis component, undertaken by Health Policy Analysis Pty Ltd. Work on both reports was undertaken in 2016 and are available at: http://www.nationaldrugstrategy.gov.au/internet/drugstrategy/publishing.nsf/Content/national_ts_2012_2018
Findings from the Mid-Point Review will assist the Commonwealth, states and territories and relevant NGOs in developing and implementing priorities in tobacco control for the remainder of the NTS 2012-2018. The findings will also provide a useful resource in the development of a new NTS beyond 2018.","The National Tobacco Strategy (NTS) 2012-2018 was endorsed by Commonwealth, state and territory Health Ministers in November 2012.
The NTS 2012-2018 was developed by the Intergovernmental Committee on Drugs, Standing Committee on Tobacco as a sub-strategy under the National Drug Strategy 2010-2015, and sets out a national framework to reduce tobacco related harm in Australia, with the goal “to improve the health of all Australians by reducing the prevalence of smoking and its associated health social and economic costs, and the inequalities it causes”.
The objectives of the NTS 2012-2018 are to:
1.	Prevent the uptake of smoking; 
2.	Encourage and assist as many smokers as possible to quit as soon as possible, and prevent relapse;
3.	Reduce smoking among Aboriginal and Torres Strait Islander people, groups at higher risk from smoking, and other populations with a high prevalence of smoking;
4.	Eliminate harmful exposure to tobacco smoke among non-smokers;
5.	Reduce harm associated with continuing use of tobacco and  nicotine products;
6.	Ensure that tobacco control in Australia is supported by focused research and evaluation; and 
7.	Ensure that all of the above contribute to the continued denormalisation of smoking.
Overall progress under the NTS 2012-2018 will be monitored using targets consistent with the performance benchmark agreed by the Council of Australian Governments (COAG) in the 2008 National Healthcare Agreement and its 2012 update, and the public health outcome identified in the COACG 2008 National Partnership Agreement on Preventive Health and its 2012 update. These targets are set out in the NTS 2012-2018 (pages 2, 11, and 38) as follows:
By 2018:
1.	Reduce the national adult daily smoking rate to 10 per cent of the population.
2.	Halve the Aboriginal and Torres Strait Islander adult daily smoking rate (from 47%) over the 2009 baseline.
Further information on the NTS 2012-2018 is available at http://www.nationaldrugstrategy.gov.au/internet/drugstrategy/publishing.nsf/Content/national_ts_2012_2018
As outlined in the Strategy itself, to assess whether Australia is on track to achieve these targets, a mid-point review of the progress will be undertaken. 
Australia has commenced work on this mid-point review, with the aim of measuring the progress made against the outcome indicators in the Strategy, and to provide an updated data analysis report.  For the purpose of this project the mid-point date is considered to be 31 December 2015.","The National Tobacco Strategy (NTS) 2012-2018 was endorsed by Commonwealth. state and territory Health Ministers at the 9 November 2012 meeting of the Standing Council on Health. and was published on the National Drug Strategy website on 2 January 2013 (www.nationaldrugstrategy.gov.au). 
The NTS 2012-2018 was developed by the Intergovernmental Committee on Drugs. Standing Committee on Tobacco as a sub-strategy under the National Drug Strategy 2010-2015. and sets out a national framework to reduce tobacco related harm in Australia. with the goal “to improve the health of all Australians by reducing the prevalence of smoking and its associated health. social and economic costs. and the inequalities it causes”.
The objectives of the NTS 2012-2018 are to:
1. prevent uptake of smoking;
2. encourage and assist as many smokers as possible to quit as soon as possible. and prevent relapse;
3. reduce smoking among Aboriginal and Torres Strait Islander people. groups at higher risk from smoking. and other populations with a high prevalence of smoking;
4. eliminate harmful exposure to tobacco smoke among non-smokers;
5. reduce harm associated with continuing use of tobacco and nicotine products;
6. ensure that tobacco control in Australia is supported by focused research and evaluation; and
7. ensure that all of the above contribute to the continued denormalisation of smoking. 
The NTS 2012-2018 identifies nine priority areas for action. including; 
1. Protect public health policy. including tobacco control policies. from tobacco industry interference;
2. Strengthen mass media campaigns to : motivate smokers to quit and recent quitters to remain quit; discourage uptake of smoking; and reshape social norms about smoking; 
3. Continue to reduce the affordability of tobacco products; 
4. Bolster and build on existing programs and partnerships to reduce smoking rates among Aboriginal and Torres Strait Islander people; 
5. Strengthen efforts to reduce smoking among people in populations with a high prevalence of smoking;
6. Eliminate remaining advertising. promotion and sponsorship of tobacco products;
7. Consider further regulation of the contents. product disclosure and supply of tobacco products and alternative nicotine delivery systems;
8. Reduce exceptions to smoke-free workplaces. public places and other settings; and
9.	Provide greater access to a range of evidence-based cessation services and supports to help smokers to quit.
The NTS 2012-2018 also recognises the social and health inequalities associated with tobacco use. and emphasises the importance of working in partnership to reduce smoking rates among Aboriginal and Torres Strait Islander people. and other populations with a high prevalence of smoking.
Overall progress under the NTS 2012-2018 will be monitored using targets consistent with the performance benchmark agreed by the Council of Australian Governments (COAG) in the 2008 National Healthcare Agreement and its 2012 updat","WHO Western Pacific Region"
"8","Austria","The FMH has developed a national addiction prevention strategy which was adopted by the Council of Ministers in February 2016. This strategy covers all kinds of addiction: non-substance as well as substance related addictions including alcohol and tobacco. This strategy is based on a study (“Delphi-Study”) through which well-known experts and practitioners in the fields of science and addiction related matters were consulted.

On the provincial level, addiction prevention strategies are taking into account tobacco prevention measures/activities (monitored by the FMH). 

The Austrian smoking cessation quitline, which in 2014 was renamed from “Rauchertelefon” (“smoking quitline”) into” Rauchfrei Telefon” (“smokefree quitline”), is continuing to be offered free of charge. 

Due to an amendment of the Austrian tobacco law (being set into force on 20 May 2016) which implements the regulations of the 2014 EU tobacco product directive (no. 2014/40/EU ) into national law, all cigarette packages have to provide information on and help for somking cessation.","The FMH has developed a national addiction prevention strategy which was adopted by the Council of Ministers in February 2016. This strategy covers all kinds of addiction: non-substance as well as substance related addictions including alcohol and tobacco. This strategy is based on a study (“Delphi-Study”) through which well-known experts and practitioners in the fields of science and addiction related matters were consulted.

On the provincial level, addiction prevention strategies are taking into account tobacco prevention measures/activities (monitored by the FMH). 

The Austrian quitline, which in 2014 was renamed from “Rauchertelefon” (“smoking quitline”) into” Rauchfrei Telefon” (“smokefree quitline”), is continuing to be offered free of charge. 

Due to an amendment of the Austrian tobacco law (being set into force on 20 May 2016) which has to implement the regulations of the 2014 EU tobacco product directive (no. 2014/40/EU ) into national law, all cigarette packages have to provide information on and help for somking cessation.","The FMH is currently developing a national addiction prevention strategy focusing on young people. This strategy will cover all kinds of addiction: non-substance as well substance related addictions including alcohol and tobacco. In thins context the national strategy will also cover national coordinating mechanism for tobacco control taking into the account the FCTC provisions. In preparation of this strategy the FMH initiated and completed already a study (“Delphi-Study”) in order to consult well-known experts and practitioners in the fields of science and addiction related matters. 
On provincial level there are already some addiction prevention strategies existing taking into account tobacco prevention measures/activities (monitored by the FMH). Carinthia f.ex. is currently developing a regional tobacco strategy.
On World No Tobacco Day 2006 the Austrian quitline (“Rauchertelefon”) an initiative of the Social Insurance Agencies the Austrian Provinces and the FMH was launched. It provides information and help on smoking and smoking cessation. Besides also on subnational level several programmes are initiated many of them by addiction prevention units on provincial or regional level. As from 1st May 2014 the Austrian quitline will be renaimed from “Rauchertelefon” (“smoking quitline”) into” Rauchfrei Telefon” (“smokefree quitline”) and will be furthermore offered free of charge.","WHO European Region"
"9","Azerbaijan","On 01 December 2017 the new Law of Azerbaijan Republic ""On restriction of tobacco use"" was adopted by the Parliament of Azerbaijan, and on 29 December, 2017 signed by Decree of the President of Azerbaijan Republic on applying of the new Law. The new Law defines the legal basis for protection of population health, promoting healthy lifestyles, reduction of harmful effects of tobacco use and environmental tobacco smoke. All hookahs and electronic cigarettes are also equated with tobacco products within the scope of this law. The adoption of this law is a great importance in protection of the population, especially children, teens and young people, from exposure to tobacco smoke. Moreover, it is expected that after adopting of new Law the positive changes will affect to all related tobacco control legislation in Azerbaijan. 

On 18 December, 2017 Public Health and Reforms Center and the Azerbaijan Medical University conducted the first National NCD Conference.

On 20 December, 2017 Public Health and Reforms Center of the MoH conducted 4th National Tobacco Control Conference for advocacy of the new Law of Azerbaijan Republic ""On restriction of tobacco use"".","National Clinical Protocol on Prevention of Cardio-Vascular Diseases developed and approved, Azerbaijan Global Youth Tobacco Survey (GYTS) – 2015 was started by Public Health and Reforms Center (PHRC) of the MoH and by support of the WHO/CDC. In 2013 PHRC conducted 3-rd National Conferences on Tobacco Control. In 2014-2015 PHRC conduct the Research on the comparative analysis of compliance of legislation of the Republic of Azerbaijan regarding tobacco and tobacco products with the WHO Framework Convention on Tobacco Control.","National Clinical Protocol on Smoking Cessation developed and approved National Clinical Protocol on Prevention of Cardio-Vascular Diseases developed ''The National Tobacco Control Strategy 2011-2015'' developed the National Tobacco Control Coalition established in 2009 the draft Law on Banning Smoking in Public Places developed. These documents are not available in English.","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Draft Tobacco Control Bill 2014 is being discussed among Cabinet Members for official tabling and passage","WHO Region of the Americas"
