"","Party","2018","2016","2014","Region"
"1","Afghanistan","training material for school level developed and awareness session conducted in few schools in past years, also  video and audio clips developed on harm of tobacco use","training material for school level developed and awareness session conducted in few schools in past years, also some video clips developed on harm of tobacco use with clear message by minister of public health for general population and published through media but due to lack of resources we were not able to update this material and distribute them as expected","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","In addition special educational programs as it was envisaged by the Ministry of Health and WHO were introduced into training plans and conducted in the various health institutions.","WHO European Region"
"3","Algeria","élaboration par plusieurs secteurs dun programme de communication dirigé vers des  populations cibles ( enfants et adolescents  et adultes","Chaque  secteur a élaboré  son programme de communication dirigé vers une population cible ( adultes , jeunes , enfants","- Reportages sur les effets de la cigarette sur la santé (Cancer de la gorge AVC et autres)
- La télévision a diffusé en moyenne un volume horaire de 50mn54s par an (JT reportages).
- La radio a diffusé sur les 55 chaînes (nationales et locales) en moyenne de 160h par an.
- La presse écrite (06titres publics) a publié 868 articles sur le thème en question.","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","The National Tobacco Campaign (NTC) is a vital part of the Australian Government’s comprehensive range of tobacco control strategies and prevention measures, which are designed to work in concert to reduce smoking prevalence levels across Australia.
State and territory governments, as well as Non-Government Organisations also run mass media campaigns in Australia. Campaigns are coordinated with each other to maximise the impact and reduce the time between bursts of activity.  
The following progress has been made in implementing Article 12: 
•	the current NTC ‘Don’t Make Smokes Your Story’ (the campaign) focuses on Indigenous smokers, recent quitters and their families. The campaign aims to empower this audience to quit smoking and promote the use of available support services, such as the Quitline, the My QuitBuddy mobile application and the Quitnow website;
•	the campaign was launched on 29 January 2017 and continued through to 25 June 2017. The media buy for this phase included television, print, radio, digital and out-of-home advertising;
•	a robust public relations strategy was implemented to engage with Indigenous audiences at grass roots level, including participation at the Barunga Festival, NRL and AFL games, the Laura Dance Festival and in-program television promotions such as the Marngrook Football show;
•	evaluation of phase one of the campaign (which commenced on 1 May 2016) was undertaken in July and August 2016 (n=310). The results showed 75% of Indigenous smokers and recent quitters were aware of the campaign. Of those exposed to the campaign, 9% stated they had quit smoking and 27% stated they intended to quit; 

The campaign was effective in conveying messaging to direct smokers to the quit smoking support tools, with a significant majority of respondents agreeing that the campaign directed them to take action by calling the Quitline (71%), visit the website (65%) and download the My QuitBuddy app (58%).

The evaluation report for phase two was undertaken in July-September 2017 and the report will be finalised and will be made available in the first half of 2018.

The Tackling Indigenous Smoking (TIS) Program funds activities which aim to prevent the uptake of smoking and support smoking cessation among Aboriginal and Torres Strait Islander people. The program aims to contribute to closing the gap in Indigenous health outcomes by reducing tobacco smoking as the most significant risk factor for chronic disease among Aboriginal and Torres Strait Islander people.  

The TIS Program has a budget allocation of $AUD116.8 million for the three years 2015-16 to 2017-18.  Funding of up to $AUD183.7 million has been approved for four years from 2018-19 to 2021-22.

The Tackling Indigenous Smoking Program currently (from 2015-16 to 2017-18) comprises:

•	37 targeted regional tobacco control grants for (predominantly) Aboriginal Community Controlled Health Services (ACCHS) to reach out to Indigenous communities to increase awareness of the harms from smoking and design and implement smoking prevention and cessation activities tailored to local needs;
•	a National Best Practice Unit (NBPU) to support the regional tobacco control grant recipients (provides tailored, one-on-one support from project planning through to implementation and evaluation, to feed back into delivery and outcome improvements);
•	seven innovation project research grants building the evidence base on how to better address the most difficult and critical Indigenous smoking behaviours (such as very high rates of smoking in remote areas and among pregnant women);
•	a National Coordinator to provide high-level advice and insight to assist in the shaping of policy and the approach for the TIS program, and practical leadership and advocacy in the national implementation of the program, having regard for traditional culture and values;
•	the Quitskills accredited training package delivered by Cancer Council South Australia (CCSA) which provides brief intervention and motivational training in best-practice intervention methods. Quitskills funding aims to increase the number of suitably trained and qualified professionals working with Aboriginal and Torres Strait Islander smokers and their communities;
•	Indigenous Quitline enhancement grants to the State and Territory run Quitlines to improve their capacity to provide accessible and appropriate services to Indigenous people, including enhancements for young people, pregnant women and new mothers. The funds support employment of Indigenous staff, as well as training and resources for all Quitline staff; and 
•	a program evaluation component implemented by an external evaluator; the evaluation is being used to assess the program’s appropriateness, effectiveness, impact, and efficiency, and to inform best practice learning and continuous program improvement.","Education, communication, training and public awareness are a joint responsibility of the Commonwealth Government and state and territory governments. 
The Commonwealth Government has provided funding for national anti-smoking campaigns to contribute to reducing smoking rates in Australia. 
The National Tobacco Campaign (NTC) focuses on encouraging a reduction in smoking among all adult smokers by motivating quitting attempts and supporting the quitting process. The primary target audiences for this campaign are daily smokers and recent quitters aged 18-40.  
The next phase of the NTC will target Aboriginal and Torres Strait Islander smokers and recent quitters, with a budget of $AUD10million. The NTC features television, radio, print, outdoor and online advertising. Campaign materials are available online at www.quitnow.gov.au.  
In addition to national social marketing campaigns, the Commonwealth Government provides resources and information on Australia’s tobacco control initiatives on the Department of Health website at www.health.gov.au and the Quitnow website at www.quitnow.gov.au/internet/quitnow/publishing.nsf/Content/home. 

The Commonwealth Government has also made additional investments in national campaigns to contribute to efforts to reduce smoking rates among Aboriginal and Torres Strait Islander people in the long term, as part of a balanced package of measures and in partnership with Indigenous communities. 
The Tackling Indigenous Smoking Programme funds activities which aim to prevent the uptake of smoking and support smoking cessation among Aboriginal and Torres Strait Islander people.  The programme aims to contribute to closing the gap in Indigenous health outcomes by reducing tobacco smoking as the most significant risk factor for chronic disease among Aboriginal and Torres Strait Islander people.  
The Tackling Indigenous Smoking Programme has a budget allocation of $AUD116.8 million from 2015-16 to 2017-18.
The Tackling Smoking measure has established a national network of Regional Tobacco Coordinators and Tobacco Action Workers with 58 teams working across 57 regions around Australia. The workers are engaged through Aboriginal Community Controlled Health Organisations where practicable, and reach out to Indigenous communities across each region to increase awareness of the harms from smoking and facilitate smoking prevention and cessation programs. Full training is being provided, and the tobacco workers have access to funding and materials to conduct local community-based social marketing campaigns and community events. 
Funding is also being provided to enhance Quitlines for Indigenous people and to train health workers seeing Indigenous patients in the use of brief interventions to support smoking cessation. 

State and territory governments, as well as Non Government Organisations run mass media campaigns in Australia. Campaigns are coordinated with each other to maximise the impact and reduce the time between bursts of activity.  Further details of some of the mass media activity at the state and territory is detailed in C2610.","In Australia. tobacco control education. communication. training and public awareness are a joint responsibility of the Commonwealth Government and state and territory governments. 
The Commonwealth Government has provided funding for national anti-smoking campaigns to contribute to reducing smoking rates in Australia. 
The National Partnership Agreement on Preventive Health Tobacco Social Marketing Campaign focuses on encouraging a reduction in smoking among all adult smokers by motivating quitting attempts and supporting the quitting process. The primary target audiences for this campaign are daily smokers and recent quitters aged 18-40. 
The National Tobacco Campaign – More Targeted Approach is implementing targeted measures to reduce harm from tobacco use among high risk and hard to reach groups. The target groups include pregnant women and their partners. people from culturally and linguistically diverse backgrounds. people living in disadvantaged areas. people with mental illness and prisoners. 
The National Tobacco Campaign features television. radio. print. outdoor and online advertising. Campaign materials are available online at www.quitnow.gov.au. 
In addition to national social marketing campaigns. the Commonwealth Government provides resources and information on Australia''s tobacco control initiatives on the Department of Health website at www.health.gov.au and the Quitnow website at www.quitnow.gov.au/internet/quitnow/publishing.nsf/Content/home. 
The Commonwealth Government has also made additional in national campaigns to contribute to efforts to reduce smoking rates among Aboriginal and Torres Strait Islander people in the long term. as part of a balanced package of measures and in partnership with Indigenous communities. 
The implementation of the AUD $100 million Tackling Smoking measure under the Council of Australian Governments Closing the Gap in Indigenous Health National Partnership continued between 2012 and 2014. The Tackling Smoking measure has established a national network of Regional Tobacco Coordinators and Tobacco Action Workers across 57 regions around Australia. The workers are engaged through Aboriginal Community Controlled Health Organisations where practicable. and reach out to Indigenous communities across each region to increase awareness of the harms from smoking and facilitate smoking prevention and cessation programs. Full training is being provided. and the tobacco workers have access to funding and materials to conduct local community-based social marketing campaigns and community events. 
Funding is also being provided to enhance Quitlines for Indigenous people and to train health workers seeing Indigenous patients in the use of brief interventions to support smoking cessation. 
Education. communication. training and public awareness measures are also in place at state and territory level. For further information. please see Annex 1.","WHO Western Pacific Region"
"8","Austria","On the national level, since 2015 the public awareness and prevention campaign ""Leb dein Leben. Ohne Rauch. YOLO"" (Live your life. Without smoke. YOLO) is run by the Federal Ministry of Health. It is targeted especially at chilldren and adolescents. 
http://www.yolo.at/

The school-based prevention programme ""plus"" is run by the various addiction prevention institutes in the Austrian provinces; among other types of addiction also tobacco is addressed. 
https://www.suchtvorbeugung.net/plus/ 

On the subnational and regional level a number of programmes were initiated by municipalities, local/district authorities, the provinces etc. For example: 

Styria:
The Institute for the Prevention of Addiction (VIVID) implements two forms of education: one in many settings for health professionals and one in pedagogical settings. In settings for health professionals VIVID implements the following target groups in Styria: Health professionals in hospitals, educational institutions for health professionals, and established health professionals.

In pedagogical settings VIVID implements the following programs and tasks: “Schule Sucht Vorbeugung” (“Addiction prevention for Schools”), “Gesunde Schule Tabak” (Healthy school with special focus on tobacco), “Elternkurzintervention zum Thema Rauchen” (short lectures especially for parents to make sure that their children do not start to smoke or stop smoking), Elternseminar “Was geht ab?” (intensive training for parents in two parts – if whished with a special focus on smoking),  Lebenskompetenzprogramm  PLUS (PLUS – a program for life skills intended for adolescents from age 10 to 14),  LehrerInnen-Seminar (training for teachers with focus on tobacco), Projektberatung für LehrerInnen und JugendarbeiterInnen (counselling for teachers and youth workers).

Lower Austria: 
The Institute for the Prevention of Addction of Lower Austria provedes interventions for adults and parents through lectures; they organize workshops for adolscents and provide brochures, etc. 
www.suchtpraevention-noe.at

Vienna:
Among others, the Vienna Institute for the Prevention of Addiction (ISP) provides brochures for parents, for handicped people and also runs internet-based preventions programmes for teenagers (e.g. feel-ok.at). Since 2016 it runs an outdoor program for Schools ""Achterbahn 12-14"" targeting at the prevention of addiction 

Carinthia:
Information campaigns for various target groups (parents, children, adolescents, schools) including lectures, workshops, brochures, etc. are organized and provided. See www.kaernten-rauchfrei.at

Vorarlberg:
SUPRO (garage for addiction prevention) is organizing trainings for teachers and parents (the programme is called ""klartext:nikotin"", www.supro.at/klartext/). Additional information on all the various additional prevention measures and activities is provided under www.supro.at and www.suchthaufen.net. SUPRO runs also a project on mystery shopping. 

Tyrol:
Information brochures and prevention material for schools, lectures for parents as well as ""smokefree seminars"" for people who want to quit smoking are provided.","On the national level, in 2015 the public awareness and prevention campaign ""Leb dein Leben. Ohne Rauch. YOLO"" (Live your life. Without smoke. YOLO) was launched by the Federal Ministry of Health. It is targeted especially at chilldren and adolescents. 
http://www.bmg.gv.at/home/Schwerpunkte/Drogen_Sucht/Tabak_Nichtrauchen/_Leb_dein_Leben_Ohne_Rauch_YOLO_

The school-based prevention programme ""plus"" is run by the various addiction prevention institutes in the Austrian provinces; among other types of addiction also tobacco is addressed. 
https://www.suchtvorbeugung.net/plus/ 

On the subnational and regional level a number of programmes were initiated by municipalities, local/district authorities, the provinces etc. For example: 

Styria:
The Institute for the Prevention of Addiction (VIVID) implements two forms of education: one in many settings for health professionals and one in pedagogical settings. In settings for health professionals VIVID implements the following target groups in Styria: Health professionals in hospitals, educational institutions for health professionals, and established health professionals.

In pedagogical settings VIVID implements the following programs and tasks: “Schule Sucht Vorbeugung” (“Addiction prevention for Schools”), “Gesunde Schule Tabak” (Healthy school with special focus on tobacco), “Elternkurzintervention zum Thema Rauchen” (short lectures especially for parents to make sure that their children do not start to smoke or stop smoking), Elternseminar “Was geht ab?” (intensive training for parents in two parts – if whished with a special focus on smoking),  Lebenskompetenzprogramm  PLUS (PLUS – a program for life skills intended for adolescents from age 10 to 14),  LehrerInnen-Seminar (training for teachers with focus on tobacco), Projektberatung für LehrerInnen und JugendarbeiterInnen (counselling for teachers and youth workers).

Lower Austria: 
The Institute for the Prevention of Addction of Lower Austria provedes interventions for adults and parents through lectures; they organize workshops for adolscents and provide brochures, etc. 
www.suchtpraevention-noe.at

Vienna:
Among others, the Vienna Institute for the Prevention of Addiction (ISP) provides brochures for perents, for handicped people and also runs internet-based preventions programmes for (e.g. feel-ok.at).

Carinthia:
Information campaigns for various target groups (parents, children, adolescents, schools) including lectures, workshops, brochures, etc. are organized and provided. See www.kaernten-rauchfrei.at

Vorarlberg:
SUPRO (garage for addiction prevention) is organizing trainings for teachers and parents (the programme is called ""klartext:nikotin"", www.supro.at/klartext/). Additional information on all the various additional prevention measures and activities is provided under www.supro.at and www.suchthaufen.net. SUPRO runs also a project on mystery shopping. 

Tyrol:
Information brochures and prevention material for schools, lectures for parents as well as ""smokefree seminars"" for people who want to quit smoking are provided.","On the national level a series of public awareness media campaigns especially targeted at school children and parents were run (f.ex.: ''echt cool'' (2011) ''Nichtrauchen lohnt sich'' (2010); in November 2014 a special conference focussing on tobacco prevention will take place.
On the subnational level and regional level a number of programms were initiated by municipalities local/district authorities etc. for example: 
Styria: The Styrian competence centre for addiction prevention (VIVID) organizes trainings for teachers on addiction prevention in general with a focus on tobacco prevention. Furthermore parent''s evenings on addiction prevention in kindergartens and schools are offered. Trainings were offered for medical practitioneers in free medical practice (general practitioners pediatricians gynecologists dentists specialists in internal medicine) nurseries in hospitals midwifes social workers family workers pharmacists teachers in nursery schools teachers at medical universities teachers at a college for health sciences.
Vorarlberg: SUPRO (garage for addiction prevention) is organizing trainings for teachers and parents (the programme is so called “klartext:nikotin”; http://www.supro.at/klartext/); since January 2014 the programme also includes special trainings for school children (“Niko-Teen” project). Additional information is provided on the website www.supro.at and www.suchthaufen.net. 
Lower Austria: “Free your mind” (project on smoking prevention for school children 2013)
Vienna: “feel-ok.at” (a web-based health programme for the youth aged 12-18 years in regard of f.ex.smoking cessation
Upper Austria: trainings for parents (“Elternkurzintervention Rauchen”","WHO European Region"
"9","Azerbaijan","In 2016-2017 Public Health and Reforms Center of the MoH with support of the UNION and Blomberg Initiative carried out the project in order to strengthening tobacco control legislation in Azerbaijan. As part of this project were conducted a number of meetings, round tables, discussions, actions in public places, anti-tobacco advertisements in Metro etc. The goal of this activities were to improve knowledge and skills on tobacco control among policy makers, media representatives, different government and NGO representatives, civil sociaty and general population  by education, communication, training and public awareness.","2011-2015 Action Plan of the State Program on ""Poverty Reduction and Sustainable Development in the Republic of Azerbaijan for 2008-2015"" and State Program ""Azerbaijan Youth in 2011-2015"" with aspects of tobacco control, especialy in regards of education, communication, training and public awareness, is being implemented.
In 2014-2015 PHRC with support of the WHO carried out the project in order to strengthen the prevention of noncommunicable diseases risk factors, including tobacco use, at the primary health care level. The goal of the project was to improve knowledge and skills of doctors working in primary health care level to prevent risk factors of noncommunicable diseases.","2011-2015 Action Plan of the State Program on ''Poverty Reduction and Sustainable Development in the Republic of Azerbaijan for 2008-2015'' and State Program ''Azerbaijani youth in 2011-2015'' with aspects of tobacco control especial in regards of education communication training and public awareness are now implemented.","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","A public awareness campaign including radio TV newspaper and billboard advertisements was implemented in 2013 to coincide with the introduction of the new Tobacco Excise Stamp Tax Act","WHO Region of the Americas"
