"","Party","2018","2016","2014","Region"
"1","Afghanistan","43.1 million USD in 2012","43.1 million USD in 2012","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","1228 hectares","WHO European Region"
"3","Algeria","La valeur de la production du tabac est de 1.040 milliards de DA, soit 0,036 % de la valeur de la production agricole 2521 milliards de DA","La valeur de la production du tabac est de 1.040 milliards de DA, soit 0,036 % de la valeur de la production agricole 2521 milliards de DA","La production du tabac (tous types confondus) est de 865 millions DA soit 0 00034 % de la valeur de la production agricole 2","WHO African Region"
"4","Angola","desde la salidas de productoras internacionales de cigarrilos (SL) la estimación de producción es difícil por su baja escala","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"8","Austria","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Answer not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"14","Belarus","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","negligeable","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","insignifiante","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Answer not provided","Currently no data available","Answer not provided","WHO European Region"
"21","Botswana","Answer not provided","Report not provided","Report not provided","WHO African Region"
"22","Brazil","1,3% in 2013 according with Government Foreign Trade Office.","1,3% in 2013 according with Government Foreign Trade Office.","0.10% in 2012","WHO Region of the Americas"
"23","Brunei Darussalam","Answer not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"24","Bulgaria","1.3% share of tobacco in forming the value of the final production of the department ""Agriculture""","1.3% share of tobacco in forming the value of the final production of the department ""Agriculture""","Total production of raw tobacco 
2009 - 51 322 tons 
2010 - 41 056 tons 
2011 - 40 607 tons 
2012 - 28 060 tons","WHO European Region"
"25","Burkina Faso","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"26","Burundi","Report not provided","Answer not provided","Report not provided","WHO African Region"
"27","Cambodia","Answer not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"28","Cameroon","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"29","Canada","According to the Ontario Ministry of Agriculture, Food and Rural Affairs, the total value of tobacco production in Ontario in 2014 was $132,879,000.  This represents 0.067% of Canada’s GDP of $CDN 1,990,183 million in 2014.","According to the Ontario Ministry of Agriculture, Food and Rural Affairs, the total value of tobacco production in Ontario in 2011 was $105,545,000.  This compares to Canada’s GDP of $CDN 1,720,748 million in 2011.

Data Source:

Statistics Canada Table 004-0014 Census of Agriculture, farms classified by the North American Industry Classification System (NAICS) 2001, 2006, 2011 http://www5.statcan.gc.ca/cansim/a26?lang=eng&id=40014

Industry Canada – 2014 https://strategis.ic.gc.ca/app/scr/sbms/sbb/cis/employment.html?code=3122&lang=eng

Ontario Ministry of Finance 2015 - http://www.fin.gov.on.ca/en/tax/tt/rawleaf.html; 

Ontario Ministry of Agriculture, Food and Rural Affairs 2013 http://www.omafra.gov.on.ca/english/stats/crops/tobacco11.htm

Statistics Canada, CANSIM Table 384-0038 Gross domestic product, expenditure-based – 2016 http://www5.statcan.gc.ca/cansim/a46?lang=eng&childId=3840038&CORId=3764&viewId=3","Answer not provided","WHO Region of the Americas"
"30","Cape Verde","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","Answer not provided","Report not provided","Report not provided","WHO African Region"
"33","Chile","No se dispone de esa información","No se dispone de esa información","No contamos con información","WHO Region of the Americas"
"34","China","0.06%。","0.1%。","0.1%","WHO Western Pacific Region"
"35","Colombia","La producción para el año 2017 fue de 9.742 toneladas. 

El valor es de $98.227 millones de pesos colombianos (valor constante deflactado 2005) y participa con el 0,0% del PIB agrícola del año 2015","El valor es aproximadamente de 111.000 millones de pesos colombianos y participa con el 0,3% del PIB agrícola del año 2011.     
FUENTE: DANE - Cuentas nacionales, 2014. Disponible en: http://www.dane.gov.co","El valor es: 128.000 de millones de pesos colombianos y participa con el 0.3% del PIB agrícola del año 2011.","WHO Region of the Americas"
"36","Comoros","Answer not provided","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","Answer not provided","Answer not provided","WHO African Region"
