"","Party","2018","2016","2014","Region"
"1","Afghanistan","A new tobacco control act was adopted in 2015 which provides for a broad interpretation of an advertising ban. Depending on the rules of its enforcement, this requirement of the Act could cover all items under C272.","A new tobacco control act was adopted in 2015 which provides for a broad interpretation of an advertising ban. Depending on the rules of its enforcement, this requirement of the Act could cover all items under C272.","No any advertisement is allowed on trade of the Tobacco production","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","La publicité des produits du tabac na pas connu un développement en raison de la règlementation actuellement en vigueur.","La publicité des produits du tabac na pas connu un développement en raison de la règlementation actuellement en vigueur.","Answer not provided","WHO African Region"
"4","Angola","There is a comprehensive tobacco control bill currently awaiting Government approval, for later being sent to the National Assembly.","There is a comprehensive tobacco control bill currently awaiting Government approval, for later being sent to the National Assembly.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Draft legislation has been refined and legal processing is now progressing","Draft legislation has been refined and legal processing is now progressing slowly","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided",".....","WHO European Region"
"7","Australia","Prohibitions on certain forms of tobacco advertising, promotion and sponsorship including, in particular, point-of-sale advertising and the display of tobacco products in retail locations, are in place at the state and territory level. As reported in our previous periodic Reports, all states and territories have bans on the following forms of tobacco product sales and promotion:
•the sale of a tobacco product to a person under 18 years; and
• the sale of cigarettes in a package of less than 20 cigarettes.

Excluding Western Australia, all states and territories also have bans on the following forms of tobacco sales and promotion: 
• the sale of a tobacco product from a temporary outlet; 
• the inclusion of tobacco products purchases in rewards and shopper loyalty schemes; and
• the mobile selling of tobacco products.

Other forms of retail display bans vary across Australian jurisdictions.

In the Australian Capital Territory tobacco products can’t be sold by vending machine and can’t be included in customer reward schemes, promotions, sponsorships or product give aways. These measures are designed to reduce access to tobacco products, including by children, and minimise the harms associated with tobacco use. From 1 July 2016 the Australian Capital Territory restricted the sale, promotion and use of electronic cigarettes in the same way as tobacco. It is will be illegal to sell electronic cigarettes to people under the age of 18 and to use electronic cigarettes in legislated smoke-free areas (enclosed public places, outdoor eating or drinking areas, underage functions, in cars where children under the age of 16 are present, in declared smoke-free public places and at declared smoke-free events). Restrictions also apply to electronic cigarette advertising, displays and marketing. 

Also as reported in our previous periodic Reports, Australia also has tobacco advertising, promotion and sponsorship bans at the national level.","Prohibitions on certain forms of tobacco advertising, promotion and sponsorship including, in particular, point-of-sale advertising and the display of tobacco products in retail locations, are in place at the state and territory level. As reported in our previous periodic Report, all states and territories have bans on the following forms of tobacco product sales and promotion:
•	the sale of a tobacco product to a person under 18 years
•	the sale of a tobacco product from a temporary outlet
•	the sale of cigarettes in a package of less than 20 cigarettes
•	the inclusion of tobacco products purchases in rewards and shopper loyalty schemes
•	the mobile selling of tobacco products.

Other forms of retail display bans vary across Australian jurisdictions.

For example, in Victoria, tobacco advertising at a retail outlet point of sale is banned. An exemption exists for certified specialist tobacconists. From 1 April 2014, a person is no longer able to apply to have their business certified specialist tobacconists. As of 1 April 2014 the display of a tobacco advertisement for direct or indirect pecuniary benefit in a theatre, public place or on the outside of any road, sea or air vehicle or vessel, distributing leaflets or other documents to the public that are tobacco advertisements,  the selling of films or videos that contains a tobacco advertisement; sponsored events which include the promotion of tobacco products or the interest of a tobacco manufacturer or distributor are all banned.

In the ACT tobacco products cant be sold by vending machine and cant be included in customer reward schemes, promotions, sponsorships or product give aways. These measures are designed to reduce access to tobacco products, including by children, and minimise the harms associated with tobacco use. Further from 1 July 2016 new legislation will take effect in the ACT that restricts the sale, promotion and use of electronic cigarettes in much the same way as tobacco. From 1 July, it will be illegal to sell electronic cigarettes to people under the age of 18 and to use electronic cigarettes in legislated smoke-free areas (enclosed public places, outdoor eating or drinking areas, underage functions, and in cars where children under the age of 16 are present). Restrictions will also apply to electronic cigarette advertising, displays and marketing. 

Also as reported in our previous periodic Reports, Australia also has tobacco advertising, promotion and sponsorship bans at the national level.","Australia has comprehensive legislation and regulations in place prohibiting tobacco advertising. promotion and sponsorship. 
Under the Tobacco Advertising Prohibition Act 1992. it is an offence to publish or broadcast a tobacco advertisement. with certain limited exceptions. In 2012. the Tobacco Advertising Prohibition Amendment Act was enacted. extending the ban on tobacco advertising to the internet and other electronic media (for example. mobile phones) in Australia. 
Compliance and enforcement activities on tobacco advertising related matters are ongoing.
The legislation is available online at www.comlaw.gov.au. 
As detailed at section 3.2.5 above. the Australian Government has also introduced legislation requiring plain packaging of tobacco products sold in Australia. 
Prohibitions on certain forms of tobacco advertising. promotion and sponsorship including. in particular. point-of-sale advertising and the display of tobacco products in retail locations. are in place at the state and territory level. Please see Annex 1 and Annex 2 for further information.","WHO Western Pacific Region"
"8","Austria","The Austrian jurisdiction (constitutional court, higher administrative court, supreme court) confirmed in various judgements restrictive interpretations regarding the provisions for prohibition of commercials and sponsorings.","The Austrian jurisdiction (constitutional court, higher administrative court, supreme court) confirmed in various judgements restrictive interpretations regarding the provisions for prohibition of commercials and sponsorings.","Answer not provided","WHO European Region"
"9","Azerbaijan","New Law of Azerbaijan Republic ""On restriction of tobacco use"" - 01 December 2017 
https://tobaccocontrol.az/upload/File/catalog/02-2018/catalog-53-file.pdf
On 01 December 2017 the new Law of Azerbaijan Republic ""On restriction of tobacco use"" was adopted. The article 14, and especially article 9.1.4 of the Law total ban of all tipe of the direct and indirect TAPS.","Law of the Azerbaijan Republic On Advertising was updated in 15 May 2015
http://www.tobaccocontrollaws.org/files/live/Azerbaijan/Azerbaijan%20-%20Law%20on%20Advertising.pdf","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Bans have been implemented via policy on the advertisement of tobacco products in the local media and sponsorship of local and international events in country. The Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013) addresses a more comprehensive ban on tobacco advertising promotion and sponsorship in accordance with the guidelines.","WHO Region of the Americas"
