"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"8","Austria","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"9","Azerbaijan","Every year the Public Health and Reforms Center MoH leads the World No Tobacco Day activities at the national level directed to the general population, especially youth, media professionals, decision-makers.
The event was held with support of the 50 volunteers from ASAN Volunteers Youth Organization in 3 public places of capital of Azerbaijan: in front of the ""28 May"" metro station, in front of the public park close to Baku city railway station, and in front of the public park close to ""Narimanov"" metro station. Volunteers wearing T-shirts, on wich reflected campaign slogan, were offered smokers to take apple, which is a symbol of a healthy lifestyle, instead of smoking a cigarette. The action was supported by local media: ARB TV, and various media representatives highlighted of the event. All action activities were highlighted in the mass-media and found a widespread response in social networks.
The web-sites www.tobaccocontrol.az and www.nosmoke.az created and updated by Public Health and Reforms Center of the MoH, continued to use as the anti-tobacco web-platforms to promote country activities on tobacco control.","Every year the Public Health and Reforms Center MoH leads the World No Tobacco Day activities at the national level directed to the general population, especially youth, media professionals, decision-makers.
In 2013 and in 2014 (World No Tobacco Day) 1-st and 2-nd No Smoking Film Festival’s was launched in Baku. The members of the National Tobacco Control Coalition, representatives from various international and NGOs, the Ministry of Health, the Public Health and Reforms Center of the MoH (PHRC) and ""ADDIM"" Creative Youth Association, as well as well-known celebrities,
including the Azerbaijani winner of the Eurovision Song Contest 2011, media representatives and others participated in the event.
The Festival took place under “Don’t smoke - shoot a film!” slogan was organized by the PHRC and ""ADDIM"" to draw public attention on tobacco smoke hazards, especially direct negative impact on health of the youths. During two month all pre-festival and festival related activities were highlighted in the mass-media and found a widespread response in social networks.
In 2015 the Public Health and Reforms Center MoH updated www.tobaccocontrol.az web-platform and created new www.nosmoke.az (linked to anti-tobacco Campaign “Make Everyday No Tobacco Day”) web-platform to promote activities on tobacco control.","Every year the Public Health and Reforms Center MoH leads the World No Tobacco Day activities at the national level directed to the general population especially youth media professionals decision-makers.","WHO European Region"
"10","Bahamas","Report not provided","Legislation drafted.","Answer not provided","WHO Region of the Americas"
