"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","The law we have stipulated and in the last stage of the approval indicated this law is establish based on the inspection program of the WHO to obey and respect the relevant conventions of the WHO","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Les substituts nicotinique sont achetés au niveau des officines privés","Les substituts nicotinique sont achetés au niveau des officines privés","Answer not provided","WHO African Region"
"4","Angola","In pharmacies, upon prescription","In pharmacies, upon prescription","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","The Australian Government also provides financial support to help people quit smoking by the listing of nicotine replacement therapies on the Pharmaceutical Benefits Scheme (PBS), which provides access for all eligible Australians (including concession card holders). All these products are available at a reduced price for eligible patients through the PBS with a prescription from a General Practitioner or health professional.  

The Government’s subsidies include Bupropion (available in two brands) Varenicline (Champix®) and nicotine replacement therapy (available in the form of patches), including a continuation course (12 weeks or 24 weeks) of Varenicline through the PBS to aid in smoking cessation.","Nicotine replacement therapy products are available at most pharmacies and/ or supermarkets with or without a doctors prescription. Subsidised nicotine patches have also been available since 1994 to patients eligible for repatriation benefits and to Indigenous patients since January 2009. Access to access nicotine patches under the Pharmaceutical Benefits Scheme (PBS) was extended to all smokers in February 2011.","Answer not provided","WHO Western Pacific Region"
"8","Austria","Pharmacies, medicine chest","Pharmacies, medicine chest","Answer not provided","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Pharmacies","National Prescription Drug Plan provides some products free of charge to eligible patients","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Nicotine Replacement Therapy such as patches and gums are available in smoking cessation clinics free of charge or can be bought over the counter from the pharmacy, other products (champpix, Zayban) can be obtained by doctor prescription and are available in most pharmacies in Bahrain","Some products such as patches and gums are available in smoking cessation clinics free of charge or can be bought over the counter from the pharmacy, other products can be obtained by doctor prescription and are available in most pharmacies in Bahrain","Some products such as patches and gums are available in smoking cessation clinics free of charge or can be bought over the counter from the pharmacy other products can be obtained by doctor prescription and are available in most pharmacies in Bahrain","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","At local pharmacies with or without a prescription","Duties waiver for pharmecueticals","Answer not provided","WHO Region of the Americas"
"14","Belarus","В аптечной сети.","В аптечной сети.","In the pharmacy network","WHO European Region"
