"","Party","2018","2016","2014","Region"
"1","Afghanistan","Report not provided","Answer not provided","To have technical advisors and support on the training of the relevant section personals.","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Report not provided","Its a very good and useful tool for countries to monitor the FCTC. Training for the capacity building of national staff at country level in this area would be very useful.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Report not provided","This reporting instrument is far less user friendly that the 2014 report. This instrument does not allow for collaboration across and within Government, as there is no way to save externally and allow the WHO FCTC focal points to seek additional information that falls outside the health scope. For example, to ensure accuracy, Australia usually sends the report to colleagues at customs and  tax offices to ensure we report accurate seizure and tax information. This was not possible with this report as we couldnt guarantee that unrelated answers wouldnt be changed by accident, and the submitting officer needs to be accountable for all responses in the instrument. 

Further, Australia assumes that we will be sent our final responses for official record keeping purposes, but in the absence of this, the new instrument does not allow Parties to take responsibly for their own record keeping.  We note this is particularly important for consistency of responses between reporting periods.  

Australia had many problems with saving our responses, with the internet connection timing out and cutting out many times, resulting in the reporting instrument having to be reviewed many more times than in previous years, to ensure that input was saved as intended. 

Australia would welcome a return to the old reporting instrument.","Answer not provided","WHO Western Pacific Region"
"8","Austria","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"9","Azerbaijan","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Report not provided","This year the format was web-based but not user friendly. We attached many documents but none were received by you. There was also no save button at each stage and near each question, which would have helped. I totally disliked the new reporting instrument and feel  that a better job could be done in the future. Maybe you can find a different company to do it for you. I suggest you make a group from those who really fill this for you and test it with them in a one day meeting.","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Report not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Report not provided","The reporting instrument is very braod based and all encompassing and can be more concise.","Answer not provided","WHO Region of the Americas"
"14","Belarus","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"18","Bhutan","Report not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Report not provided","Answer not provided","More frequent meetings/teleconferences of national focal points more available transfer of FCTC reports possible technical visits of Secretariat to some countries with strong tobacco lobby support on collection of data from non-health sectors","WHO European Region"
"21","Botswana","Report not provided","Report not provided","Report not provided","WHO African Region"
"22","Brazil","Report not provided","xxx","Answer not provided","WHO Region of the Americas"
"23","Brunei Darussalam","Report not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"24","Bulgaria","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"25","Burkina Faso","Report not provided","Néant","Nous avions relevé quelques petites insuffisances de forme dans la conception de l’instrument de notification qui pourraient être améliorées ultérieurement. Il s’agit :
Le point 3.2.4.4 sur « Utilisation des directives adoptées par la COP » ne peut être renseigné parce que l’espace consacré à cet effet n’est pas activé.
Il n’existe pas de box relatifs aux options de réponses « NON » de point 5.2.","WHO African Region"
"26","Burundi","Report not provided","Voir les rubriques non répondues par la majorité des pays lors de la compilation pour tenir en considération lors de la détermination des problèmes prioritaires à résoudre.","Report not provided","WHO African Region"
"27","Cambodia","Report not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"28","Cameroon","Report not provided","Nous suggérons de bien revisiter ce dispositif de collecte de données et dinformation sur le contrôle du tabac ; Dispositif pratique et adapté pour une collecte plus aisée des données, mais peu adapté au contexte des pays en développement pour lesquels laccès à linternet haut débit reste problématique.","Des appuis techniques sont requis pour la mise en œuvre des ces activités dans un cadre multidisciplinaire","WHO African Region"
"29","Canada","Report not provided","Answer not provided","Canada encourages the continued efforts of the WHO to develop synergies in the WHO reporting tools used to collect data on national and subnational activities on tobacco control. 
Canada would also encourage the development of a scaled reporting process that could serve the needs of Parties with tobacco control programs in transition by reporting on early implementation activities. while more robust/detailed reporting processes could be developed for Parties with fully implemented programs.","WHO Region of the Americas"
"30","Cape Verde","Report not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","Report not provided","Report not provided","Report not provided","WHO African Region"
"33","Chile","Report not provided","Answer not provided","Se sugiere nuevamente. al igual que el informe enviado el 2012. establecer un sistema que permita anexar documentos y papers oficiales que permitan respaldar la información entregada y que no impliquen tener que trascribir artículos de leyes. reglamentos o directrices nacionales.
Un formato adecuado se puede revisar en el monitoreo que se realiza de la Estrategia Internacional de Reducción de Riesgo de Desastres EIRD que tiene un sistema en Línea más amigable para llenar este tipo de informes","WHO Region of the Americas"
"34","China","Report not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"35","Colombia","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"36","Comoros","Report not provided","Report not provided","Report not provided","WHO African Region"
