"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","None","Answer not provided","None","WHO African Region"
"4","Angola","None","None","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","None","WHO European Region"
"7","Australia","Partially","Partially","Partially","WHO Western Pacific Region"
"8","Austria","None","None","None","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Partially","Full","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","None","None","None","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","None","WHO South-East Asia Region"
"13","Barbados","None","None","None","WHO Region of the Americas"
"14","Belarus","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","Partially","Partially","Full","WHO European Region"
"16","Belize","Report not provided","None","Answer not provided","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","None","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","None","None","None","WHO European Region"
"21","Botswana","None","Report not provided","Report not provided","WHO African Region"
"22","Brazil","Fully","Fully","Full","WHO Region of the Americas"
"23","Brunei Darussalam","None","Report not provided","None","WHO Western Pacific Region"
"24","Bulgaria","None","None","None","WHO European Region"
"25","Burkina Faso","Answer not provided","Answer not provided","Full","WHO African Region"
"26","Burundi","Report not provided","Answer not provided","Report not provided","WHO African Region"
"27","Cambodia","Answer not provided","Report not provided","None","WHO Western Pacific Region"
"28","Cameroon","None","Answer not provided","None","WHO African Region"
"29","Canada","Partially","Partially","Answer not provided","WHO Region of the Americas"
"30","Cape Verde","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","None","Report not provided","Report not provided","WHO African Region"
"33","Chile","None","None","None","WHO Region of the Americas"
"34","China","None","None","None","WHO Western Pacific Region"
"35","Colombia","Partially","Answer not provided","Answer not provided","WHO Region of the Americas"
"36","Comoros","Answer not provided","Report not provided","Report not provided","WHO African Region"
