"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","The law on tobacco clearly explained the ban of cigarette or Tobacco production to be sold on minors the violent in this regard subject to pay certain amount ( 5000Afs – 20000Afs) as finality","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Australian states and territories govern the sale of tobacco products to consumers. 

Under current Australian laws, persons must be a minimum of 18 years of age to access tobacco and tobacco products in Australia.  
All Australian states and territories prohibit the sale of single cigarettes and mandate the minimum number of cigarettes in a pack (20 cigarettes), reasoning that small packs, being less expensive, are more attractive to youth.  

The majority of states and territories have existing legislation controlling the sale and/or marketing of overtly fruit or confectionery-flavoured tobacco products and prohibit the manufacturing and sale of tobacco products resembling toys (on the basis of protecting young people from taking up smoking). In addition states and territories require signage at points of sale, warning of the legal age restriction, and also require the purchaser of tobacco products to provide appropriate evidence of having reached full legal age.  

The Australian Capital Territory legislates e-cigarettes as smoking products, making their sale to minors illegal.
Australian state and territory legislation prohibits or restricts the display of tobacco products at points of sale. The sale of cigarettes in vending machines is also restricted in states and territories in the following ways: 
• In Victoria, vending machines for operation by the public must be positioned in sight of the service counter in bars, casinos and bottle shops.  

•In the Australian Capital Territory vending machines may not be used by the public to purchase smoking products.
• In New South Wales, vending machines are only allowed in licensed premises restricted to individuals over the age of 18, and like the Australian Capital Territory, may only be operated by staff intervention. 
• Queensland, Tasmania, Western Australia, and the Northern Territory all have measures in place to ensure that tobacco vending machines are not accessible to minors and do not promote the sale of tobacco products to minors.

Further, some jurisdictions have banned the sale of ENDS/ENNDS to minors.  

In Tasmania, penalties for sale and supply of tobacco to minors were significantly increased to a maximum fine of $19,000 for a first offence, $38,000 for a second offence and $57,000 for a further offence.  The sale or supply of electronic cigarettes to a person under 18 years is also banned.  New laws also enable a fit and proper test on applicants for a licence to sell tobacco products and electronic cigarettes.  
For further information on state and territory legislation regarding control of sales of tobacco products please refer to the following link: 
http://www.tobaccoinaustralia.org.au/chapter-15-smokefree-environment/15-7-legislation/table-15-7-1-implementation-dates-aus/","Australian states and territories govern the sale of tobacco products to consumers. 
Under current Australian laws, persons must be a minimum of 18 years of age to access tobacco and tobacco products in Australia.  In December 2015, the Tasmanian State Government released the Healthy Tasmania Five Year Strategic Plan – Community Consultation Draft, which proposes raising the minimum legal smoking age in Tasmania from 18 to 21 or 25 years of age.  
All Australian states and territories prohibit the sale of single cigarettes and mandate the minimum number of cigarettes in a pack (20 cigarettes), reasoning that small packs, being less expensive, are more attractive to youth.  
The majority of states and territories have existing legislation controlling the sale and/or marketing of overtly fruit or confectionery-flavoured tobacco products and prohibit the manufacturing and sale of tobacco products resembling toys (on the basis of protecting young people from taking up smoking).  In addition states and territories require signage at points of sale, warning of the legal age restriction, and also require the purchaser of tobacco products to provide appropriate evidence of having reached full legal age.  
Australian state and territory legislation prohibits or restricts the display of tobacco products at points of sale. The sale of cigarettes in vending machines is also restricted in states and territories in the following ways: 
•	In Victoria, vending machines must be operated by a staff member, except those positioned in sight of the service counter in bars, casinos and bottle shops.  
•	In South Australia, vending machines are permitted in liquor licensed premises and gaming areas but must be operated by tokens obtained from a staff member or by staff with a remote control.
•	In New South Wales, vending machines are only allowed in licensed premises restricted to individuals over the age of 18, and like the Australian Capital Territory, may only be operated by staff intervention. 
•	Queensland, Tasmania, Western Australia, and the Northern Territory all have measures in place to ensure that tobacco vending machines are not accessible to minors and do not promote the sale of tobacco products to minors.
Further, some jurisdictions have begun banning the sale of ENDS/ENNDS to minors.  
For further information on state and territory legislation regarding control of sales of tobacco products please refer to the following link: 
http://www.tobaccoinaustralia.org.au/chapter-15-smokefree-environment/15-7-legislation/table-15-7-1-implementation-dates-aus/","Australian state and territory legislation prohibits the sale of tobacco products to persons under the age of 18 years. requires signage at points of sale warning of the legal age restriction. and requires the purchaser of tobacco products to provide appropriate evidence of having reached full legal age. 
Australian state and territory legislation prohibits the manufacturing and sale of tobacco products resembling toys. and fruit and confectionary flavoured tobacco products. The sale of small packs containing less than 20 cigarettes is also prohibited. 
Australian state and territory legislation restricts the display of tobacco products at points of sale. The sale of cigarettes in vending machines is also restricted. In Victoria. vending machines must be operated by a staff member. except those positioned in sight of the service counter in bars. casinos and bottle shops. In South Australia. vending machines are permitted in liquor licensed premises and gaming areas but must be operated by tokens obtained from a staff member or by staff with a remote control. In New South Wales. vending machines are only allowed in licensed premises restricted to individuals over the age of 18. and like the Australian Capital Territory. may only be operated by staff intervention. Queensland. Tasmania. Western Australia. and the Northern Territory all have measures in place to ensure that tobacco vending machines are not accessible to minors and do not promote the sale of tobacco products to minors. Please see Annex 2 for links to relevant legislation.","WHO Western Pacific Region"
"8","Austria","Under current Austrian legislation the legal age for purchasing tobacco products is defined on the provincial level; all nine provinces have fixed 16 years as minimum required age in their youth protection acts (Jugensdschutzgesetze). However, efforts in strenghening the law will result in raising the legal age for purchasing (as of January 2019 according to the amendment of the Tobacco Act of March 2018) as well as for consuming tobacco products (forseen to be regulated in 2018) from 16 to 18 years of age.","Answer not provided","Answer not provided","WHO European Region"
"9","Azerbaijan","The Code of the Azerbaijan Republic “On Administrative Violations” enacted in 2000 and updated on 29 December 2015 provides penalties  raised up to 100 manats (Article 455.2.) for sale of ethylene (food) alcohol, and alcoholic beverages or tobacco goods to the juveniles (http://azertag.az/store/files/news/ASASNAME.pdf - available in Azerbaijani language only).
The new Law ""On restriction of tobacco use"" (Article 13) prohibiting the sales of tobacco products to minors.
(https://tobaccocontrol.az/upload/File/catalog/02-2018/catalog-53-file.pdf - available in Azerbaijani language only)","The Code of the Azerbaijan Republic “On Administrative Violations” enacted in 2000 and updated on 29 December 2015 provides penalties  raised up to 100 manats (Article 455.2.) for sale of ethylene (food) alcohol, and alcoholic beverages or tobacco goods to the juveniles (http://azertag.az/store/files/news/ASASNAME.pdf - available in Azerbaijani language only).","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013) addresses Sales to and by minors","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Starting 2011 and still ongoing, a campaign was launched to monitor the implementation of anti-smoking law at points of sale of tobacco products including sales to and by minors. Persons caught selling tobacco products to minors are referred to public prosecutor.","Starting 2011 and still ongoing, a campaign was launched to monitor the implementation of anti-smoking law at points of sale of tobacco products including sales to and by minors. Persons caught selling tobacco products to minors are referred to public prosecutor.","Several articles in antismoking law which was issued in 2009 prohibited sales to and by minors baned tobacco vending machines and distribution of free tobacco products. In addition a decree was issued by Minister of Health in 2011 regualting sales of tobacco products.
Starting 2011 and still going a campaign was launched to monitor the implementation of antsmoking law at points of sale of tobacco products including sales to and by minors. Persons caught selling tobacco products to minors are referred to public prosecutor","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","According to recent amended law 2013 sales to and by minor is prohibited.","WHO South-East Asia Region"
"13","Barbados","Generally good compliance by vendors and no reports of breaches","Generally good compliance by vendors and no reports of breaches","Legislation banning the sale of tobacco to minors was enacted in 2010 since that time the Ministry of Health continues to monitor compliance with the legislation and responds to requests for information to facilitate compliance.","WHO Region of the Americas"
"14","Belarus","Не изменились","Не изменились","Answer not provided","WHO European Region"
"15","Belgium","Answer not provided","Answer not provided","Pas de changements concernant ces aspects depuis le dernier rapport","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","il ny a pas de distributeurs automatiques de cigarettes au Bénin, mais on assiste à une  prolifération des chicha , qui passe de bouche à bouche","il ny a pas de distributeurs automatiques de cigarettes au Bénin","Answer not provided","WHO African Region"
"18","Bhutan","sale of tobacco is banned. Therefore, sales to and by minors is not applicable.","Answer not provided","The law provide that no person in the country shall sell or distribute tobacco or tobacco products","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Report not provided","WHO Region of the Americas"
