"","Party","2018","2016","2014","Region"
"1","Afghanistan","Report not provided","1- increase tobacco product taxation
2. smoke free environment such public gathering places","To have proper law rule regulation and procedures on appropriate manner on production and usage and control of Tobacco","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Enforcement of the Smoke-free Policy. 
Improvement of the Albanian legislation as soon as possible. 
Strengthening the implementation of the law. 
The tax reform. 
Strengthening the cessation activities.","WHO European Region"
"3","Algeria","Report not provided","	Poursuite de la mise en  œuvre de la  stratégie nationale  de lutte antitabac conformément aux dispositions de la 
        CCLAT.        
	Renforcement de l’application de la réglementation relative à l’interdiction de l’usage du tabac dans les lieux 
        publics 
	Augmentation des mises en gardes sanitaires sur les méfaits du tabac sur les paquets de cigarettes  en vue 
        d’atteindre les dispositions fixées par la CCLAT.
	Mise en oeuvre de la stratégie nationale d’aide au sevrage tabagique.
	Développement du système de surveillance de la consommation du tabac par le lancement d’étude dans toutes    
        les catégories de la population générale.","?	Mise en place dun comité intersectoriel pour la lutte antitabac 
?	Elaboration et mise en œuvre dune stratégie nationale de lutte antitabac conformément aux dispositions de la CCLAT.
?	Application de la réglementation relative à l’interdiction de l’usage du tabac dans les lieux publics 
?	Augmentation progressive les mises en gardes sanitaires sur les méfaits du tabac sur les paquets de cigarettes en vue d’atteindre l’objectif fixé par la CCLAT.
?	Augmentation des taxes et des prix des produits du tabac en tant que mesure dissuasive pour en réduire la consommation.
?	Développement d’une stratégie nationale d’Information d’Education et de communication en direction des jeunes en vue de réduire significativement la consommation du tabac.","WHO African Region"
"4","Angola","Report not provided","To adopt the national law and regulation on tobacco control and tobacco products; to strengthen enforcement of the WHO FCTC, including in terms of national legislation, monitoring, surveys and awareness campaigns; to reinforce the national mechanisms  for tobacco control; to reinforce national capacities for the implementation of tobacco control at national level.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Implementation of the WHO-FTCT is of strong priority within the Ministry of Health. With that said. its important to also note that local parties face serious constraints which inhibit the capacity to accomplish timely tobacco control initiatives. The Government of Antigua and Barbuda has supported the FTCT and has produced a Cabinet Decision which aims at providing protection from tobacco smoke within the public sector. However. at this point. tobacco control legislation is still in progress due to attempts to capture or cover recent developments in the tobacco industry","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","The current key priorites are complete ban of all forms of tobacco advertising sponsorship and promotion to change the packaging and labeling of tobacco products","WHO European Region"
"7","Australia","Report not provided","The ongoing compliance and enforcement that governs Australias tobacco plain packaging, including continued education and the training of retailers regarding their legal responsibilities with the measures remains a strong priority for Australia.  

Further, Australia is in the process of undertaking the development and promulgation of a Guidance Note regarding our obligations under WHO FCTC Article 5.3. This will provide Commonwealth agencies and Statutory Authorities with guidance on obligations under this Article, because as noted below, tobacco industry interference continues to be a ongoing challenge for Australia. 

Australia has also commenced a mid point review of our National Tobacco Strategy 2012-2018, and plans to undertake a review of the graphic health warnings that appear on our tobacco products.

All Australian governments are exploring options to minimise the risks associated with the marketing and use of ENDS/ENNDS in Australia. 

Australia will continue to implement mass media campaigns at both the national and sub national level.  

In addition, Australia is in the process of preparing a Regulation Impact Statement to explore options for further implementation of WHO FCTC Articles 9 and 10.","One of the priorities for Australia is to finalise the domestic processes required in order to make a decision on whether to accede to the Protocol to Eliminate Illicit Trade in Tobacco Products.","WHO Western Pacific Region"
"8","Austria","Report not provided","Stronger enforcement of the existing smoking restrictions under current legislation;
further development of a national tobacco control strategy.","stronger enforcement of the existing smoking restrictions under current legislation; further development of a national tobacco control strategy.","WHO European Region"
"9","Azerbaijan","Report not provided","Protection of a human right for health","Protection of a human right for health","WHO European Region"
"10","Bahamas","Report not provided","High Priority to implement the WHO FCTC through legislation, thus the drafting of the FCTC-compliant legislation. Minister of Health to add to cabinet agenda for onward movement.","Passage of the draft legislation enforcement of relevant penalties education of providers on tobacco dependence strategies targeting funding gained from taxation of tobacco products toward health acre for those affected.","WHO Region of the Americas"
