"","Party","2018","2016","2014","Region"
"1","Afghanistan","Report not provided",NA,"According to the enacted law the item will seized and finality will imposed practised.","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Report not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","This aspect of our Draft Legislation still requires detailed review.","This aspect of our Draft Legislation still requires detailed review","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Report not provided","In late 2001, Rolah McCabe commenced a case against British American Tobacco Australia in the Supreme Court of Victoria. Rolah was 51, and dying of lung cancer. She had started smoking in the early 1960s at the age of 12. Rolah sued BAT arguing that it had been negligent in its manufacturing and marketing of cigarettes, and that its negligence had caused her lung cancer. She sought damages. Rolah argued that BAT knew that cigarettes were addictive and dangerous to health, took no reasonable steps to reduce the risk of addiction or the health risks, targeted children in its advertising, and ignored or publicly disparaged research results which indicated the health risks of smoking. In April 2002, Rolah became the first person outside of the US to obtain a verdict against the tobacco industry in a personal injury claim, though the verdict was overturned on appeal later that year.","Answer not provided","WHO Western Pacific Region"
"8","Austria","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"9","Azerbaijan","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Report not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Report not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Report not provided","No significant movement on Article 19","Answer not provided","WHO Region of the Americas"
"14","Belarus","Report not provided","не изменились","Answer not provided","WHO European Region"
"15","Belgium","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Note that the draft National Tobacco Bill makes reference to Article 19.","Answer not provided","WHO Region of the Americas"
"17","Benin","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"18","Bhutan","Report not provided","Answer not provided","Sec. 50 – Any person who contravenes the provision of section 11(a) and (b) shall be punishable with a felony of the fourth degree as per the Penal Code of Bhutan.
Sec 51: Any person who contravenes section 11(c) of this Act shall be punished with misdemeanour as per the penal code of Bhutan. However if tobacco and tobacco products bought is more than four times the permissible quantity he or she shall be punished with felony of fourth degree as per the Penal Code of Bhutan.
Sec. 11. No person in the country shall:
cultivate harvest or manufacture tobacco or tobacco products;
Sell or distribute tobacco or tobacco products;
Buy tobacco or tobacco products
Possess tobacco or tobacco products without proof of tax and duty payments or beyond the permissible quantity and type determined by the Parliament; and
Knowingly transport tobacco or tobacco products without proof of tax and duty payments or beyond the permissible quantity and type determined by Parliament.
 For contravening the above provision a total of 138 people were convicted within the period 1st January 2011 to 31st December 2013","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"21","Botswana","Report not provided","Report not provided","Report not provided","WHO African Region"
