"","Party","2018","2016","2014","Region"
"1","Afghanistan","pectoral and written warning messages are developed , approved by technical committee and high commission for tobacco control, these messages distributed to all relevant ministries such as Ministry of finance, commerce and culture  information and interior affair","pectoral and written warning messages are developed , approved by technical committee and high commission for tobacco control, these messages distributed to all relevant ministries such as Ministry of finance, commerce and culture  information and interior affair and also through ministry of forign affair to all external tobacco industries to use it for tobacco product when export to Afghanistan","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","On 12.03.2013 the law “On health protection from tobacco products” has made same amendments modifications. Some of the most important modifications on the law ; also warning messages about the health now are in figures or illustration that shows damages that came from smoking. Pictorial warnings have been adopted but not yet enter into force","WHO European Region"
"3","Algeria","de nouvelles dispositions sur  les mises en garde sanitaires sont en cours délaboration  conformément à larticle 11","Un projet , modifiant et complétant le décret exécutif de 2004 relatif à la règlementation et la fabrication des produits du tabac en vue dintroduction de nouvelles disposition sur  les mises en garde sanitaires conformément à larticle 11","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing.","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","According to the List of priority actions of the State Tobacco Control Program and some proposals of the Ministry of Health it is envisaged to change the packaging and labeling of tobacco products up to 2015 and introduction of new types of it with the use of pictorial warnings.","WHO European Region"
"7","Australia","With effect from 1 October 2012, all tobacco products manufactured or packaged in Australia for domestic consumption were required to be in plain packaging, and with effect from 1 December 2012, all tobacco products sold, offered for sale or otherwise supplied in Australia were required to be in plain packaging (standardised packaging). Tobacco product packaging has also been required to be labelled with new, larger graphic health warnings since 1 December 2012.  

The Australian Government owns copyright for some but not all of the images used as graphic health warnings on tobacco product packaging in Australia. Australia grants copyright licences to other Parties for use of the images owned by the Australian Government, or where the Australian Government is permitted to sublicense the use of an externally owned image. In the case of some images not owned by the Australian Government, permission may need to be sought from an external copyright owner and may include a fee.

Australia is undertaking a market research evaluation of the graphic health warnings on all tobacco products as prescribed under Australia’s Competition and Consumer (Tobacco) Information Standard 2011. The project will assess their effectiveness and identify strategies for improvement. It is anticipated that the project will be completed by 29 June 2018.","With effect from 1 October 2012, all tobacco products manufactured or packaged in Australia for domestic consumption were required to be in plain packaging, and with effect from 1 December 2012, all tobacco products sold, offered for sale or otherwise supplied in Australia were required to be in plain packaging (standardised packaging).  Tobacco product packaging has also been required to be labelled with new, larger graphic health warnings since 1 December 2012.  
In relation to questions C2511 and C2512, the Australian Government owns copyright for some but not all of the images used as graphic health warnings on tobacco product packaging in Australia.  Australia grants copyright licences to other Parties for use of the images owned by the Australian Government, or where the Australian Government is permitted to sublicense the use of an externally owned image.  In the case of some images not owned by the Australian Government, permission may need to be sought from an external copyright owner and may include a fee.
In relation to C2513, in line with the WHO FCTC Article 11 Guidelines, Australia provides qualitative not quantitative information about constituents and emissions of tobacco products.","Tobacco Plain Packaging
All tobacco products manufactured or packaged in Australia for domestic consumption were required to be in plain packaging. effective 1 October 2012. and all tobacco products were required to be sold in plain packaging effective 
1 December 2012. 
The objectives of the plain packaging measure are to:
– reduce the appeal of tobacco products to consumers. particularly young people;
– increase the effectiveness of mandated health warnings;
– reduce the ability of the retail packaging of tobacco products to mislead consumers about the harmful effects of smoking or using tobacco products; and
– through the achievement of these aims in the long term. as part of a comprehensive suite of tobacco control measures. contribute to efforts to reduce smoking rates.
Tobacco plain packaging is being implemented through the Tobacco Plain Packaging Act 2011 and the Trade Marks Amendment (Tobacco Plain Packaging) Act 2011. 
The legislation prohibits tobacco industry logos. brand imagery. colours and promotional text other than brand and product names in a standard colour. position. font style and size on retail packaging of tobacco products. 
Tobacco product retail packaging is required to appear in a drab dark brown colour in matt finish. Cigarette packs are required to have standardised shapes and openings. Plain packaging applies not just to cigarette products but to all tobacco products. including loose leaf tobacco. cigars and bidis. Some restrictions also apply to the appearance of tobacco products.
Graphic Health Warnings
Graphic health warnings on tobacco products have been updated and expanded in the Competition and Consumer (Tobacco) Information Standard 2011 (the Standard) which commenced on 1 January 2012 and took full effect from 1 December 2012. The requirments are as follows
– The size of graphic health warnings increased to 75 per cent of the front of the pack for cigarettes and cartons. up from 30 per cent. with the 90 per cent warnings for the back of packs retained.
– The size of graphic health warnings for most other smoked tobacco products has increased to 75 per cent of both the front and back of the pack.
– Cigars sold singly are also required to have health warnings under the Standard. 
– The graphic health warnings for cigarettes and most other smoked tobacco products (not including cigars and bidis) rotate in two sets of seven warnings every 12 months.
– Information messages about the toxic chemicals in tobacco smoke and their health effects are paired to each of the 14 warnings and are required on the side of cigarette packaging and on other panels of most other smoked tobacco products (not including cigars and bidis). 
In relation to questions 3.2.5.11 and 3.2.5.12. the Australian Government owns copyright for some but not all of the images used as graphic health warnings on tobacco product packaging in Australia. Australia grants copyright licences to other Parties for use of the images owne","WHO Western Pacific Region"
"8","Austria","Austria finalized the transposition of the EU Tobacco Products Directive (TPD II) into national law. This resulted in an amendment of the Austrian Tobacco Act (in effect since 20 May 2016) concerning the regulations of packing and labelling (combined warnings/65% on both sides of the unit packet of FMC and RYO, position at the top, health warnings on the lateral sides, some standardisation of packet shapes, no promotional elements, etc.).","After a two years process of preparing, Austria currently is finalizing the transposition of the EU Tobacco Products Directive (TPD II) into national law. This results in an amendment of the Austrian Tobacco Act (becoming effective as of 20 May 2016) concerning the regulations of packing and labelling (combined warnings/65% on both sides of the unit packet of FMC and RYO, position at the top, health warnings on the lateral sides, some standardisation of packet shapes, no promotional elements, etc.).","Austria is already preparing for the transposition of the EU Tobacco Products Directive (TPD II) and the Directive 2012/9/EU (concerning manufacture presentation and sale of tobacco products) into national law: This will result in an amendment of the Austrian Tobacco act concerning the regulations of packing and labelling (combined warnings/65% on both sides of the unit packet of FMC and RYO position at the top health warnings on the lateral sides some standardisation of packet shapes no promotional elements slim cigarettes not covered by TPD).","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Since 2012 in Azerbaijan have come into force a new standard for labelling of tobacco products: AZS 335-2009 ''Tobacco products. Packaging and labelling'' State Standard. standard ensuring that the 30% of cigarette packs must occupy the inscription ''Smoking damages your health'' on national language.","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013) addresses packaging and labelling of tobacco products in compliance with the prescribed standards","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Work is in the final stages to update health warnings of tobacco products, also to update packaging and labeling specifications in order to be one step closer to plain packaging.","Work is in the final stages to update health warnings of tobacco products, also to update packaging and labeling specifications in order to be one step closer to plain packaging.","Bahrain as part of Gulf Counsil Countries (GCC) agreed to start implementing pictorial warning on tobacco products packets (cigarretes cigars and moassel) starting August 2012 and granted tobaco selling representitives 6 months to clear their stocks.","WHO Eastern Mediterranean Region"
"12","Bangladesh","According to the recent amended law, pictorial warning must be printed on all package of tobacco products at least 50% of the pack (in front  and back)","According to the recent amended law, pictorial warning must be printed on all package of tobacco products at least 50% of the pack (in front  and back)","According to the recent amended law there should be pictorial warning on pack of tobacco products at least 50% of the pack","WHO South-East Asia Region"
"13","Barbados","There is progress. The Cabinet of Barbados approved the final legislative change. The law be debated in Parliament of Barbados and proclaimed. The industry has been given a 6 month grace period for implementation","There is progress. The Cabinet of Barbados has approved the final legislative change
What is left to be completed  is the Attorney General to issue the certificate, the final document be prepared by the Office of the Chief Parliamentary Council and the law be debated in Parliament of Barbados","The Caribbean Regional Organisation on Standards and Quality of the Caribbean Community (CARICOM) adopted a Regional Standard on Packaging and Labelling of Tobacco Products in 2013. The Ministry of Health has initiated the process to adopt the Standard nationally. Work in on-going between the Ministry of Health and the Office of the Attorney General to prepare the necessary legislation for the consideration of the Cabinet and passage in the Parliament to adopt the Regional Standard for Barbados thus requiring graphic rotating pictorial warning labels on all tobacco products sold in Barbados. An unwritten policy continues to be honoured requiring a written health warning on all packages of cigarettes that are sold from the Chief Medical Officer or the Minister of Health.","WHO Region of the Americas"
"14","Belarus","Принят и с 15 мая 2016 года вступилт   в силу технический регламент Таможенного союза ""Технический регламент на табачную продукцию"" (ТР ТС 035/2014).","Требования к сигаретам из табака изложены в ГОСТ 3935-2000 ""Сигареты. Общие технические условия"". Последние изменение к стандарту утверждено в декабре 2008 г. Регламентирующие характеристики - содержании смолы и никотина в конденсате дыма сигарет (миллиграмм на сигарету). Принят и с 15 мая 2016 года вступает   в силу технический регламент Таможенного союза ""Технический регламент на табачную продукцию"" (ТР ТС 035/2014).","No changes. Labeling requirements for cigarettes of tobacco contained in ISO 3935-2000 ''Cigarettes. General specifications'' of tobacco production in the rest of STB 1088-97 ''Tobacco. Consumer Information.'' 
Currently a technical regulation of the Customs Union ''Technical regulations for tobacco products'' the requirements of which are required for 3 of the Customs Union.","WHO European Region"
"15","Belgium","La nouvelle directive européenne 2014/40/UE est dapplication depuis le 20 mai 2016.  cela implique des ameliorations en matière de packaging, notamment avertissements incluant photos sur les deux faces principales des paquets de cigarettes, avertissements incluant photos sur le tabac à rouler et le tabac à chichi.","Answer not provided","Pas de changements concernant ces aspects depuis le dernier rapport.","WHO European Region"
"16","Belize","Report not provided","Curently the Bureau Standards is reviweing for implementation the Bill for PAckaging and labeling of tobacco products.","Answer not provided","WHO Region of the Americas"
"17","Benin","depuis 2011, Tous les paquets de cigarettes vendus au Bénin portent la mention "" le tabac nuit gravement à la santé"" sinon ils ne sont pas vendus au Bénin","depuis 2011, Tous les paquets de cigarettes vendus au Bénin portent la mention "" le tabac nuit gravement à la santé"" sinon ils ne sont pas vendus au Bénin","lavertissement sanitaire écrit en caractères clairs lisible en langue française couvre au moins les 30% des deux faces principales du paquet de cigarettes la teneur en nicotine monoxyde de carbone et goudron figure sur le paquet ; et la maquette est validée par le ministre de la santé avant la mise en vente sur le territoire","WHO African Region"
