"","Party","2018","2016","2014","Region"
"1","Afghanistan","Allocated separate area for smoking in air ports
installing sign of No tobacco on visible places
take out of tobacco product during entrance to indoor places
fine system ( for ofinders) 
installing messages regarding tobacco harms
water-pipe removal campaign in Kabul city
integration of tobacco control in daily supervision of municipality and environmental health office","Allocated separate area for smoking
installing sign of tobacco use ban in visible places
take out of tobacco product during entrance to institutions
fine system ( for employees and clients) 
installing messages on tobacco harms
written commitment from owners and managers of pvt hotels and restaurants coffees and Monitoring of public gathering places by environmental health monitors","Ban on Import of cigarettes and tobacco productions and cigarette and any kind of the tobacco production in illegal manners","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Responsible for the implementation of this article are: State Sanitary Inspectorate Municipality and Commune Police.
Municipal Police Communal Police and the State Sanitary Inspectorate follow the application of Articles 15 16 prohibiting smoking in enclosed public places. 
The Minister of Health on 02 August 2012 has set up a task force nr 2 for the implementation of the law (for the control of the smoking ban in public places). The purpose of this order was to create the model for the state inspectorate of how they should work to implement the law. The task force was successful but this model was not implemented on State Sanitary Inspectorate.
 But the law is not implemented still yet but is raise awareness.","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","The «Inspecção general de Saúde», at the MoH, is the administrative body responsible for the control of these measures.","The «Inspecção general de Saúde», at the MoH, is the administrative body responsible for the control of these measures.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","In Australia, control of environmental tobacco smoke and the issue of smoking in public places is one that generally falls within the jurisdiction of the state and territory governments.

All state and territory governments have laws prohibiting smoking in cinemas and theatres, most forms of public transport and in food preparation areas. Most jurisdictions have introduced broader bans on smoking in enclosed public places such as restaurants and shopping centres, pubs and nightclubs and in cars with children. Some jurisdictions have also introduced bans on smoking in outdoor areas such as outdoor eating and drinking places, building entrances, sporting facilities and public beaches.

Each state and territory also has occupational health and safety legislation, which imposes a duty on all employers to provide, within reason, a workplace that is free of hazards to health for employees and those entering the premises. This includes smoke-free work environments.

Most states and territories provide for enforcement and inspection mechanisms in addition to the statutory penalty provisions. Many jurisdictions have begun banning vaping in areas where tobacco smoking is already banned. 

The Victorian Government provides funding to local councils to undertake education and enforcement activity in relation to the Victorian Tobacco Act 1987 (Tobacco Act). This arrangement is specified under a Service Agreement between the Victorian Department of Health and Human Services and the Municipal Association of Victoria (the peak body representing local government authorities in Victoria). Victoria Police enforce the ban on smoking in cars with minors and Public Transport Victoria enforces smoking bans at public transport stops and on public transport.

In New South Wales, compliance monitoring and investigation is carried out by authorised officers in Public Health Units of the fifteen Local Health Districts across the State. Enforcement activity is also undertaken by the New South Wales Ministry of Health.

In South Australia, breaches of the legislation are monitored and enforced by Department of Health authorised officers and South Australian police, while some declared smoke-free areas are also enforced by authorised officers within local government.

In Tasmania, the Department of Health and Human Services employs two Tobacco Control Officers to enforce the tobacco provisions of the Public Health Act 1997. Tasmania Police and Local Council Environmental Health Officers are also authorised under the Public Health Act 1997 to enforce these laws.

In Western Australia, investigators are gazetted to enforce the legislation. Restricted powers are also given to police and local authorities.

In the Australian Capital Territory, enforcement is regulated under the Smoke-Free Public Places Act 2003 including powers to direct people to stop smoking, enter premises, require identification and seize related items. Police also have the power to stop vehicles to enforce the ban on smoking in cars with minors. The smoking in cars legislation is enforced by law enforcement officials.

Penalties apply, in the Australian Capital Territory, for smoking in an enclosed public place, in an outdoor eating and drinking area, at an underage function, at declared smoke-free public places (currently children’s play spaces and public transport waiting areas) and at declared smoke-free events. Penalties also apply for smoking in a car when children are present. The Australian Capital Territory Government is responsible for enforcing the Australian Capital Territory’s smoke-free public places legislation. 

In the Northern Territory, non-compliance with the legislation is subject to on-the-spot fines of AUD $200-400 or prosecution. Authorised persons employed by the Northern Territory health department are also able to assist with enforcement.  

In Queensland, compliance monitoring and investigation is undertaken by Environmental Health Officers in the Public Health Units of the seventeen Hospital and Health Services across the State. Police officers also have the power to stop vehicles to enforce the ban on smoking in cars with children aged less than sixteen years and for smoking in a vehicle being used for business purposes if there is anyone else in the vehicle.  
Park Rangers are authorised to enforce smoking bans in National Parks and Local Government officers can be authorised to enforce smoking bans at outdoor public places in their local council area.","As stated above in C223, the protection from exposure to tobacco smoke in Australia is primarily the responsibility of state and territory governments.  All Australian state and territories have bans on smoking in offices, bars, restaurants and other indoor public spaces.  All Australian states and territory tobacco control legislation have penalty and enforcement provisions.  Most states and territories provide for enforcement and inspection mechanisms in addition to the statutory penalty provisions. Many jurisdictions have begun banning vaping in areas where tobacco smoking is already banned. 
Smokefree legislation is varied across different jurisdictions in Australia, for example, the Victorian Government provides funding to local councils to undertake education and enforcement activity in relation to tobacco smoking at workplaces, eating establishments, and licensed premises. This arrangement is specified under a Service Agreement between the Victorian Department of Health and Human Services and the Municipal Association of Victoria (the peak body representing local government authorities in Victoria).
A Memorandum of Understanding between the Victorian Department of Health and WorkSafe Victoria for inspection and enforcement activity exists for workplaces where there have been more than two complaints, and the investigating council has not been able to resolve the matter via standard protocols.
Victorian council inspectors are also empowered to enforce the smoking bans:
•	at patrolled beaches (from 1 December 2012) and the smoking bans:
•	at outdoor children’s playground equipment, skate parks, public swimming pool complexes and sporting venues during organised underage sporting events 
•	in outdoor areas of, and at and within 4 metres of entrances to, childcare centres, kindergartens and schools
•	at and within 4 metres of entrances to children’s indoor play centres and Victorian public premises (public hospitals, registered community health centres and certain Victorian Government buildings)
Victorian police enforce the ban on smoking in cars with minors and Public Transport Victoria enforces smoking bans at public transport stops and on public transport.
In New South Wales, compliance monitoring and investigation is carried out by authorised officers in Public Health Units of the fifteen Local Health Districts across the State. Enforcement activity is also undertaken by the New South Wales Ministry of Health.
In South Australia, breaches of the legislation are enforced by South Australian police and monitored by Department of Health authorised officers.
In Tasmania, the Department of Health and Human Services employs two Tobacco Control Officers to enforce the tobacco provisions of the Public Health Act 1997. Tasmanian police and Local Council Environmental Health Officers are also authorised under the Public Health Act 1997 to enforce these laws.
In Western Australia, investigators are gazetted to enforce the legislation. Restricted powers are also given to police and local authorities.
In the Australian Capital Territory, powers for the inspection of premises are regulated under the Smoke-Free Public Places Act 2003 (ACT). Police also have the power to stop vehicles to enforce the ban on smoking in cars with minors.
In the Northern Territory, non-compliance with the legislation is subject to on-the-spot fines of AUD $200-400 or prosecution. Authorised persons employed by the Northern Territory health department are also able to assist with enforcement.  
In Queensland, compliance monitoring and investigation is undertaken by Environmental Health Officers in the Public Health Units of the seventeen Hospital and Health Services across the State. Police officers also have the power to stop vehicles to enforce the ban on smoking in cars with children aged less than sixteen years and for smoking in a vehicle being used for business purposes if there is anyone else in the vehicle.  
In the ACT, penalties apply for smoking in an enclosed public place, in an outdoor eating and drinking area, or at an underage function. Penalties also apply for smoking in a car when children are present.  Access Canberra is responsible for enforcing the ACT’s smoke-free public places legislation. The smoking in cars legislation is enforced by Australian Federal Police ACT-Policing.","All Australian state and territory tobacco control legislation has penalty and enforcement provisions. Most states and territories provide for enforcement and inspection mechanisms additional to the statutory penalty provisions.
The Victorian Government provides funding to local councils to undertake education and enforcement activity in relation to tobacco smoking at workplaces. eating establishments. and licensed premises. This arrangement is specified under a Service Agreement between the Victorian Department of Health and the Municipal Association of Victoria (the peak body representing local government authorities in Victoria).
A Memorandum of Understanding between the Victorian Department of Health and WorkSafe Victoria for inspection and enforcement activity exists for workplaces where there have been more than two complaints. and the investigating council has not been able to resolve the matter via standard protocols.
Victorian council inspectors are also empowered to enforce the smoking bans at patrolled beaches (from 1 December 2012) and the smoking bans at outdoor children''s playground equipment. skate parks. public swimming pool complexes and sporting venues during organised underage sporting events (from 1 April 2014). 
Victorian police enforce the ban on smoking in cars with minors.
Public Transport Victoria enforce smoking bans at public transport stops and on public transport.
In New South Wales. compliance monitoring and investigation is carried out by authorised officers in Public Health Units of the fifteen Local Health Districts across the State. Enforcement activity is also undertaken by the New South Wales Ministry of Health.
In South Australia. breaches of the legislation are enforced by South Australian police and monitored by Department of Health authorised officers.
In Tasmania. the Department of Health and Human Services employs two Tobacco Control Officers to enforce the tobacco provisions of the Public Health Act 1997. Tasmanian police and Local Council Environmental Health Officers are also authorised under the Public Health Act 1997 to enforce these laws.
In Western Australia. investigators are gazetted to enforce the legislation. Restricted powers are also given to police and local authorities.
In the Australian Capital Territory. powers for the inspection of premises are regulated under the Smoke-Free Public Places Act 2003 (ACT). Police also have the power to stop vehicles to enforce the ban on smoking in cars with minors.
In the Northern Territory. non-compliance with the legislation is subject to on-the-spot fines of AUD $200-400 or prosecution. Authorised persons employed by the Northern Territory health department are also able to assist with enforcement. 
In Queensland. compliance monitoring and investigation is undertaken by Environmental Health Officers in the Public Health Units of the seventeen Hospital and Health Services across the State. Police officers also have the power to st","WHO Western Pacific Region"
"8","Austria","Article 14 of the Austrian tobacco act provides for the possibility to impose fines on smokers and tenants of public indoor places (including workplaces accessible to the public); the district administration authorities are competent for prosecuting violations of the tobacco act.

The provisions of the Austrian law on health and safety at work act are controlled by specific inspectors (""Arbeitsinspektoren"") on a regular basis and fines can be imposed if provisions for the protection of workers are violated. If there are sever threats to workers health and safety an establishment can even be closed down","Article 14 of the Austrian tobacco act provides for the possibility to impose fines on smokers and tenants of public indoor places (including workplaces accessible to the public); the district administration authorities are competent for prosecuting violations of the tobacco act.

The provisions of the Austrian law on health and safety at work act are controlled by specific inspectors (""Arbeitsinspektoren"") on a regular basis and fines can be imposed if provisions for the protection of workers are violated. If there are sever threats to workers health and safety an establishment can even be closed down","Para. 14 of the Austrian tobacco act provides for the possibility to impose fines on smokers and tenants of public indoor places (including workplaces accessible to the public); the district administration authorities are competent for prosecuting violations of the tobacco act.
The provisions of the Austrian law on health and safety at work act are controlled by specific inspectors (''Arbeitsinspektoren'') on a regular basis and fines can be imposed if provisions for the protection of workers are violated. If there are sever threats to workers'' health and safety an establishment can even be closed down","WHO European Region"
"9","Azerbaijan","The Code of the Azerbaijan Republic On administrative violations enacted in 2000 and updated in 2015 provides range of penalties for smoking in different prohibited areas. 
It is expected that after adopting of new Law ""On restriction of tobacco use"" the changes will affect to the Code of the Azerbaijan Republic On administrative violations, and the fines will increase significantly by several times.","http://www.taxes.gov.az/uploads/qanun/2011/mecelleler/inzibati_xetalar_mecellesi_eng.pdf or
http://www.tobaccocontrol.az/upload/File/catalog/10-2015/catalog-14-file.pdf (only on Azerbaijan language)
The Code of the Azerbaijan Republic On administrative violations enacted in 2000 and updated in 2015 provides penalties: for smoking cigarette in aircraft, railway, sea and river transports (Articles 134; 140; 148), in metro (only by web-link on Azerbaijan language - http://dyp.gov.az/index.php?/az/content/203), including crossings and platphorms (Article 140-1.4.), in urban, country and international bus routes (Article 150-2.1.4. - only by web-link on Azerbaijan language - http://dyp.gov.az/index.php?/az/content/203).","sa=t&rct=j&q=The+Code+of+the+Azerbaijan+Republic+On+administrative+violations+&source=web&cd=1&ved=0CCEQFjAA&url=http%3A%2F%2Flegislationline.org%2Fdownload%2Faction%2Fdownload%2Fid%2F3439%2Ffile%2FAzerbaijan_Code%2520on%2520Administrative%2520offences_2000_eng.pdf&ei=natQUOH1NYjAhAfD9YHYDA&usg=AFQjCNGzsGVV2FAq7cCOwoo-FtJ7pLCVRA&cad=rjt 
The Code of the Azerbaijan Republic On administrative violations enacted in 2000 provides penalties: for smoking cigarette in aircraft railway sea and river transports (Articles 134; 140; 148. The draft new Law on Smoking Restriction currently being developed and is expected to introduce more stringent antismoking regulations.","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
