"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Indicator not used","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Indicator not used","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Indicator not used","WHO European Region"
"7","Australia","Answer not provided","Answer not provided","Indicator not used","WHO Western Pacific Region"
"8","Austria","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Tobacco advertising, promotion and sponsorship are completely banned by our national law. Articles 6,7, and 15 of Antismoking law and decree (3) of 2011 prohibit any form of advertising, promotion and sponsorship by tobacco manufacturers, distributors and sales. In addition, social media like facebook and instagram originating from Bahrain is closely monitored.","Tobacco advertising, promotion and sponsorship are completely banned by our national law. Articles 6,7, and 15 of Antismoking law and decree (3) of 2011 prohibit any form of advertising, promotion and sponsorship by tobacco manufacturers, distributors and sales. In addition, social media like facebook and instagram originating from Bahrain is closely monitored.","Indicator not used","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Indicator not used","WHO South-East Asia Region"
"13","Barbados","Answer not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"14","Belarus","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"15","Belgium","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Indicator not used","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Indicator not used","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"21","Botswana","None","Report not provided","Indicator not used","WHO African Region"
"22","Brazil","xxx","xxx","Indicator not used","WHO Region of the Americas"
"23","Brunei Darussalam","Tobacco Order 2005 currently covers:
Section 7: Prohibition on sales promotion.
Section 8: Prohibition on sponsorship.","Report not provided","Indicator not used","WHO Western Pacific Region"
"24","Bulgaria","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"25","Burkina Faso","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"26","Burundi","Report not provided","Answer not provided","Indicator not used","WHO African Region"
"27","Cambodia","Answer not provided","Report not provided","Indicator not used","WHO Western Pacific Region"
"28","Cameroon","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"29","Canada","Answer not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"30","Cape Verde","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Indicator not used","WHO African Region"
"32","Chad","Answer not provided","Report not provided","Indicator not used","WHO African Region"
"33","Chile","No hay información","Durante la discusión del proyecto de reforma de la Ley de Tabaco que derivó en la aprobación de la Ley 20.660 que modifica la ley 19.419, las directrices del convenio marco fueron entregadas y utilizadas como mecanismo para dirimir discrepancias en las discusiones de la Comisión de Salud de la Cámara de Diputados, de la Comisión de Salud de la Cámara del Senado, como en las diversas comisiones que así lo requiriesen. Los defensores de la Nueva Ley de tabaco utilizaron las directrices entre sus argumentos a favor de una nueva legislación en sus presentaciones en sala.  Las definiciones y acciones plasmadas en el artículo 3° de la ley fueron sacadas del Convenio y de las Directrices del Convenio Marco. 
Durante la discusión parlamentaria, la prohibición de publicidad fue discutido por la Comisión de Constitucionalidad del Senado quienes emitieron informe favorable basándose en el Convenio Marco como en las directrices del mismo.      

En el actual de desarrollo de indicaciones a la ley de tabaco se han utilizado las directrices","Indicator not used","WHO Region of the Americas"
"34","China","Answer not provided","Answer not provided","Indicator not used","WHO Western Pacific Region"
