"","Party","2018","2016","2014","Region"
"1","Afghanistan","Report not provided","Capacity building
TFI unite
Resist from MoF to increase tobacco taxation
WTO not agreed with proforma system for importing tobacco
old system of taxation in MoF","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Report not provided","Answer not provided","-	Manque d’expertise pour mener / élaborer des études d’évaluation des couts liés au tabac 
-	Manque d’expertise d’infrastructures et de dispositifs de contrôle des émissions des produits du tabac.","WHO African Region"
"4","Angola","Report not provided","Lack of a national law and regulations on tobacco control: poor enforcement of the FCTC, including in terms of national legislation, monitoring, surveys and awareness campaigns; need to reinforce the national mechanisms  for tobacco control; need to reinforce national capacities for the implementation of tobacco control at national level; lack of regular studies and surveys on smoking prevalence at country level.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Very limited time to extend to such activities and this is due to the need to complete several other initiatives within the Ministry of Health. {Shifting of priorities due to national interest}","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Report not provided","The tobacco industry has taken a number of actions to oppose Australia’s tobacco control agenda, particularly in relation to the world first tobacco plain packaging legislation.  

Imperial Tobacco Australia, Philip Morris Limited and British American Tobacco Australia ran large scale campaigns against the tobacco plain packaging measure using television, radio and print media advertising, social media, cards inserted into cigarette packs, and thousands of postcards sent to Members of Parliament. 

Australian Government departments have been inundated with freedom of information requests seeking access to documents relating to tobacco control and tobacco plain packaging. As at the time of submission of this report, the Department of Health had received 67 such requests since April 2010, including 53 from the tobacco industry. Handling these requests involves substantial staff and legal resources. 
 
The most significant difficulties Australia has faced since the introduction of plain packaging is, domestic and international litigation, in three separate fora, initiated by the industry to challenge the lawfulness of our measure. 
Domestically, the tobacco industry challenged the measure in Australia’s High Court in 2012.  The tobacco industry claimed the legislation contravened Australia’s Constitution on the basis that tobacco plain packaging constituted an acquisition of their property (including their intellectual property) by the Australian Government.
Australia was successful in the High Court, which ruled by majority, six judges to one, that the legislation was not contrary to the Australian Constitution.  

Australia has also faced international legal challenges in relation to the plain packaging measure.
The first was brought by Philip Morris Asia’s challenge to the measure under the investor-State dispute provisions of a Bilateral Investment Treaty between Australia and Hong Kong. On 18 December 2015, the Tribunal in this arbitration issued a decision unanimously agreeing with Australias position that the Tribunal has no jurisdiction to hear Philip Morris’s claim.  

The challenge that is still afoot is the World Trade Organization (WTO) disputes brought by five countries - Ukraine, Honduras, Dominican Republic, Cuba and Indonesia.   In May 2015, the dispute settlement panel agreed to Ukraine’s request to suspend its proceedings against Australia with a view to finding a mutually agreed solution. Ukraine remains a third party to the disputes. The Panel has indicated that it does not expect to issue its final report to the parties before mid-2016.","The tobacco industry has taken a number of actions to oppose Australia''s tobacco control agenda. particularly in relation to the world first tobacco plain packaging legislation. 
Imperial Tobacco Australia. Philip Morris Limited and British American Tobacco Australia ran large scale campaigns against the tobacco plain packaging measure using television. radio and print media advertising. social media. cards inserted into cigarette packs. and thousands of postcards sent to Members of Parliament. 
Australian Government departments have been inundated with freedom of information requests seeking access to documents relating to tobacco control and tobacco plain packaging. As at the time of submission of this report. the Department of Health had received 67 such requests since April 2010. including 
53 from the tobacco industry. Handling these requests involves substantial staff and legal resources. 
The Australian Government has faced and is facing a number of legal challenges to the tobacco plain packaging measure. The Government is pursuing tobacco plain packaging as a public health measure and is confident that the measure is consistent with all its legal obligations. 
Constitutional Cases
British American Tobacco Australia. Japan Tobacco International. Philip Morris and Van Nelle challenged the constitutionality of the plain packaging legislation in the High Court of Australia. Two challenges were heard by the High Court of Australia on 17-19 April 2012. 
The British American Tobacco matter was heard on an agreed set of facts and questions reserved; the Japan Tobacco International matter also proceeded on those dates. on the basis of a demurrer. Philip Morris and Van Nelle intervened in the Britsh American Tobacco Australia matter.
On 15 August 2012. the High Court handed down orders for the matters heard on 17 19 April 2012. and found that the Tobacco Plain Packaging Act 2011(the TPP Act) is not contrary to s51(xxxi) of the Constitution. On 5 October 2012. the Court handed down its reasons for the decision.
–	By a 6:1 majority the Court held that there had been no acquisition of property that would have required provision of ''just terms'' under s51(xxxi) of the Constitution. Whilst the TPP Act does now regulate the plaintiff''s intellectual property rights to a greater extent than previously. imposing controls on the packaging and presentation of tobacco products. this does not amount to a conferral of a proprietary benefit or interest on the Commonwealth or any other person. Neither the Commonwealth nor any other person acquired any property and s51(xxxi) was not engaged. 
–	The British American Tobacco and Japan Tobacco International matters have now been concluded. Costs were awarded in favour of the Commonwealth.
International Legal Disputes
The Australian Government received a formal notice of arbitration from Philip Morris Asia on 21 November 2011 under the Australia-Hong Kong Bilateral Investment Treaty. The Govern","WHO Western Pacific Region"
"8","Austria","Report not provided","Interventions of the Austrian chamber of commerce have resulted in difficulties to grant necessary parliamentary majorities for implementing among others further restrictions regarding the sale/consumption of tobacco products (ban of vending machines, etc.), total smoking bans in hospitality venues, etc.

Low compliance with existing smoking bans in some areas (- district authorities competent for controlling the compliance and sanctioning violations are struggling with capacity constraints).","ongoing interventions of the Austrian chamber of commerce especially of the hospatility branch that results in serious difficulties in finding necessary parliamentary majorities for implementing among others further restrictions regarding the sale/consumption of tobacco products (ban of vending machines etc.) comprehensive smoking bans in hospitality venues etc.
low compliance with existing smoking bans in some areas (- district authorities competent for controlling the compliance and sanctioning violations are struggling with capacity constraints).","WHO European Region"
"9","Azerbaijan","Report not provided","There is no comprehensive National Tobacco Control Strategy currently in force in Azerbaijan. However, the National NCD Strategy and Operational Plan including measures on tobacco control approved in December 2015 would help to solve this problem.","There is no comprehensive National Tobacco Control Strategy currently in force in Azerbaijan. Approval and implementation of the ''National NCD Strategy and Operational Plan 2013-2020” including measures on tobacco control developed would help to solve this problem.","WHO European Region"
"10","Bahamas","Report not provided","Competing legislative priorities. These affect efforts to enact Tobacco Legislation include efforts to revise Public Health Rules, Modification to Acts relating to Physicians, nurses and medical services, the focus on legislation related to National Health Insurance and Single Governance Structure in the Public Health Sector.

Recent introduction of tobacco manufacturing in country","Raising awareness of the need for enacting appropriate legislation resistance from some industries where the sentiment is that reduction of public places for people to smoke will adversely affect their businesses.","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Report not provided","Bahrain is one of the GCC countries, we share common grounds for costumes and trade system. Tobacco products are provided with same specifications in all GCC, hence, we face difficulties in applying roles and regulations which may not be applied in other GCC countries. we are often accused of being strict in tobacco control measures compared to other GCC countries","Taxes are not periodically raised and currently ad valorem tax is applied only which makes the prices of tobacco products affordable","WHO Eastern Mediterranean Region"
"12","Bangladesh","Report not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Report not provided","As a small island state with limited human resources there is only one individual assigned to tobacco prevention and control;. this focal point has other responsibilities. There is limited financial resources available and other competing public health priorities in a low prevalence tobacco smoking jurisdiction.

PAHO should make a more concerted effort to support countries in the region of the English Speaking Caribbean in there control programmes","Tobacco prevention and control still remains a primarily health-driven process. The Ministry of health will need to redouble its efforts to have a whole-of- Government response.","WHO Region of the Americas"
"14","Belarus","Report not provided","Противодействие табачной промышленности - стремление представителей табачных компаний отсрочить введение принимаемых законодательных документов, ущемляющих их интересы, существующее мнение о нарушении прав человека при любом ужесточении мер в отношении снижения потребления табака, многократные обращения в вышестоящие структуры в целях защиты своих интересов","Countering tobacco industry - the desire to representatives of the tobacco companies to postpone introduction of the legislative instruments that infringe their interests the existing opinion about human rights violations in any tightening measures in reducing tobacco consumption repeated appeals to higher structures in order to protect their interests.","WHO European Region"
"15","Belgium","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Political Will","Answer not provided","WHO Region of the Americas"
"17","Benin","Report not provided","pas dautres obstacles , il ny a que le manque de ressources financières","Lutter contre l’interférence de l’industrie du tabac au Bénin","WHO African Region"
"18","Bhutan","Report not provided","Technical capacity to carry out implementation of FCTC","Bhutan has met the obligation under Article 21 of the convention. However has the following 
Weak monitoring and evaluation of programmes due to shortage of officials.
Interagency coordination issues
Paucity of data and research materials at the national level.
Lack of infrastructure to address cessation activities","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Report not provided","Intersectorial collaboration in FCTC implementation 
Securing continued financing for tobacco control measures","More active collaboration between health and other sectors funds for smoking prevention and cessation campaigns","WHO European Region"
