"","Party","2018","2016","2014","Region"
"1","Afghanistan","ban on tobacco use in government, NGOs, hospital public gathering places, vehicles, restaurants, airports clinics schools, coffee shops etc","ban on tobacco use in government institutions NGOs hospital public gathering places, whicles etc","Banning of tobacco smoke in public and closed governmental spaces is included in Tobacco ban decree also it is part of National Tobacco control legislation The above mentioned law indicated to ban on tobacco production environmental protection to avoid the announcement on the Tobacco production and usage and trade","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Article 15 of the Law “For the protection of health from tobacco products” bans smoking in “Workplaces health institutions excluding institutions of mental health (only for patients) educational institutions public transport business areas bars restaurants disco night clubs and other public places”. So our law creates free tobacco environments. 
We have improved the definition of public place in the legislation also the definition of workplace in the legislation","WHO European Region"
"3","Algeria","Élaboration des textes réglementaires  ( arrêtés , circulaires et instructions ) par chaque secteur concerné relatives à interdiction de fumer dans les lieux publics","Elaboration des textes dapplication ( arrêtés , circulaires et instructions ) par chaque secteur concerné relatives à linterdiction de fumer dans les lieux publics","Answer not provided","WHO African Region"
"4","Angola","Ban smoking in public places","Ban smoking in public places","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Smoke and Tobacco Free working environment within the Public Service of Antigua & Barbuda including government owned and operated vehicles. buildings and premises.","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","While smoke free environments fall primarily under the remit of state and territory governments, the Australian Government has acted where it has the power to do so.  For example, smoking is prohibited in Commonwealth workplaces, aircraft, airports, interstate trains and federally registered motor coaches.","Australia only has a few smokefree polices at the national level (e.g. airports/aeroplanes), as protection from exposure to tobacco smoke is primarily the responsibility of state and territory governments.  
Each state and territory government has implemented tobacco control laws which include provisions to protect the public from exposure to tobacco smoke.","In Australia. protection from exposure to tobacco smoke is primarily the responsibility of state and territory governments. 
Each state and territory government has implemented tobacco control laws which include provisions to protect the public from exposure to tobacco smoke. Please see Annex 1 for further information and Annex 2 for links to the primary tobacco control legislation in each state and territory.","WHO Western Pacific Region"
"8","Austria","Indoor public places and public transport: article 12 and 13 of the Austrian Tobacco Act (incl. offices and office buildings that can be accessed by clients)

indoor workplaces: 

Article 30 of the Austrian Law on Health and Safety at Work Act (ArbeitnehmerInnenschutzgesetz - ASchG, BGBl. Nr. 450/1994 i.d.g.F. BGBL. I Nr. 60/2015).

Article 20 (4) of the Law on Labour Inspection (Arbeitsinspektionsgesetz - ArbIG, BGBl. Nr. 871/1995 i.d.g.F. BGBl. I Nr. 101/2015) which enters into force on 1 May 2018. If there is a reasonable suspicion that an infringement of smoking bans according to the Austrian Tobacco Act exists in a workplace the Labour Inspectorate has to report it to the responsible authority.

Article 30 OSH Regulations for public servants (Bundesbedienstetenschutzgesetz – BBSG, BGBl. 70/1999 i.d.g.F. BGBl. Nr. 1010/2015).

Article 88h of the Farm Labour Act (Landarbeitsgesetz, BGBl. 287/1984 i.d.g.F. BGBl. I Nr. 79/2015 for indoor workplaces.

Voluntary agreements going beyond the legal requirements for protection from tobacco smoke at the workplace can be found in many companies (mainly baised on Article 97 (1) Arbeitsverfassungsgesetz (ArbVG), BGBl. Nr. 22/1974, i.d.g.F. BGBl. I Nr. 71/2013.

Some municipalities have introduced smoking bans on playgrounds/outdoor public places on the basis of administrative/executive orders (""ortspolizeiliche Verordnungen"").","Indoor public places and public transport: article 12 and 13 of the Austrian Tobacco Act (incl. offices and office buildings that can be accessed by clients)

indoor workplaces: 

Article 30 of the Austrian Law on Health and Safety at Work Act (ArbeitnehmerInnenschutzgesetz - ASchG, BGBl. Nr. 450/1994 i.d.g.F. BGBL. I Nr. 60/2015).

Article 20 (4) of the Law on Labour Inspection (Arbeitsinspektionsgesetz - ArbIG, BGBl. Nr. 871/1995 i.d.g.F. BGBl. I Nr. 101/2015) which enters into force on 1 May 2018. If there is a reasonable suspicion that an infringement of smoking bans according to the Austrian Tobacco Act exists in a workplace the Labour Inspectorate has to report it to the responsible authority.

Article 30 OSH Regulations for public servants (Bundesbedienstetenschutzgesetz – BBSG, BGBl. 70/1999 i.d.g.F. BGBl. Nr. 1010/2015).

Article 88h of the Farm Labour Act (Landarbeitsgesetz, BGBl. 287/1984 i.d.g.F. BGBl. I Nr. 79/2015 for indoor workplaces.

Voluntary agreements going beyond the legal requirements for protection from tobacco smoke at the workplace can be found in many companies (mainly baised on Article 97 (1) Arbeitsverfassungsgesetz (ArbVG), BGBl. Nr. 22/1974, i.d.g.F. BGBl. I Nr. 71/2013.

Some municipalities have introduced smoking bans on playgrounds/outdoor public places on the basis of administrative/executive orders (""ortspolizeiliche Verordnungen"").","indoor public places and public transport: Para.12 and 13 of the Austrian Tobacco Act (incl. offices and office buildings that can be accessed by clients) 
indoor workplaces: Para. 30 of the Austrian law on health and safety at work act (''Arbeitnehmerschutzgesetz”) Para. 30 of the Austrian OSH regulations for public servants (''Bundesbedienstetenschutzgesetz”) and Para. 88 h of the farm labour act (''Landarbeitergesetz”)
Furthermore voluntary agreements going beyond the legal requirements for protection from tobacco smoke at the workplace can be found in many companies (mainly based on Para. 97 Section 1 ''Arbeitsverfassungsgesetz'').
Some municipalities have introduced smoking bans on playgrounds/outdoor public places on the basis of administrative/executive orders (''ortspolizeiliche Verordnungen'').","WHO European Region"
"9","Azerbaijan","On 01 December 2017 the new Law of Azerbaijan Republic ""On restriction of tobacco use"" was adopted. The article 10 of the Law total ban smoking indoors in public places and workplaces such as:
- educational institutions, as well as in their territories;
- health and medical-rehabilitation facilities, as well as in their territories;
- household facilities;
- social service enterprises;
- hotel, recreation center, sanatorium facility, guest house, motel, hostel;
- theater and cinemas, circus, exhibition rooms, reading halls, libraries, museums, and other cultural facilities;
- childrens playgrounds;
- overground and underground pedestrian crossings;
- routinely city (rural), inter-city (inter-rural) and international routes, in public transport  and taxi;
- in vestibules, crossings, platforms and wagons of metropolitan stations;
- air transport;
- elevators and common premises of residential buildings;
- taxophones;
- gas stations, as well as  including buildings and structures in which flammable substances are stored, as well as vehicles in which these substances are transported;
In the places below, special places for smoking, provided with a ventilation system, or in the open air may be arranged (arranging of smoking places is not mandatory by the new Law, and it is expected that requirements to smoking places will be definitly strong and overwhelming majority of this kind of public and work places will stay smoke-free!):
- buildings and facilities for sports and other mass events, as well as in their territories;
- public-catering facilities, including restaurants, cafes, bars;
- trading (shopping) facilities;
- hotel, recreation center, sanatorium facility, guest house, motel, hostel;
- railroad trains, water transport facilities;
- administrative buildings of air and sea (river) ports, railroad stations, bus stations and buses stops;
- in other enterprises, institutions and organizations, at workplaces, regardless of their type of ownership and organizational and legal form.","http://www.tobaccocontrollaws.org/files/live/Azerbaijan/Azerbaijan%20-%20Law%20No.%20138-IIG%20.pdf 
Law of the Azerbaijan Republic On tobacco and tobacco products enacted in 2001 and came into force in 2002 sets restrictions on smoking places (Article 21. Limitations to the use of tobacco products). The Law prohibiting smoking indoors in public places and public workplaces however, smoking is allowed in designated places. Employers must provide designated areas for smoking and post a “no smoking” sign in visible places. The Law prohibiting smoking in public catering places (excl. highest category of restaurants, cafes and bars), and hotels (excluding of designated places for smoking). The Law prohibiting smoking in public transport however, smoking is allowed in designated places of long-distance transport.
http://tobaccocontrollaws.org/files/live/Azerbaijan/Azerbaijan%20-%20Road%20Transport%20Rules.pdf (Excerpts).
The Rules of passenger and luggage transportation by road (approved in 2009) are prohibiting to motor transport workers smoking in urban, country and international bus routes (Article 12.2.27-1.), and prohibiting to passengers smoking in public motor transport (Article 10.3.16.), but smoking in taxi is permitted  only in case of agreement  between a passenger and the driver (Article 9.8.)","http://www.tobaccocontrollaws.org/files/live/Azerbaijan/Azerbaijan%20-%20Law%20No.%20138-IIG%20.pdf 
Law of the Azerbaijan Republic On tobacco and tobacco products enacted in 2001 and came into force in 2002 sets restrictions on smoking places (Article 21. Limitations to the use of tobacco products). The Law prohibiting smoking indoors in public places and public workplaces however smoking is allowed in designated places. Employers must provide designated areas for smoking and post a “no smoking” sign in visible places. The Law prohibiting smoking in public transport however smoking is allowed in designated places of long-distance transport. However the implementation of many law provisions appears to be poorly enforced.","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Policies implemented for all government buildings to be smoke free. Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013) addresses banning smoking in ALL indoor public places amongst others","WHO Region of the Americas"
