"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","We are not of the view that our constitution precludes us from undertaking comprehensive bans on tobacco advertising. Absence of legislation however may more likely be the reason these bans are not yet in place","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"8","Austria","Article 11 of the Austrian Tobacco Act contains a comprehensive ban on tobacco promotion, advertising and sponsorship in accordance with EU-directive 003/33/EC on tobacco advertising.

An explicit ban of product placement of tobacco products for all audiovisual media has been introduced in article 16 of the Austrian braodcasting company act (""ORFGesetz"", Federal law gazette no. 379/1984 idgF) and article 38 of the audiovisual media services act (Federal law gazette I, No. 84/2001) by amendments of 19/7/2010 (Federal law gazette I, No. 50/2010), entering into force on 1/10/2010.","Article 11 of the Austrian Tobacco Act contains a comprehensive ban on tobacco promotion, advertising and sponsorship in accordance with EU-directive 003/33/EC on tobacco advertising.

An explicit ban of product placement of tobacco products for all audiovisual media has been introduced in article 16 of the Austrian braodcasting company act (""ORFGesetz"", Federal law gazette no. 379/1984 idgF) and article 38 of the audiovisual media services act (Federal law gazette I, No. 84/2001) by amendments of 19/7/2010 (Federal law gazette I, No. 50/2010), entering into force on 1/10/2010.","Para. 11 of the Austrian tobacco Act contains a comprehensive ban on tobacco promotion advertising and sponsorship in accordance with EU-directive 003/33/EC on tobacco advertising.
An explicit ban of product placement of tobacco products for all audiovisual media has been introduced in Para. 16 of the Austrian braodcasting company act (''ORF-Gesetz'' Federal law gazette no. 379/1984 idgF) and Para. 38 of the audiovisual media services act (Federal law gazette I No. 84/2001) by amendments of 19/7/2010 (Federal law gazette I No. 50/2010) entering into force on 1/10/2010.","WHO European Region"
"9","Azerbaijan","Sources: 
Law on Tobacco and Tobacco Product of Azerbaijan Republic - Article 20; 
Law of the Azerbaijan Republic On Advertising - Articles 4.6; 13.4; 15.3; 15.4; 28;
The Law of Azerbaijan Republic On Television and Radio Broadcasting - Article 35.10","Sources: 
Law on Tobacco and Tobacco Product of Azerbaijan Republic - Article 20; 
Law of the Azerbaijan Republic On Advertising - Articles 4.6; 15.3; 15.4; 28;
The Law of Azerbaijan Republic On Television and Radio Broadcasting - Article 35.10","option=com_content&view=article&id=1392:law-of-the-azerbaizhan-republidz-on-advertisinzh&catid=22&Itemid=28&lang=en","WHO European Region"
"10","Bahamas","Report not provided","Legislation drafted.","Answer not provided","WHO Region of the Americas"
