"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","On 26 February 2016, the Australian Government released a Post-Implementation Review (PIR) of Tobacco Plain Packaging. The PIR concluded that the measure is achieving its objectives of reducing smoking and exposure to tobacco smoke in Australia and is expected to have substantial public health outcomes into the future.

The PIR considers the weight of the available evidence in the public domain from a variety of sources to inform the overall assessment of the measure’s impact and the conclusions reached. The PIR also considered an expert econometric analysis of the Roy Morgan smoking prevalence data, commissioned by the Commonwealth Department of Health and undertaken by Dr Chipty of Analysis Group Inc. (an economic and business consulting firm with particular expertise and experience in econometric analysis).

The expert analysis of the Roy Morgan smoking prevalence data concluded: “the evidence shows that 2012 packaging changes are succeeding in reducing smoking prevalence beyond trend.  In terms of order of magnitude, smoking prevalence is 0.55 percentage points lower over the period December 2012 to September 2015 than it would have been without the packaging changes.”  The 2012 packaging changes considered were the updated and enlarged graphic health warnings and plain packaging.

Over the post-implementation period from December 2012 to September 2015, Dr Chipty estimates that the packaging changes resulted in 108,228 fewer smokers.  Further information is available at https://ris.govspace.gov.au/2016/02/26/tobacco-plain-packaging/","On 26 February 2016, the Australian Government released a Post-Implementation Review (PIR) of Tobacco Plain Packaging. The PIR concludes that the measure has begun to achieve its objectives of reducing smoking and exposure to tobacco smoke in Australia and is expected to continue to do so into the future.
The PIR considers the weight of the available evidence in the public domain from a variety of sources to inform the overall assessment of the measure’s impact and the conclusions reached. The PIR also considered an expert econometric analysis of the Roy Morgan smoking prevalence data, commissioned by the Commonwealth Department of Health and undertaken by Dr Chipty of Analysis Group Inc. (an economic and business consulting firm with particular expertise and experience in econometric analysis).
The expert analysis of the Roy Morgan smoking prevalence data concluded: “the evidence shows that 2012 packaging changes are succeeding in reducing smoking prevalence beyond trend.  In terms of order of magnitude, smoking prevalence is 0.55 percentage points lower over the period December 2012 to September 2015 than it would have been without the packaging changes.”  The 2012 packaging changes considered were the updated and enlarged graphic health warnings and plain packaging.
Over the post-implementation period from December 2012 to September 2015, Dr Chipty estimates that the packaging changes resulted in 108,228 fewer smokers.  Further information is available at https://ris.govspace.gov.au/2016/02/26/tobacco-plain-packaging/","Answer not provided","WHO Western Pacific Region"
"8","Austria","Answer not provided","Answer not provided","Cigarette packs must contain information about the emissions/contents of tar nicotine and carbonmonoxide in the smoke of 1 cigarette. Detailed provisions on packaging and labelling can be found in Para. 4a 5 6 and 7 of the Austrian Tobacco act.","WHO European Region"
"9","Azerbaijan","Source: 
The Law on Tobacco and Tobacco Product of Azerbaijan Republic - Article 13. 
""Tobacco products. Packaging and Marking"" State Standard (AZS 335-2009).","Source: 
The Law on Tobacco and Tobacco Product of Azerbaijan Republic - Article 13. 
""Tobacco products. Packaging and Marking"" State Standard (AZS 335-2009).","Source: the Law on Tobacco and Tobacco Product of Azerbaijan Republic - Article 13","WHO European Region"
"10","Bahamas","Report not provided","Legislation drafted.","Answer not provided","WHO Region of the Americas"
