"","Party","2018","2016","2014","Region"
"1","Afghanistan","sell of tobacco products on and by children is only prohibited by law , still there ae no measures to regulate them or put fine on offinders","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","It is not prohibited in our law the sale in smaller packets (less than 20 cigarettes","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","As outlined in 3.3.2.12 Australian states and territories govern the sale of tobacco products to consumers, and it varies across different jurisdictions. 

For example, the Victorian Minister for Health has power to ban a product or class of product if the product:
• resembles a tobacco product;
• is a tobacco product and possesses a distinctive fruity, sweet or confectionary-like character; or
• is of a nature or is advertised in way that may encourage children or young people to smoke.

Victoria and New South Wales also operate successful state-wide programs to test retailer compliance with cigarette sales to minor’s laws. New South Wale’s program also tests retailer compliance with the ban on selling e-cigarettes to minors. There are substantial penalties for those who breach the law. 

South Australia’s Minister for Mental Health and Substance Abuse has a power under their legislation to declare that a class of tobacco products specified in a Gazette notice are prohibited tobacco products. The Minister must not make this declaration unless the Minister is satisfied that— (a) the tobacco products, or the smoke of the products, possesses a distinctive fruity, sweet or confectionary-like character; and (b) the nature of the products, or the way they are advertised, might encourage young people to smoke.

A retailer compliance testing program is also implemented in South Australia.","As outlined in C3213, Australian states and territories govern the sale of tobacco products to consumers, and it varies across different jurisdictions. 

For example, the Victorian Minister for Health has power to ban a product or class of product if the product:
•	resembles a tobacco product
•	is a tobacco product and possesses a distinctive fruity, sweet or confectionary-like character
•	is of a nature or is advertised in way that may encourage children or young people to smoke.
Victoria also operates a successful state-wide program to test retailer compliance with cigarette sales to minors laws. There are substantial penalties for those who breach the law.","Answer not provided","WHO Western Pacific Region"
"8","Austria","Since 1/1/2007 vending machines are locked and can only be unlocked after inserting a chip card (ex. by bank card) proving that the customer is of the minimum legal age for purchase of tobacco products of 16 years.

Tenants of vending machines who do not comply with this requirement and tobacconists who sell tobacco products to persons under 16 years of age risk losing their license for vending cigarettes.

Furthermore tobacconists as well as shop keepers and owners of hospitality venues/pit stops selling tobacco products to minors can be fined according to the provisions laid down in the youth proction acts of the different provinces.

For further details see tobacconists code of conduct (""Standesregeln"") at http://mvg.at/index.php?page=view&id=1 as well as the Austrian tobacco monopoly act (Federal law gazette No. 830/1995 idgF) at https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetze
snummer=10005006","Under current Austrian legislation the legal age for purchasing tobacco products is defined on the provincial level; all nine provinces have fixed 16 years as minimum required age in their youth protection acts (Jugensdschutzgesetze). 

Since 1/1/2007 all vending machines are locked and can only be unlocked after inserting a chip card (ex. by bank card) proving that the customer is of the minimum legal age for purchase of tobacco products of 16 years.

Tenants of vending machines who dont comply with this requirement and tobacconists who sell tobacco products to persons under 16 years risk loosing their license for vending cigarettes.

Furthermore tobacconists as well as shop keepers and owners of hospitality venues/pit stops selling tobacco products to minors can be fined according to the provisions laid down in the youth proction acts of the different provinces.

For further details see tobacconists code of conduct (""Standesregeln"") at http://mvg.at/index.php?cid=91 as well as the Austrian tobacco monopoly act (Federal law gazette No. 830/1995 idgF) at https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetze
snummer=10005006","Under current Austrian legislation the legal age for purchasing tobacco products is defined on Federal State level; all nine Federal States have fixed 16 years as minimum required age in their youth protection acts (Jugensdschutzgesetze).
Since 1/1/2007 all vending machines are locked and can only be unlocked after inserting a chip card (ex. by bank card) proving that the customer is of the minimum legal age for purchase of tobacco products of 16 years.
Tenants of vending machines who don''t comply with this requirement and tobacconists who sell tobacco products to persons under 16 years risk loosing their license for vending cigarettes.
Furthermore tobacconists as well as shop keepers and owners of hospitality venues/pit stops selling tobacco products to minors can be fined according to the provisions laid down in the youth proction acts of the different federal states (f.ex. Upper Austria - up to € 7.000 -).
For further details see tobacconists code of conduct (''Standesregeln'') at http://mvg.at/index.php?cid=91 as well as the Austrian tobacco monopoly act (Federal law gazette No. 830/1995 idgF) at https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10005006","WHO European Region"
"9","Azerbaijan","Sources: 
Law on Tobacco and Tobacco Product of Azerbaijan Republic – Articles 15;
The Code of the Azerbaijan Republic On administrative violations – Article 236
Law ""On restriction of tobacco use"" - Article 13","Sources: 
Law on Tobacco and Tobacco Product of Azerbaijan Republic – Articles 15;
The Code of the Azerbaijan Republic On administrative violations – Article 236","Sources: 
Law on Tobacco and Tobacco Product of Azerbaijan Republic – Articles 15;
The Code of the Azerbaijan Republic On administrative violations – Article 236","WHO European Region"
"10","Bahamas","Report not provided","Legislation drafted.","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Answer not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"14","Belarus","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","Pas de changements concernant ces aspects depuis le dernier rapport.","Pas de changements concernant ces aspects depuis le dernier rapport.","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Report not provided","WHO Region of the Americas"
