"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","No","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","No","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","No","WHO African Region"
"4","Angola","No","No","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","No","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","No","WHO European Region"
"7","Australia","No","No","No","WHO Western Pacific Region"
"8","Austria","Yes","Yes","Yes","WHO European Region"
"9","Azerbaijan","No","No","No","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Answer not provided","Answer not provided","Yes","WHO Eastern Mediterranean Region"
"12","Bangladesh","Yes","Yes","Yes","WHO South-East Asia Region"
"13","Barbados","No","No","No","WHO Region of the Americas"
"14","Belarus","Yes","Answer not provided","No","WHO European Region"
"15","Belgium","No","No","No","WHO European Region"
"16","Belize","Report not provided","Answer not provided","No","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","No","WHO African Region"
"18","Bhutan","Yes","Answer not provided","Answer not provided","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","No","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","No","No","No","WHO European Region"
"21","Botswana","No","Report not provided","Report not provided","WHO African Region"
"22","Brazil","No","No","No","WHO Region of the Americas"
"23","Brunei Darussalam","No","Report not provided","No","WHO Western Pacific Region"
"24","Bulgaria","Answer not provided","Answer not provided","Yes","WHO European Region"
"25","Burkina Faso","No","No","No","WHO African Region"
"26","Burundi","Report not provided","No","Report not provided","WHO African Region"
"27","Cambodia","Answer not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"28","Cameroon","Yes","Answer not provided","No","WHO African Region"
"29","Canada","Yes","Yes","Yes","WHO Region of the Americas"
"30","Cape Verde","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","No","Report not provided","Report not provided","WHO African Region"
"33","Chile","Yes","Yes","Yes","WHO Region of the Americas"
"34","China","No","No","No","WHO Western Pacific Region"
"35","Colombia","Answer not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"36","Comoros","No","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","Yes","Yes","WHO African Region"
"38","Cook Islands","No","No","No","WHO Western Pacific Region"
"39","Costa Rica","No","No","No","WHO Region of the Americas"
"40","Côte d'Ivoire","No","Answer not provided","No","WHO African Region"
"41","Croatia","No","No","No","WHO European Region"
"42","Cyprus","Report not provided","No","No","WHO European Region"
"43","Czech Republic","Yes","Yes","Yes","WHO European Region"
"44","Democratic People's Republic of Korea","Answer not provided","Report not provided","Answer not provided","WHO South-East Asia Region"
"45","Democratic Republic of the Congo","Yes","No","Report not provided","WHO African Region"
"46","Denmark","No","No","No","WHO European Region"
"47","Djibouti","Answer not provided","Answer not provided","No","WHO Eastern Mediterranean Region"
"48","Dominica","Report not provided","Answer not provided","Report not provided","WHO Region of the Americas"
"49","Ecuador","Yes","Yes","Answer not provided","WHO Region of the Americas"
"50","Egypt","No","No","No","WHO Eastern Mediterranean Region"
"51","El Salvador","No","No","No","WHO Region of the Americas"
"52","Equatorial Guinea","Yes","Yes","Report not provided","WHO African Region"
"53","Estonia","Yes","Yes","Yes","WHO European Region"
"54","Ethiopia","Report not provided","Report not provided","Report not provided","WHO African Region"
"55","European Union","No","No","No","WHO European Region"
"56","Fiji","Report not provided","Report not provided","Yes","WHO Western Pacific Region"
"57","Finland","Yes","Yes","Yes","WHO European Region"
"58","France","No","Answer not provided","No","WHO European Region"
"59","Gabon","Answer not provided","Answer not provided","No","WHO African Region"
"60","Gambia","No","No","Yes","WHO African Region"
"61","Georgia","Answer not provided","Answer not provided","No","WHO European Region"
"62","Germany","No","No","No","WHO European Region"
"63","Ghana","Answer not provided","Answer not provided","No","WHO African Region"
"64","Greece","Report not provided","Answer not provided","No","WHO European Region"
"65","Grenada","Answer not provided","Answer not provided","Yes","WHO Region of the Americas"
"66","Guatemala","Answer not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"67","Guinea","Report not provided","Answer not provided","Report not provided","WHO African Region"
"68","Guinea-Bissau","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"69","Guyana","Answer not provided","Report not provided","Report not provided","WHO Region of the Americas"
"70","Honduras","No","No","No","WHO Region of the Americas"
"71","Hungary","Report not provided","No","No","WHO European Region"
"72","Iceland","Answer not provided","Answer not provided","No","WHO European Region"
"73","India","Report not provided","No","No","WHO South-East Asia Region"
"74","Iran (Islamic Republic of)","Answer not provided","Answer not provided","Yes","WHO Eastern Mediterranean Region"
"75","Iraq","No","Answer not provided","No","WHO Eastern Mediterranean Region"
