"","Party","2018","2016","2014","Region"
"1","Afghanistan","intersect oral high commission for tobacco control including 10 ministries such as MOF, MoJ, MoI, MoPH, MoIAC, MoLASA, MoHRA, Government protection directorate, municipality, MoCAI, MoJ. WHO, MoAC","intersect oral high commission for tobacco control including 10 ministries such as MOF, MoJ, MoI, MoPH, MoIAC, MoLASA, MoHRA, Government protection directorate, municipality, MoCAI, MoJ. WHO, MoAC","Tobacco control legislation is developed and under process for approval of presidential office it was developed in the Tobacco control technical working group under the leadership of Ministry of Public Health members of working group were invited from line ministries of government and WHO","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","In accordance with the implementation of the Albanian law the government has established the inter-sectoral Committee. The Minister of Health is the leading body of the National Program. The focal point is based at the Institute of Public Health.","WHO European Region"
"3","Algeria","-  création dun comité  national  multisectoriel de prévention et de sensibilisation sur le tabagisme  par  décision du premier ministre  n° 04  du 14 juillet 2014 
- création dun comité  national  des experts chargés  de lutte anti tabac  au MSPRH par  décision   ministérielle n° 95  du 19 mai 2013 
- Mise en place  dun point focal de lutte anti tabac à la Direction Générale de la Prévention et de la   Promotion  de la 
  santé  au MSPRH depuis 2008
- Création de 53 unités de consultation  d’aide au sevrage tabagique à raison de 1 unité  par CHU et  1 unité  par  
   Etablissement Public de    Santé de Proximité de chaque Wilaya).","- Il y’av eu la création dun comité  national  multisectoriel de prévention et de sensibilisation sur le tabagisme  par  décision du premier ministre  n° 04  du 14 juillet 2014 
- Création dun comité  national  des experts chargés  de lutte anti tabac  au MSPRH par  décision   ministérielle n° 95  du 19 mai 2013 
- Mise en place  dun point focal de lutte anti tabac à la Direction Générale de la Prévention et de la   Promotion  de la santé  au MSPRH depuis 2008
- Création d’une unité d’aide au sevrage tabagique (1 par CHU, 1 par  EPSP  pour chaque Wilaya).","Création dun comité national des experts chargés de lutte anti-tabac au niveau du Ministère de la santé de la Population et de la Réforme hospitalière(Décision ministérielle n° 95 du 19 mai 2013)
Mise en place en 2008 dun point focal national de lutte anti-tabac à la Direction Générale de la Prévention et de la Promotion de la santé au Ministère de la santé de la Population et de la Réforme hospitalière.
Création d’une unité d’aide au sevrage tabagique (1 par CHU 1 par EPSP  pour chaque Wilaya) au cours de l’année 2014.","WHO African Region"
"4","Angola","The Government established a National Institute for Drugs Control (INALUD), including for Tobacco. A multi sectoral commission meet regularly to discuss all the issues related to tobacco control. The MoH is part of this Commission","The Government established a National Institute for Drugs Control (INALUD), including for Tobacco. A multi sectoral commission meet regularly to discuss all the issues related to tobacco control. The MoH is part of this Commission","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Antigua & Barbuda has established an official within the Ministry of Health who is responsible for Tobacco Control. In the year 2000. the Ministry of Health commissioned the Antigua & Barbuda Tobacco Free Initiative. None of these are directly financed but the Ministry of Health and other stakeholders provide support for related activities.","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","In accordance with the State Tobacco Control Program 2010-2015 it is 
envisaged to have a commission for coordination of the tobacco control 
activities i.e. the inter-sectoral Commission working in the Ministry of 
Health. The Ministry of Health is the leading body of the National Program. The Commission has been established in 2010. This commission includes both government and non-government organisations.","WHO European Region"
"7","Australia","Responsibility for tobacco control in Australia is shared between the Commonwealth Government and state and territory governments. The main focal point for tobacco control is the Alcohol, Tobacco and Other Drugs Branch in the Australian Government Department of Health. Each state and territory government health department also has a tobacco control unit. Australia takes a whole of government approach to tobacco control, and the Department of Health regularly collaborates with other Australian Government agencies, state and territory government departments, and non-government organisations (e.g. national, state and territory Cancer Councils).","Responsibility for tobacco control in Australia is shared between the Commonwealth Government and state and territory governments. The main focal point for tobacco control is the Tobacco Control Branch in the Australian Government Department of Health. Each state and territory government health department also has a tobacco control unit. Australia takes a whole of government approach to tobacco control, and the Department of Health regularly collaborates with other Australian Government agencies, state and territory government departments, and non-government organisations (i.e. national, state and territory Cancer Councils).","Responsibility for tobacco control in Australia is shared between the Commonwealth Government and state and territory governments. The main focal point for tobacco control is the Tobacco Control Taskforce in the Australian Government Department of Health. Each state and territory government health department also has a tobacco control unit. Australia takes a whole of government approach to tobacco control. and the Department of Health regularly collaborates with other Australian Government agencies. state and territory government departments. and non-government organisations (i.e. national. state and territory Cancer Councils).","WHO Western Pacific Region"
"8","Austria","In 2010, a special department for tobacco, alcohol, non-substance related addictions and international affairs of addiction, including an ombudsman´s service for nonsmokers protection, within the Federal Ministry of Health (FMH) has been established and is dealing with tobacco control issues. The head of department is the national focal point for tobacco control.

As of 1/7/2010, within the FMH an ombudsmans service for non-smokers protection/the protection from tobacco smoke has been established, where citizens and representatives of the different authorities can ask questions and receive legal information as well as address complaints about violations of smoking bans, etc.

Apart from the FMH, relevant stakeholders (governmental and non-governmental institutions like other ministries, the provinces, the Federation of Austrian Social Insurance Entries, centres for addiction prevention, etc.) are generally involved in tobacco control activities. Furthermore, the FMH is in continual cooperation with appropriate experts and NGOs in respect of tobacco control.","In 2010, a special department for tobacco, alcohol, non-substance related addictions and international affairs of addiction, including an ombudsman´s service for nonsmokers protection, within the Federal Ministry of Health (FMH) has been established and is dealing with tobacco control issues. The head of department is the national focal point for tobacco control.

As of 1/7/2010, within the FMH an ombudsmans service for non-smokers protection/the protection from tobacco smoke has been established, where citizens and representatives of the different authorities can ask questions and receive legal information as well as address complaints about violations of smoking bans, etc.

Apart from the FMH, relevant stakeholders (governmental and non-governmental institutions like other ministries, the provinces, the Federation of Austrian Social Insurance Entries, centres for addiction prevention, etc.) are generally involved in tobacco control activities. Furthermore, the FMH is in continual cooperation with appropriate experts and NGOs in respect of tobacco control.","In 2010 a special unit for tobacco alcohol non-substance related addictions and international affairs of addiction including an ombudsman´s service for non-smoker´s protection within the Federal Ministry of Health (FMH) has been established and is dealing with tobacco control issues. The head of department is the national focal point for tobacco control. 
As of 1/7/2010 within the FMH an ombudsman´s service for non-smoker´s protection/the protection from tobacco smoke has been established where citizens and representatives of the different authorities can ask questions and receive legal information as well as address complaints about violations of smoking bans etc.
Apart from the FMH relevant stakeholders (governmental and non-governmental institutions like other ministries the federal provinces the Federation of Austrian Social Insurance Entries centres for addiction prevention etc.) are generally involved in tobacco control activities. Furthermore the FMH is in continual cooperation with appropriate experts and NGOs in respect of tobacco control.","WHO European Region"
"9","Azerbaijan","The Minister of Health of the Azerbaijan Republic is the official contact point for communication on statutory and procedural matters under the WHO FCTC. The Director of the Public Health and Reforms Center of the Ministry of Health of Azerbaijan Republic is the national technical focal point for exchange of information on the implementation of the WHO FCTC.","The Minister of Health of the Azerbaijan Republic is the official contact point for communication on statutory and procedural matters under the WHO FCTC. The Director of the Public Health and Reforms Center of the Ministry of Health of Azerbaijan Republic is the national technical focal point for exchange of information on the implementation of the WHO FCTC.","Director of the Public Health and Reforms Center of the Ministry of Health of Azerbaijan Republic is the national technical focal point for exchange of information on the implementation of the WHO FCTC.","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","The Office of the Chief Medical Officer in the Ministry of Health acts as the National Focal Point for Tobacco Control. A National Coordinating mechanism has been proposed under the Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage.","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","In 2009, the National Antismoking comittiee was formulated including members from different sectors in the government, in addition, a representitive of antismoking society was assigned as a member in  the comittiee starting 2013. Focal point for tobacco control was assigned and she belongs to Public Health Directorate in Ministry of Health. Antismoking Group was formulated in 2013 with specialized and trained staff to implement the Antismoking Law","In 2009, the National Antismoking comittiee was formulated including members from different sectors in the government, in addition, a representitive of antismoking society was assigned as a member in  the comittiee starting 2013. Focal point for tobacco control was assigned and she belongs to Public Health Directorate in Ministry of Health. Antismoking Group was formulated in 2013 with specialized and trained staff to implement the Antismoking Law","In 2009 the National Antismoking comittiee was formulated including members from different sectors in the government in addition a representitive of antismoking society was assigned as a member in the comittiee starting 2013. Focal point for tobacco control was assigned and she belongs to Public Health Directorate in Ministry of Health. Antismoking Group was formulated in 2013 with specialized and trained staff to implement the Antismoking Law","WHO Eastern Mediterranean Region"
