"","Party","2018","2016","2014","Region"
"1","Afghanistan","Report not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Report not provided","Answer not provided","4 Projets CNEPRU sur le tabagisme et la lutte anti- tabac :
Attitude des adolescents face à la consommation du tabac et des drogues : faculté de Constantine 
Evaluation de l’exposition au tabagisme passif : université d’Oran
Profil psychologique du fumeur : centre de Tamanrasset
Analyse économique des conséquences du tabagisme sur la santé des Algériens : cas de la commune de Bejaïa : université de Bejaia

4 Projets PNR sur le tabagisme et la lutte anti- tabac

Tabagisme dans la wilaya de Sétif : attitudes comportement et aide à l’arrêt du tabac : CHU Setif
Enquête de prévalence et des comportements vis-à-vis du tabac en milieu scolaire et universitaire
Approche préventive et curative du tabagisme : représentation attitudes et changements dattitude concernant le tabac 
Dépistage et Exploration des Epaississements Pleuraux chez des Travailleurs exposés à la Poussière de Tabac en Entreprise : CHU Bab El Oued","WHO African Region"
"4","Angola","Report not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Report not provided","Australia actively shares information regarding all of our tobacco control measures.  For example, Australia regularly responds to requests for technical assistance and advice on various tobacco control issues. 
Australia is also a member of many WHO FCTC and WHO expert working groups with the aim of facilitating the exchange of knowledge, for example the WHO Global Tobacco Regulators Forum.
Australia is also the COP6 Regional Coordinator for the WHO FCTC in the Western Pacific Region. This roles allows Australia to engage and share WHO FCTC information.
Australia also has funded the McCabe Centre for Law and Cancer - see question D7 for more information.","The Australian Government Department of Health is currently developing a regulation impact statement on options for further implementation of the WHO FCTC Partial Guidelines for Article 9 (relating to regulation of the contents of tobacco products) and Article 10 (relating to regulation of tobacco product disclosures). to reduce the harmful effects of tobacco use.
The Australian Government is also investing in training and support for persons engaged in tobacco control activities. as detailed at sections 3.2.6 and 3.2.8 above. 
The Australian Government invests in a number of information resources on its tobacco control measures. www.health.gov.au. www.tobaccoinaustralia.gov.au and www.quitnow.gov.au. 
All Commonwealth laws are available at: www.comlaw.gov.au. 
Relevant jurisprudence is available at Australian Court Registries and online (see the Australian High Court website at: http://www.hcourt.gov.au/ and the Federal Court of Australia website at: http://www.fedcourt.gov.au/searchjudgments.html).
The Australian Government actively exchanges information on tobacco control initiatives and developments at bilateral. regional and global levels.","WHO Western Pacific Region"
"8","Austria","Report not provided","Minimal Data Set (survey on information on the persons who receive smoking counseling and cessation from the social security institutions)

Meetings with international and national experts in the field of tobacco cessation and counseling

Start of the project ""Smokefree for me and my baby"" addressing pregnant women (target is to find out which factors are influencing and facilitating to help them quit smoking; goals are to adopt existing quitting-tools like the application ""Rauchfrei App"" and to develop guidelines for clinicians)","Minimal data set (information on the persons who receive smoking counselling and cessation from the social security institutions) meetings with national and international experts in the tobacco cessation and counselling.","WHO European Region"
"9","Azerbaijan","Report not provided","The second GYTS was initiated in Azerbaijan in the end of 2015 and will be finalized in 2016.","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Report not provided","GYTS was repeated in 2015, it showed slight decline in tobacco use compared to results from 2003.","Non communicable diseases and risk factors survey including smoking was repeated in 2013 in a more comprehensive form (Global health survey) We are still awaiting results.","WHO Eastern Mediterranean Region"
"12","Bangladesh","Report not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"14","Belarus","Report not provided","Обмен данными социологических исследований по распространенности табакокурения, о влиянии потребления табака на организм, законодательства в области контроля над табаком, запрете курения в общественных местах","Data exchange sociological studies on the prevalence of tobacco smoking on the impact of tobacco on the body of legislation in the field of tobacco control banning smoking in public places","WHO European Region"
"15","Belgium","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"18","Bhutan","Report not provided","Bhutan has carried out number of surveys over the years with technical assistance from WHO. The survey data are being used in planning tobacco control activities. The reports of the survey have been shared in regional and international domains.","Bhutan has participated in Global Tobacco Control Report IV in 2013. Bhutan has submitted its 3rd Implementation Report to WHO FCTC","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Report not provided","Answer not provided","Most tobacco related surveys performed in collaboration with WHO CDC WB CPHA UNICEF. Main transfer of knowledge and information''s are provided through FCTC Secretariat documents questionnaires and WHO meeting of national focal points for tobacco control. Periodical participation in domestic and international conferences with presentation of survey results)","WHO European Region"
"21","Botswana","Report not provided","Report not provided","Report not provided","WHO African Region"
"22","Brazil","Report not provided","In 2008, a comprehensive survey for tobacco use (i.e., the Global Adult Tobacco Survey -GATS-Brazil) was added as a “special supplement” to the National Household Survey conducted yearly in Brazil.1 In 2013, in accordance with article 20 of the WHO FCTC, selected questions of the GATS survey  were included as part of a national health-related survey conducted every 5 years,2 thus creating an opportunity to have a sustained broader surveillance system to track the evolution of the tobacco consumption and related social, economic and health indicators.

1GATS-Brazil/2008. Brazilian National Cancer Institute, 2010. Global Adult Tobacco Survey: Brazil Report. Brazilian National Cancer Institute, Ministry of Health, Rio de Janeiro. Available at: http://www.who.int/tobacco/surveillance/en_tfi_gats_2010_brazil.pdf
2Brazilian Geography and Statistics Institute (IBGE). Pesquisa Nacional de Saúde 2013 - Percepção do estado de saúde, estilos de vida e doenças crônicas Brasil, Grandes Regiões e Unidades da Federação. In: 1, ed. Rio de Janeiro: IBGE 2014. Available at: http://www.ibge.gov.br/home/estatistica/populacao/pns/2013/default.shtm. Accessed February 03, 2016.","Answer not provided","WHO Region of the Americas"
"23","Brunei Darussalam","Report not provided","Report not provided","The findings of the 2009-2011; National Health and Nutritional Status Survey are currently being analysed. GYTS results have been submitted to Ministry of Health and GATS is currently being proposed. GSHS is in progress","WHO Western Pacific Region"
"24","Bulgaria","Report not provided","Answer not provided","lang=bg-BG&pageid=470&categoryid=2560&articleid=2566","WHO European Region"
