"","Party","2018","2016","2014","Region"
"1","Afghanistan","78.3% of non-smokers are exposed to environmental tobacco smoke in places such as public transportation, offices and marketplaces, where others smoke.","78.3% of non-smokers are exposed to environmental tobacco smoke in places such as public transportation, offices and marketplaces, where others smoke.","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","- Exposition  à la maison: 30.0 %
- Exposition dans les lieux publics : 34.3 %","Exposition  à la maison : 27,5%  
- dans les lieux publics : 61,3%
   61,3 % des enquêtes   déclarent qu’elles sont exposées au tabagisme passif dans les lieux publics      clos   (bureau, café, restaurants,  transports, centres commerciaux).
-dans les lieux publics extérieurs : 62,1%
62,1 % des enquêtes   déclarent qu’elles sont exposées au tabagisme passif dans les lieux publics      extérieurs  (jardin, stade, parcs, plages).","- Exposition par sexe : 
- 22 7 % des hommes sont exposés à la maison contre 25 9 % pour les femmes. 
 - 74 9 % des femmes déclarent être exposées dans les lieux publics au tabagisme passif (transports administrations etc) contre 77 3 % pour les hommes.
-Exposition à la maison : 24 1 % 
- Exposition dans les lieux publics : 75 9 %","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Schoolchildren (13-15 years old) exposure to tobacco smoke in home 70.6% (69.2% boys and 71.6% girls). 
78.3% (80.7 % boys and 76.4 girls) are esposed to smoke in public places","WHO European Region"
"7","Australia","See attached in B24","As part of the National Health Survey in 2011-12, the Biomedical Results for Chronic Disease included a test for cotinine as an objective measure of smoking status. The body produces cotinine in the process of breaking down, or metabolising, nicotine from tobacco smoke. Levels of cotinine are generally proportionate to the amount of tobacco exposure a person receives through smoking, or in some cases, through exposure to second hand smoke. However, cotinine levels only remain elevated for around 20 hours after exposure to tobacco smoke; therefore it can only provide a measure of short-term exposure. Overall, 87.0% of current smokers aged 18 years and over had exposure to tobacco smoke, compared with only 5.7% of those who were ex-smokers and 0.3% of those who had never smoked.","As part of the National Health Survey in 2011-12. the Biomedical Results for Chronic Disease included a test for cotinine as an objective measure of smoking status. The body produces cotinine in the process of breaking down. or metabolising. nicotine from tobacco smoke. Levels of cotinine are generally proportionate to the amount of tobacco exposure a person receives through smoking. or in some cases. through exposure to second hand smoke. However. cotinine levels only remain elevated for around 20 hours after exposure to tobacco smoke; therefore it can only provide a measure of short-term exposure. Overall. 87.0% of current smokers aged 18 years and over had exposure to tobacco smoke. compared with only 5.7% of those who were ex-smokers and 0.3% of those who had never smoked.","WHO Western Pacific Region"
"8","Austria","Exposure at home (13 %; men 13 %, women 13 %), in the workplace (8 %; men 10 %, women 7 %)
Exposure to tobacco smoke in general (28 %; men 34 %, women 23 %), Exposure to tobacco smoke at least one hour per day (15 %; men 17 %, women 13 %)","Exposure at home (13 %), in the workplace (8 %)","In 2006-2007 9.9% of the Austrian population aged 15+ and being non-smokers or occasional Smokers (= not smoking every day) were exposed to tobacco smoke at home and 24.3 % of the working population were exposed to tobacco smoke at their workplace (11.9 % less than 1 hour/day 7.5 % from 1 to 5 hours/day and 4.9 % more than 5 hours/day). Tobacco smoke exposure at home as well as at the workplace was highest among 15-30 year old persons (15.9 % at home and 30.8 % at the workplace). Men are more often exposed to tobacco smoke at the workplace than women (27.5 % vs. 20.3 %); at home however women are more often exposed to tobacco smoke (10.2 % vs. 9.6 %).","WHO European Region"
"9","Azerbaijan","Among 18–69 years of population, 24.9% were exposed to second-hand smoke at home. The women more likely than men to be exposed to environmental tobacco smoke (ETS) at home (26.5% vs 23.3%). The overall rate of exposed to second-hand smoke in home for both sexes was higher in the young age group (18-44) than older (45-69) (26.6% vs 22.1).
Meanwhile, in the workplace only 18.3 from both sexes of respondents were exposed to second-hand smoke. As expected, men were more exposed than women (28.4% vs. 7.7% respectively), which can be explained by a higher share of employed people among the male respondents, especially in rural areas. Differences between age groups (18-44 and 45-69) for all respondents are not notable 
A significant decline in the trend of ETS at home among women (up to 35%)  and men (up to 23%) , and in the trend of ETS at work among men (up to 50%) were observed since submission of the last report.","Among 18 and older, the women more likely than men to be exposed to environmental tobacco smoke (ETS) at home (40.2% vs. 30.2%). ETS exposure at work and public places are higher in men (55.0% and 76.2% respectively), which can be explained by a higher share of employed people among the male respondents and women traditionally less likely to visit public places, especially in rural areas. The 59.6% exposed to ETS either at home, work or public places with men being exposed more frequently than women (67.5% and 52.3% respectively). For both sexes the exposure is more likely to happen at public places than at home or work (59.2% vs. 35.6% and 34.9%). By age groups, ETS exposure tended to be greater in younger ages.","Among 18 and older the women more likely than men to be exposed to environmental tobacco smoke (ETS) at home (40.2% vs. 30.2%). ETS exposure at work and public places are higher in men (55.0% and 76.2% respectively) which can be explained by a higher share of employed people among the male respondents and women traditionally less likely to visit public places especially in rural areas. The 59.6% exposed to ETS either at home work or public places with men being exposed more frequently than women (67.5% and 52.3% respectively). For both sexes the exposure is more likely to happen at public places than at home or work (59.2% vs. 35.6% and 34.9%). By age groups ETS exposure tended to be greater in younger ages.","WHO European Region"
"10","Bahamas","Report not provided","Environmental tobacco smoke exposure at home ( 7.7%) and in the workplace (11.3%)","Exposure at home: Male - 8.3% (CI: 4.0-12.7); Female - 7.1% (CI:0.0-16.5); Total: 7.7% (CI: 0.8-14.6)
Exposure in the workplace: Male - 17.4 % (CI: 0.0-39.0); Female - 5.2% (CI: 0.0-11.4); Total 11.3% (CI: 0.0-26.2)
(based on exposure on one or more days in the past 7 days)","WHO Region of the Americas"
