"","Party","2018","2016","2014","Region"
"1","Afghanistan",NA,NA,"Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","La donnée est estimée sur la base de la moyenne du nombre de jours de travail de la culture du tabac ( tous types) à l’ha ( 120 jours)et de la superficie cultivée en 2015 ( 4454 ha) donnant un équivalent en nombre d’emploi de 2227","La donnée est estimée sur la base de la moyenne du nombre de jours de travail de la culture du tabac ( tous types) à l’ha ( 120 jours)et de la superficie cultivée en 2015 ( 4454 ha) donnant un équivalent en nombre d’emploi de 2227","Un équivalent en nombre d’emploi permanent de 2.024 sur la base de :
- la moyenne du nombre de jours de travail dans la culture du tabac tous types inclus par hectares : 120 jours
- la superficie cultivée en 2013 : 4.047 hectares.","WHO African Region"
"4","Angola","Se tiene poca información al ser actividad tradicional para auto-consumo o distribución local de poco volumen","Tobacco production is linked to family subsistence.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"8","Austria","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"9","Azerbaijan","Average annual number of employees engaged in manufacture of tobacco products: total 300 persons (share of women in total persons are 20,5%).","Average annual number of employees engaged in manufacture of tobacco
products: 300 persons","No information is available on the number of workers involved in tobacco
growing.","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","New facility/farm as of 2013 therefore numbers not available","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","300,000","300,000","300 000","WHO South-East Asia Region"
"13","Barbados","Answer not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"14","Belarus","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","5 farms : 336 ha.","Answer not provided","Très réduit (moins de 10)","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","pas de travailleurs engagés, petites cultures de tabac à but culturel et artisanal","pas de travailleurs engagés, petites cultures de tabac à but culturel","Culture artisanale non documentée","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
