"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Il n’existe pas de données  sur la mortalité liée au tabac, néanmoins, il existe des informations sur les  pathologies liées au tabagisme  :
- Pour le  cancer  du poumon, au cours de lannée 2015, le taux dincidence était de 16,4  cas 
   pour 100 000 habitants,  (dont 80 % sont des fumeurs). Ce qui donne un nombre moyen de    
     kc du poumon de 7000 par an.     
- Pour les maladies cardiovasculaires qui  représentent 21 % des décès, le tabac est responsable dans 12 % des cas des maladies cardiovasculaires.","Il n’existe pas de données  sur la mortalité liée au tabac, néanmoins, il existe des informations sur les  pathologies liées au tabagisme  :
- Pour le  cancer  du poumon, au cours de lannée 2013, le taux dincidence était de 20  cas 
   pour 100 000 habitants,  (dont 80 % sont des fumeurs). Ce qui donne un nombre moyen de    
     kc du poumon de 8000 par an.     
- Pour les maladies cardiovasculaires qui  représentent 21 % des décès, le tabac est responsable dans 12 % des cas des maladies cardiovasculaires.","Si cette information est disponible veuillez fournir toute information additionnelle sur la mortalité attribuable à l’usage du tabac (par exemple cancer du poumon maladies cardiovasculaires) sur votre territoire.","WHO African Region"
"4","Angola","Para 2016
Muertes por cancer de pulmon y otros asociados a tabaco: 895
Muertes por ataques cardiacos en parte debido a tabaco. 2696
Total: 3,591","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Tobacco use is the leading cause of preventable and premature death and disability in Australia, and contributes to and compounds existing health and social inequalities. In 2011, tobacco use killed almost 19,000 people in Australia and was responsible for 9.0% of the total burden of disease and injury, making it the most burdensome risk factor. 
Tobacco use was responsible for 80% of lung cancer. Similarly, it was responsible for 75% of the chronic obstructive pulmonary disease. Around half of the total burden of oesophageal cancer (54%) and nearly half of the mouth & pharyngeal cancer (46%) burden was attributed to tobacco.","On 10 May 2016, the Australian Institute of Health and Welfare (AIHW) released the Australian Burden of Disease Study: Impact and causes of illness and death in Australia 2011. The Study found that Tobacco use was responsible for 9.0% of the total burden of disease and injury disability-adjusted life years (DALYs) in Australia in 2011, making it the most burdensome disease risk factor (this included risks associated with past, current and second hand smoke).
Tobacco use contributed to the burden for five disease groups including 36% of the burden of respiratory diseases, 22% of cancers, 12% of cardiovascular diseases and 3.5% of endocrine. http://www.aihw.gov.au/publication-detail/?id=60129555173 
The previous burden of disease report estimated (for the year 2004-2005), 15,000 deaths each year in Australia were attributable to tobacco use and exposure to tobacco smoke. In 2004-2005, tobacco was estimated to have killed 9,814 men and 5,236 women in Australia.  
For men, the largest number of tobacco-related deaths was caused by cancer, which was responsible for around 43% of all male tobacco-related deaths. These cancer deaths are dominated by lung cancer, which accounts for 77% of male tobacco-related cancer deaths.
The remaining tobacco-related male cancer deaths were caused by several different types of cancer—including oesophageal cancer (6%), oropharyngeal cancer (4%), bladder cancer (4%) and pancreatic cancer (3%).
The second and third largest causes of male tobacco-related deaths were ischaemic heart disease and chronic obstructive pulmonary disease, which accounted for 22% and 19% of male tobacco-related deaths respectively. The ‘other direct smoking’ category accounted for 15% of male tobacco-related deaths. This category comprises a variety of causes, the largest contributors being stroke (43% of the ‘other’ category), atherosclerosis (29%) and pneumonia (19%).
For women the pattern was a little different. As with men, the largest number of tobacco related deaths for women were caused by cancer, which was responsible for around 32% of all female tobacco-related deaths. This category was also dominated by lung cancer, which accounted for 75% of female tobacco-related cancer deaths. The remaining tobacco-related female cancer deaths were caused by several different types of cancer—including oesophageal cancer (7%), pancreatic cancer (7%), bladder cancer (4%) and oropharyngeal cancer (3%).
Chronic obstructive pulmonary disease accounted for a larger proportion of female tobacco related deaths (22%) than did ischaemic heart disease (20%). 
However, the ‘other direct smoking’ category was larger than either of these, accounting for 25% of female tobacco related deaths. Again, this category comprised a variety of causes, the largest contributors being stroke (46% of the ‘other’ category), atherosclerosis (23%) and pneumonia (17%).","Based on the most recent estimates (for the year 2004-2005). 15.000 deaths each year in Australia are attributable to tobacco use and exposure to tobacco smoke. In 2004-2005. tobacco is estimated to have killed 9.814 men and 5.236 women in Australia.
 For men. the largest number of tobacco-related deaths is caused by cancer. which is responsible for around 43% of all male tobacco-related deaths. These cancer deaths are dominated by lung cancer. which accounts for 77% of male tobacco-related cancer deaths.
The remaining tobacco-related male cancer deaths are caused by several different types of cancer—including oesophageal cancer (6%). oropharyngeal cancer (4%). bladder cancer (4%) and pancreatic cancer (3%).
The second and third largest causes of male tobacco-related deaths are ischaemic heart disease and chronic obstructive pulmonary disease. which account for 22% and 19% of male tobacco-related deaths respectively. The ''other direct smoking'' category accounts for 15% of male tobacco-related deaths. This category comprises a variety of causes. the largest contributors being stroke (43% of the ''other'' category). atherosclerosis (29%) and pneumonia (19%).
For women the pattern is a little different. As with men. the largest number of tobacco related deaths for women are caused by cancer. which is responsible for around 32% of all female tobacco-related deaths. This category is also dominated by lung cancer. which accounts for 75% of female tobacco-related cancer deaths. The remaining tobacco-related female cancer deaths are caused by several different types of cancer—including oesophageal cancer (7%). pancreatic cancer (7%). bladder cancer (4%) and oropharyngeal cancer (3%).
Chronic obstructive pulmonary disease accounts for a larger proportion of female tobacco related deaths (22%) than does ischaemic heart disease (20%). However. the ''other direct smoking'' category is larger than either of these. accounting for 25% of female tobacco related deaths. Again. this category comprises a variety of causes. the largest contributors being stroke (46% of the ''other'' category). atherosclerosis (23%) and pneumonia (17%).","WHO Western Pacific Region"
"8","Austria","In 2015 2.393 men and 1.490 women died because of lung cancer due to causes of death statistics.","Answer not provided","Answer not provided","WHO European Region"
"9","Azerbaijan","Data from total deaths by all causes:
cardiovascular - 60.2% 
cancer - 14.6%
respiratory - 3.2 %","Data from total deaths by all causes:
cardiovascular - 59.8% 
cancer - 12.5%
respiratory - 3.5 %","Main causes of death in 2012: 
cardiovascular - 63.3%
cancer - 10.7%
respiratory - 3.2 %","WHO European Region"
"10","Bahamas","Report not provided","There were 24 deaths (7/100,000 population) due to lung cancer and 430 (120/100,000 population) due to heart disease.  However, it is not known whether these were attributable to tobacco use.","Answer not provided","WHO Region of the Americas"
