"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","So far there is no practical activities are practiced but as soon as the law approved it will immediately started.","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Dans ce cadre , il y a eu  lélaboration de la stratégie nationale daide au sevrage tabagique qui sera suivi par lacquisition et la distribution gratuite des substituts nicotiniques  aux fumeurs pour les premiers consultations 

Aussi , il y a eu création de 50 unités daide au sevrage tabagique au niveau national pour la prise en charge de la dépendance à légard du tabac","Dans ce cadre , il y a eu  lélaboration de la stratégie nationale daide au sevrage tabagique qui sera suivi par lacquisition et la distribution gratuite des substituts nicotiniques  aux fumeurs pour les premiers consultations 

Aussi , il y a eu création de 50 unités daide au sevrage tabagique au niveau national pour la prise en charge de la dépendance à légard du tabac","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","In addition to the extensive education, communication, training and public awareness measures detailed at section 3.2.6 above, and as previously stated in our last two Periodic Reports (2014 and 2016), the Australian Government promotes cessation of tobacco use and treatment for tobacco dependence through support for Quitline services and subsidies for nicotine replacement products. These initiatives are part of a balanced package of measures which in the long term will contribute to efforts to reduce smoking rates in Australia.  

The Australian Government has provided funding to support Quitline services, which provide information and advice or counselling for people who want to quit smoking. The Quitlines are the responsibility of the state and territory governments. Quitlines offer a free call-back service, expert help in planning a quit attempt and advice on the use of nicotine replacement products. Quitline services are available in English and other languages. It also has a team of Aboriginal and Torres Strait Islander counsellors. 

 A ‘Quit book’ can be mailed to callers with information and advice or callers can speak to someone with information on the best ways to quit, coping with withdrawal symptoms, guidance on quit courses and details of local organisations which provide individual support and counselling. 

Other services available to quit include: 
•	My QuitBuddy mobile application;
•	Quitnow website; and
•	Quit for you, Quit for Two mobile application which focuses on pregnant women and their partners and highlights the support tool to assist pregnant women quit smoking.

The Australian Government also provides financial support to help people quit smoking by the listing of nicotine replacement therapies on the Pharmaceutical Benefits Scheme (PBS), which provides access for all eligible Australians (including concession card holders). All these products are available at a reduced price for eligible patients through the PBS with a prescription from a General Practitioner or health professional.  

The Government’s subsidies include Bupropion (available in two brands) Varenicline (Champix®) and nicotine replacement therapy (available in the form of patches), including a continuation course (12 weeks or 24 weeks) of Varenicline through the PBS to aid in smoking cessation","In addition to the extensive education, communication, training and public awareness measures detailed at section see also C261 above, and as previously stated in our last (2014) Periodic Report, the Australian Government promotes cessation of tobacco use and treatment for tobacco dependence through support for Quitline services and subsidies for nicotine replacement products. These initiatives are part of a balanced package of measures which in the long term will contribute to efforts to reduce smoking rates in Australia.  
The Australian Government has provided funding to support Quitline services, which provide information and advice or counselling for people who want to quit smoking. The Quitlines are the responsibility of the state and territory governments. Quitlines offer a free call-back service, expert help in planning a quit attempt and advice on the use of nicotine replacement products. Quitline services are available in English and other languages. A ‘Quit book’ can be mailed to callers with information and advice or callers can speak to someone with information on the best ways to quit, coping with withdrawal symptoms, guidance on quit courses and details of local organisations which provide individual support and counselling.  
The Australian Government also provides financial support to help people quit smoking by the listing of nicotine replacement therapies on the Pharmaceutical Benefits Scheme (PBS), which provides access for lower-income Australians and people with a prescription from the GP, and extended listings for the smoking cessation support drugs bupropion (available in two brands) and varenicline (Champix®). All of these products are available at a reduced price for eligible patients through the PBS with a prescription from a general practitioner.","In addition to the extensive education. communication. training and public awareness measures detailed at section 3.2.6 above. the Australian Government promotes cessation of tobacco use and treatment for tobacco dependence through support for Quitline services and subsidies for nicotine replacement products. These initiatives are part of a balanced package of measures which in the long term will contribute to efforts to reduce smoking rates in Australia. 
The Australian Government has provided funding to support Quitline services. which provide information and advice or counselling for people who want to quit smoking. The Quitlines are the responsibility of the state and territory governments. Quitlines offer a free call-back service. expert help in planning a quit attempt and advice on the use of nicotine replacement products. Quitline services are available in English and other languages. A ''Quit book'' can be mailed to callers with information and advice or callers can speak to someone with information on the best ways to quit. coping with withdrawal symptoms. guidance on quit courses and details of local organisations which provide individual support and counselling. 
The Australian Government also provides financial support to help people quit smoking by the listing of nicotine replacement therapies on the Pharmaceutical Benefits Scheme (PBS). which provides access for lower-income Australians and people with a prescription from the GP. and extended listings for the smoking cessation support drugs bupropion (available in two brands) and varenicline (Champix®). All of these products are available at a reduced price for eligible patients through the PBS with a prescription from a general practitioner. Please see Annex 1 for additional information regarding cessation support measures in place in the State of New South Wales and Western Australia.","WHO Western Pacific Region"
"8","Austria","Creation of a quality assured tobacco cessation and tobacco counseling curriculum; training since 2012 (""Curriculum zur RaucherInnenentwöhnung und -beratung nach den Standards der österreichischen Sozialversicherung"")

Communication between the regions who provide smoking counseling and smoking cessation programs

Networking between the regions and experts

Continuation of the quit-line for smoking cessation (""Rauchfrei Telefon"", www.rauchfrei.at)

Creation and implementation of a mobile phone application for smoking cessation (""Rauchfrei App"", www.rauchfreiapp.at)

Internet-based offers for smoking cessation (www.endlich-aufatmen.at) 

Special offers for women and pregnant women (e.g. www.juliarauchfrei.at)

National Addiction Prevention Strategy (put into place in February 2016)

Different settings are being targeted (hospitals, workplaces, schools, etc.)","Creation of a quality assured tobacco cessation and tobacco counseling curriculum; training since 2012 (""Curriculum zur RaucherInnenentwöhnung and -beratung nach den Standards der österreichischen Sozialversicherung"")

Communication between the regions who provide smoking counseling and smoking cessation programs

Networking between the regions and experts

Continuation of the quit-line for smoking cessation (""Rauchfrei Telefon"", www.rauchfrei.at)

Creation and implementation of a mobile phone application for smoking cessation (""Rauchfrei App"", www.rauchfreiapp.at)

Internet-based offers for smoking cessation (www.endlich-aufatmen.at) 

Special offers for women and pregnant women (e.g. www.juliarauchfrei.at)

National campaign around the World No Tobacco Day to raise awareness of the benefits of a smoke-free life style by role models (www.vorbild.rauchfrei.at)

National Addiction Prevention Strategy (put into place in February 2016)

Different settings are being targeted (hospitals, workplaces, schools, etc.)","Creation of a quality assured tobacco cessation and tobacco counseling curriculum; training since 2012 (Curriculum zur RaucherInnenentwöhnung und -beratung nach den Standards der österreichischen Sozialversicherung) 
Communication between the regions who provide smoking counselling and smoking cessation programs

Networking between the regions and experts
Continuation of the smoking quit line (As from 1st May 2014 the Austrian quitline will be renaimed from “Rauchertelefon” (“smoking quitline”) into” Rauchfrei Telefon” (“smokefree quitline”) and will be furthermore offered free of charge).
Internet-based offers for smoking cessation www.endlich-aufatmen.at
National dependence concept is being planned by the state (see newspaper article attached) 
Different settings are being targeted (hospitals workplaces schools..","WHO European Region"
"9","Azerbaijan","On 01 December 2017 the new Law of Azerbaijan Republic ""On restriction of tobacco use"" was adopted. The article 15 of the Law widely refers of demand reduction measures concerning tobacco dependence and cessation.","The National Clinical Protocol on Smoking Cessation developed and approved, The National Clinical Protocol on Prevention of Cardio-Vascular Diseases developed and approved.","The National Clinical Protocol on Smoking Cessation developed and approved The National Clinical Protocol on Prevention of Cardio-Vascular Diseases developed but not yet approved.","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013) addresses demand reduction measures","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","IN ADDITION TO THE THREE SMOKING CESSATIN CLINICS IN PRIMARY HEALTH CARE, AN ARRANGMENT WAS MADE TO START PROVIDING SMOKING CESSATION SERVICES IN THE MAIN SECONDARY HEALTH CARE CENTER IN BAHARIN (SALMANIYA MEDICAL CENTER). NRT ARE BEING OFFERED TO PEOPLE BEING ADMITTE TO THE HOSPITAL ESPCIALLY YJOSE WITH LONG OR FREQUENT ADMISSINS. IN ADDITION, ANOTHER PLAN IS BEING FORMULATED FOR HEALTHCARE WORKERS TO HELP THE IN SMOKING CESSATION.","A new smoking cessation clinic was opened in Bahrain in May 2014, making the total number of clinics 3. the clinic is run by a Family Physician and a health educator, both received training on smoking cessation techniques.","Nicotine replacement therapies such as patches and gums were approved recently as part of the essential drugs list in Bahrain","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
