"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Indicator not used","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Indicator not used","WHO European Region"
"3","Algeria","Élaboration dun nouveau projet de loi sanitaire , actuellement en cours dadoption , portant des sanctions financières et pénales  pour  ceux qui ne respectent pas la réglementation concernant la publicités des produits de tabac","Answer not provided","Indicator not used","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Indicator not used","WHO European Region"
"7","Australia","The Australian Capital Territory Department of Health uses and references the Guidelines for implementation of Article 5.3 of the WHO FCTC in its Standard Operating Procedure for staff: Tobacco industry participation in public consultations’.
In addition, various Australian Government agencies are currently developing a guidance document to increase understanding and knowledge of Australia’s obligations under Article 5.3.","Answer not provided","Indicator not used","WHO Western Pacific Region"
"8","Austria","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Answer not provided","Answer not provided","Indicator not used","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Indicator not used","WHO South-East Asia Region"
"13","Barbados","The Ministry has as its policy no negotiation with the tobacco industry. Furthermore senior officials do no meet or engage with the tobacco industry","The Ministry has as its policy no negotiation with the tobacco industry. Furthermore senior officials do no meet or engage with the tobacco industry","Indicator not used","WHO Region of the Americas"
"14","Belarus","Внесение изменений и дополнений в действующие нормативные-правовые акты, касающиеся регулирования потребления табачных изделий, осуществляется с учетом требований Руководящих принципов осуществления статьи 5.3 РКБТ ВОЗ","Answer not provided","Indicator not used","WHO European Region"
"15","Belgium","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Indicator not used","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Indicator not used","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"21","Botswana","Answer not provided","Report not provided","Indicator not used","WHO African Region"
"22","Brazil","Answer not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"23","Brunei Darussalam","As reference.","Report not provided","Indicator not used","WHO Western Pacific Region"
"24","Bulgaria","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"25","Burkina Faso","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"26","Burundi","Report not provided","Answer not provided","Indicator not used","WHO African Region"
"27","Cambodia","Answer not provided","Report not provided","Indicator not used","WHO Western Pacific Region"
"28","Cameroon","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"29","Canada","Answer not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"30","Cape Verde","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Indicator not used","WHO African Region"
"32","Chad","Answer not provided","Report not provided","Indicator not used","WHO African Region"
