"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Indicator not used","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Indicator not used","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Indicator not used","WHO European Region"
"7","Australia","Answer not provided","Although Australia begun implementing smokefree policies before the adoption of the WHO FCTC Article 8 Guidelines, they have been used in the expansion of smokefree places.","Indicator not used","WHO Western Pacific Region"
"8","Austria","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Answer not provided","Answer not provided","Indicator not used","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Indicator not used","WHO South-East Asia Region"
"13","Barbados","Answer not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"14","Belarus","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"15","Belgium","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Indicator not used","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Indicator not used","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"21","Botswana","None","Report not provided","Indicator not used","WHO African Region"
"22","Brazil","xxx","xxx","Indicator not used","WHO Region of the Americas"
"23","Brunei Darussalam","As reference.","Report not provided","Indicator not used","WHO Western Pacific Region"
"24","Bulgaria","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"25","Burkina Faso","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"26","Burundi","Report not provided","Answer not provided","Indicator not used","WHO African Region"
"27","Cambodia","Answer not provided","Report not provided","Indicator not used","WHO Western Pacific Region"
"28","Cameroon","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"29","Canada","Answer not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"30","Cape Verde","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Indicator not used","WHO African Region"
"32","Chad","Answer not provided","Report not provided","Indicator not used","WHO African Region"
"33","Chile","Answer not provided","Durante la discusión del proyecto de reforma de la Ley de Tabaco que derivó en la aprobación de la Ley 20.660 que modifica la ley 19.419, las directrices del convenio marco fueron entregadas y utilizadas como mecanismo para dirimir discrepancias en las discusiones de la Comisión de Salud de la Cámara de Diputados, de la Comisión de Salud de la Cámara del Senado, como en las diversas comisiones que así lo requiriesen. Los defensores de la Nueva Ley de tabaco utilizaron las directrices entre sus argumentos a favor de una nueva legislación en sus presentaciones en sala.  La definición de espacio cerrado incorporada en el artículo 2 de la Ley 19.419 fue redactada en función de la definición de espacio cerrado plasmado en las Directrices del artículo 8.","Indicator not used","WHO Region of the Americas"
"34","China","Answer not provided","Answer not provided","Indicator not used","WHO Western Pacific Region"
"35","Colombia","En todos los documentos que son elaborados por el Ministerio de Salud se utilizan las directrices en tanto brindan información que resulta de utilidad para soportar las decisiones implementadas por el Gobierno, para el caso, sobre la protección de los ambientes libres de humo de tabaco.","En todos los documentos que son elaborados por el Ministerio de Salud se utilizan las directrices en tanto brindan información que resulta de utilidad para soportar las decisiones implementadas por el Gobierno, para el caso, sobre la protección de los ambientes libres de humo de tabaco.","Indicator not used","WHO Region of the Americas"
"36","Comoros","Answer not provided","Report not provided","Indicator not used","WHO African Region"
"37","Congo","Report not provided","Answer not provided","Indicator not used","WHO African Region"
"38","Cook Islands","Answer not provided","Answer not provided","Indicator not used","WHO Western Pacific Region"
