"","Party","2018","2016","2014","Region"
"1","Afghanistan","training of 75 principles/teachers and 75 police officials on tobacco control law. 
development and distribution  of Radio and TV clips to  for public awareness raising on harm of tobacco usage. 
development and distribution of banning messages on Tobacco law .","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Through press conferences and through training of inspectors dealing with the implementation of theses legal acts of law like the directorate of tax investigation. Through information education and communication campaign for the implementation of the Law for the Protection from Tobacco Products in corporation with NGO. We have prepare effective and appropriate or sensitization and awareness programmes on tobacco control addressed to persons such as students of public health and PHC and also schools doctors.","WHO European Region"
"3","Algeria","- loi sanitaire 85-05 (article 63-64-65) qui interdit la publicité des produits du tabac quelque 
  soit le type. 
- Décret exécutif  n°04-331 du 18 octobre  2004 portant réglementation et activités de fabrication et de distribution des produits tabagiques  
- Décret exécutif  n°01-397 du 09 décembre  2001 fixant les conditions d’importation des produits du tabac manufacturés par les personnes morales justifiant d’un agrément. 
- loi 13-05  du 23 juillet 2013  relative à la politique nationale en matière des sports","- loi sanitaire 85-05 (article 63-64-65) qui interdit la publicité des produits du tabac quelque 
  soit le type. 
- Décret exécutif  n°04-331 du 18 octobre  2004 portant réglementation et activités de fabrication et de distribution des produits tabagiques  
- Décret exécutif  n°01-397 du 09 décembre  2001 fixant les conditions d’importation des produits du tabac manufacturés par les personnes morales justifiant d’un agrément. 
- loi 13-05  du 23 juillet 2013  relative à la politique nationale en matière des sports","-Loi sanitaire 85-05 (article 63-64-65) qui interdit la publicité des produits du tabac quelque soit le type.
- Décret exécutif n°04-331 du 18 octobre 2004 portant réglementation et activités de fabrication et de distribution des produits tabagiques 
- Décret exécutif n°01-396 du 09 décembre 2001 portant réglementation et activités de fabrication et de distribution de tabacs
-Décret exécutif n°01-397 du 09 décembre 2001 fixant les conditions d’importation des produits du tabac manufacturés par les personnes morales justifiant d’un agrément.","WHO African Region"
"4","Angola","The tobacco control department always refuses to meet or collaborate with tobacco industry representatives.","The tobacco control department always refuses to meet or collaborate with tobacco industry representatives.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","In Antigua and Barbuda. we do not involve the Tobacco Industry in any of our decisions regarding Public Health Policy.","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Code includes, inter alia, requirements to behave honestly and with integrity; to disclose, and take reasonable steps to avoid, any conflict of interest (real or apparent); and not to make improper use of duties, status, power or authority, or any inside information, to gain or seek to gain a benefit or advantage for any person. For further information, see: http://www.apsc.gov.au/conduct/index.html.  

It is a legal requirement in Australia that any donation to a registered political party to the value of or greater than AUD $10,000 must be declared to the Australian Electoral Commission. Donor annual returns are posted online at http://fadar.aec.gov.au/. 

Further to this, the governments of Australian Capital Territory, New South Wales and South Australia have begun divesting their public investment in the tobacco industry. The Australian Capital Territory Government has completed its divestment of funds from tobacco industries.  The Australian Government’s Future Fund likewise divested all its funds from the tobacco industry, along with a number of major superannuation funds.","Details of meetings held between the Australian Government Department of Health and the tobacco industry, including recent consultations in relation to illicit trade in tobacco products, are publicly notified on the website of the Department of Health at: http://www.health.gov.au/internet/main/publishing.nsf/Content/tobacco-conv-public. 
The Australian Government maintains a Register of Lobbyists and a Lobbying Code of Conduct to ensure that contact between lobbyists and Government representatives is conducted in accordance with public expectations of transparency, integrity and honesty.  For further information, see http://lobbyists.pmc.gov.au/. 
Australian Government officials are required to comply with the Australian Public Service Code of Conduct.  The Code includes, inter alia, requirements to behave honestly and with integrity; to disclose, and take reasonable steps to avoid, any conflict of interest (real or apparent); and not to make improper use of duties, status, power or authority, or any inside information, to gain or seek to gain a benefit or advantage for any person. For further information, see http://www.apsc.gov.au/conduct/index.html. 
It is a legal requirement in Australia that any donation to a registered political party to the value of or greater than AUD $10,000 must be declared to the Australian Electoral Commission. Donor annual returns are posted online at http://fadar.aec.gov.au/. 
Further to this, the governments of Australian Capital Territory, New South Wales and South Australia have begun divesting their public investment in the tobacco industry. The Australian Government’s Future Fund likewise divested all its funds from the tobacco industry, along with a number of major superannuation funds.","Details of meetings held between the Australian Government Department of Health and the tobacco industry. including recent consultations in relation to Australia''s plain packaging measures. are publicly notified on the website of the Department of Health at: http://www.health.gov.au/internet/main/publishing.nsf/Content/tobacco-conv-public. 
The Australian Government maintains a Register of Lobbyists and a Lobbying Code of Conduct to ensure that contact between lobbyists and Government representatives is conducted in accordance with public expectations of transparency. integrity and honesty. For further information. see http://lobbyists.pmc.gov.au/. 
Australian Government officials are required to comply with the Australian Public Service Code of Conduct. The Code includes. inter alia. requirements to behave honestly and with integrity; to disclose. and take reasonable steps to avoid. any conflict of interest (real or apparent); and not to make improper use of duties. status. power or authority. or any inside information. to gain or seek to gain a benefit or advantage for any person. For further information. see http://www.apsc.gov.au/conduct/index.html. 
It is a legal requirement in Australia that any donation to a registered political party to the value of or greater than AUD $10.000 must be declared to the Australian Electoral Commission. Donor annual returns are posted online at http://fadar.aec.gov.au/. The Australian Government does not accept donations from the tobacco industry.","WHO Western Pacific Region"
"8","Austria","Commercials and advertisements (audiovisual, print media, etc.) for conventional tobacco products as well as novel tobacco products (such as e-cigarettes, etc.) are still prohibited. Only the promotion of tobacco and related products in points of sale (tobacconists) and specialist shops is allowed.","Commercials and advertisements (audiovisual, print media, etc.) for conventional tobacco products as well as novel tobacco products (such as e-cigarettes, etc.) are still prohibited. Only the promotion of tobacco and related products in points of sale (tabacconists) and specialist shops is allowed.","Answer not provided","WHO European Region"
"9","Azerbaijan","In the new Law of Azerbaijan Republic ""On restriction of tobacco use"", adopted in December 2017, one of its main principles is reflected as protection of life and health from the interests of tobacco producers.","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","CENTRAL INFORMATOION & E GOVERNMENT AUTHORITY ANNUALY PUBLISHES A REPORT ON IMPORTS AND REXPORTS OF TOBACCO PRODUCTS INCLUDING REVENUES FROM TAXATION. HOWEVER, SPONSORSHOP OF ANY EVENT BY TOBACCO INDUSTRY IS BANNED IN BAHRAIN, HEMCE THERE IS NOTHING TO PUBLISH TO THE PUBLIC IN THIS REGARD","Answer not provided","According to antismoking law tobacco industry are not allowed to directly or indirectly sponsor any event related to health sports or welfare.","WHO Eastern Mediterranean Region"
"12","Bangladesh","As per tobacco control law Tobacco Advertising, Promotion and Sponsorship (TAPS) is prohibited","As per tobacco control law Tobacco Advertising, Promotion and Sponsorship (TAPS) is prohibited","As per tobacco control law Tobacco Advertising Promotion and Sponsorship (TAPS) is prohibited","WHO South-East Asia Region"
"13","Barbados","The Ministry has as its policy no negotiation with the tobacco industry. Furthermore senior officials do no meet or engage with the tobacco industry","The Ministry has as its policy no negotiation with the tobacco industry. Furthermore senior officials do no meet or engage with the tobacco industry","Answer not provided","WHO Region of the Americas"
"14","Belarus","Информация о деятельности, имеющей отношение к целям РКБТ ВОЗ ежегодно освещается на пресс-конференциях посвященных Всемирному дню без табака 31 мая. и Дню некурения (3-й четверг ноября), публикуется в СМИ, ""Технический регламент на табачную продукцию"" , разработанный с учетом положений РКБТ ВОЗ, размещен на сайте ЕЭК. Кроме того, Министерство здравоохранения принципиально выступает против распространения табакокурения, реализуя программные документы, участвуя в разработке проектов международных договоров и соглашений в рамках ЕАЭС, СНГ, сотрудничая  с Министерствами здравоохранения других стран ЕАЭС и постсоветского пространства, вырабатывая согласованные позиции в противостоянии интересам табачных компаний","Информация о деятельности, имеющей отношение к целям РКБТ ВОЗ ежегодно освещается на пресс-конференциях посвященных Всемирному дню без табака 31 мая. и Дню некурения (3-й четверг ноября), публикуется в СМИ, ""Технический регламент на табачную продукцию"" , разработанный с учетом положений РКБТ ВОЗ, размещен на сайте ЕЭК. Кроме того, Министерство здравоохранения принципиально выступает против распространения табакокурения, реализуя программные документы, участвуя в разработке проектов международных договоров и соглашений во рамках ЕАЭС, сотрудничая  с Министерствами здравоохранения других стран ЕАЭС и постсоветского пространства, вырабатывая согласованные позиции в противостоянии интересам табачных компаний","Information on activities relevant to the objectives of the WHO FCTC annually covered press conferences to mark World No Tobacco Day on May 31. not smoking and Day ( the third Thursday in November ) published in the media besides the draft Technical Regulations of the Customs Union '' Technical regulations for tobacco products '' developed to meet the provisions of the WHO FCTC was posted on the website of the Customs Union for public discussion . Ministry of Health is also subject to the provisions of the WHO FCTC yl draft Law of the Republic of Belarus ''On the protection of public health from the effects of tobacco consumption and exposure to environmental tobacco smoke '' which is available for public comment on the Department of Health of the Republic of Belarus (http://minzdrav.gov.by/ru/static/Lets_discuss). In addition the Ministry of Health is fundamentally opposed to the proliferation of smoking implementing policy documents participating in the development of the technical regulations of the Customs Union on tobacco products in collaboration with the Ministries of Health of other post-Soviet countries developing agreed positions in opposition to the interests of tobacco companies.","WHO European Region"
"15","Belgium","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
