"","Party","2018","2016","2014","Region"
"1","Afghanistan","regular technical committee meetings conducted for developing standard signs and 10 written messages, coordinate with MoF, MoC AI, MoIAC to increase the tax, restriction of tobacco use in public places, installing pectoral messages to tobacco packaging, ban on advertising of tobacco products, free hospital and government-non government institution from smoke","5 technical committee meeting, developing standard signs and 10 written messages, coordinate with MoF, MoC AI, MoIAC to increase the tax, restriction of tobacco use in public places, installing pectoral messages to tobacco packaging, ban on advertising of tobacco products, free hospital and government-non government institution from smoke","The law for the adjusting the public mind on Tobacco industry and the usage of the Tobacco as commercial item for the interest in commerce purpose to ban and prevented.","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","; Illicit trade in tobacco products.","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Antigua & Barbuda has drafted Tobacco Control Legislation which include regulations which would protect Public Health Policies from the Tobacco Industry. This process is currently ongoing","Antigua & Barbuda has drafted Tobacco Control Legislation which include regulations which would protect Public Health Policies from the Tobacco Industry. This process is currently ongoing","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Various Australian Government agencies are currently developing a guidance document to increase understanding and knowledge of Australia’s obligations under Article 5.3.","Australia is currently undertaking the development and promulgation of a Guidance Note to provide Australian Commonwealth agencies and Statutory Authorities with guidance on our obligations under Article 5.3 of WHO FCTC.","Answer not provided","WHO Western Pacific Region"
"8","Austria","In general, the Federal Ministry of Health is not having any direct contact as such to representatives of the tobacco industry when it comes to the drafting of law targeting the tobacco industry’s interests. Nevertheless, based on constitutional law, representatives of the industry themselves (as any other citizen too) have the right to submit their positions to draft law related to their business by means of the official evaluation procedure. The attempts of the tobacco industry to undermine the existing legal provisions prohibiting advertisement and sponsoring were rejected by the legislator and by various high court decisions.","In general, the Federal Ministry of Health is not having any direct contact to representatives of the tobacco industry when it comes to the drafting of law targeting the tobacco industry’s interests. Nevertheless, based on constitutional law, representatives of the industry themselves (as any other citizen too) have the right to submit their positions to draft law related to their business by means of the official evaluation procedure. The attempts of the tobacco industry to undermine the existing legal provisions prohibiting advertisement and sponsoring were rejected by the legislator.","Answer not provided","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013)","WHO Region of the Americas"
