"","Party","2018","2016","2014","Region"
"1","Afghanistan","Report not provided","A new study on tobacco use among adolescents will be completed in 2016.","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Report not provided","Oui , une enquête STEPS sur la mesure des facteurs de risques des maladies non transmissibles  dont le tabagisme est en cours de préparation pour son lancement durant le mois de septembre 2016. 

Cette enquête représentative au niveau national va nous permettre de donner la nouvelle tendance du tabagisme en ALGERIE","Answer not provided","WHO African Region"
"4","Angola","Report not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Antigua & Barbuda is long overdue a global tobacco surveillance exercise. This includes GYTS and GSPS…)","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Global Youth Tobacco Survey 2014","WHO European Region"
"7","Australia","Report not provided","Yes, each National survey is repeated approximately every 3 years, the South Australian Omnibus Survey is repeated each year.","In Australia. smoking prevalence is monitored and reported using three main data sources. the National Drug Strategy Household Survey. the Australian Health Survey and the Australian Secondary Students Alcohol and Drug Survey. Historically. all three surveys have generally reported every three years. with each survey having a different timeline for reporting.","WHO Western Pacific Region"
"8","Austria","Report not provided","General Population Survey on Substance Use 2015 (being currently finalized)","next “Gesundheitsbefragung/national health survey is going to take place in 2014 conducted by the state; WHO/HBSC Austria 2014 (''Health Behaviour in School-aged Children”","WHO European Region"
"9","Azerbaijan","Report not provided","GYTS 2015/2016","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Yes, every 5 years.","Yes Steps Survey to be repeated in 2017-2018","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Report not provided","Yes. Work is still ongoing to complete the Global Health Survey.","Non communicable diseases and risk factors survey was repeated in 2013 in a more comprehensive form(Global health survey) We are still awaiting results","WHO Eastern Mediterranean Region"
"12","Bangladesh","Report not provided","The processes of Global Adult Tobacco Survey 2016 is ongoing","Global Adult Tobacco Survey","WHO South-East Asia Region"
"13","Barbados","Report not provided","yes","The Health of the Nation Study a follow-up to the BRFS (STEPS) 2007 was completed in 2013. The report of findings is expected to be available late in 2014.","WHO Region of the Americas"
"14","Belarus","Report not provided","Да, возможно в 2017.","Yes probably in 2015.","WHO European Region"
"15","Belgium","Report not provided","L’enquête de santé par interview est répétée tous les cinq ans.","L’enquête de santé par interview est répétée tous les cinq ans","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Report not provided","oui","oui le Bénin envisage de répéter l’enquête STEPS et le GYTS en 2014 si nous arrivons à mobiliser les ressources","WHO African Region"
"18","Bhutan","Report not provided","Planning to conduct Global Adult Tobacco Survey (GATS)","The WHO NCD STEPS Survey will be repeated in 2014.","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Report not provided","YES","To be defined by FMoH and the Ministry of Health and Social Welfare of the Republic of Srpska in line with international collaboration","WHO European Region"
"21","Botswana","Report not provided","Report not provided","Report not provided","WHO African Region"
"22","Brazil","Report not provided","The Surveillance System for Risk and Protective Factors for Chronic Illnesse (VIGITEL) is a annual survey.","The GATS-Brazil (TQS-Tobacco Questions for Surveys) was included in the National Heath Survey (available at: http://www.pns.icict.fiocruz.br/). The National Health Survey (and. therefore. the GATS-Brazil second round) was conducted in 2013 and is scheduled to be conducted every 5 years. The GATS-Brazil second round results will be released in August 2014","WHO Region of the Americas"
"23","Brunei Darussalam","Report not provided","Report not provided","Global Adult Tobacco Survey Brunei Darussalam WHO S.T.E.P.S Survey National Health and Nutritional Status Survey (NHANSS) and Global School Health Survey (GSHS)","WHO Western Pacific Region"
"24","Bulgaria","Report not provided","Answer not provided","In 2014 the Ministry of Health began implementation of the National program for prevention of chronic non-communicable diseases 2014-2020 program. In the program are planning following surveys:
- prevalence of tobacco consumption among different population groups; 
- determining the frequency and dynamics of morbidity and mortality by reason of tobacco use;
-economic consequences of tobacco use; 
-costs of the health care system in the treatment of diseases associated with the use of tobacco products;
- level of passive smoking. 
-establishment the effectiveness of educational programs for health risks of smoking and exposure to tobacco smoke.","WHO European Region"
"25","Burkina Faso","Report not provided","Le Burkina Faso envisage réaliser sa deuxième enquête STEPS en 2018","Oui le pays envisage de réaliser l’enquête STEPs tous les trois ans.","WHO African Region"
"26","Burundi","Report not provided","Answer not provided","Report not provided","WHO African Region"
"27","Cambodia","Report not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"28","Cameroon","Report not provided","GATS en 2018
GYTS en 2019
EDS - MICS en 2017","Le GYTS et le GATS sont en cours.","WHO African Region"
"29","Canada","Report not provided","Canadian Student Tobacco, Alcohol and Drugs Survey (CSTADS) is a biennial survey. The next release is expected to be in Spring/Summer of 2016.

Canadian Tobacco, Alcohol and Drugs Survey (CTADS) is a biennial survey.  The next release ( 2015 data) is expected to be in Fall 2016.","Canadian Tobacco Use Monitoring Survey is being replaced by the Canadian Tobacco. Alcohol. and Drugs Survey (CTADS). The next release will be in Fall 2014.
Youth Smoking Survey (YSS) is a biennial survey. The next release is in Spring/Summer of 2014. Starting in 2014-15. the YSS will be re-named the Canadian Student Tobacco. Alcohol and Drugs Survey.","WHO Region of the Americas"
"30","Cape Verde","Report not provided","Il est prevu un noveau etude STEPS em 2018","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","Report not provided","Report not provided","Report not provided","WHO African Region"
"33","Chile","Report not provided","–	Encuesta Nacional de Salud, Ministerio de Salud. 
–	Estudio Nacional de Drogas en población Escolar, SENDA.
–	Estudio Nacional de Drogas en Población General, SENDA","Encuesta Nacional de Salud. Ministerio de Salud. 
Estudio Nacional de Drogas en población Escolar. SENDA.
Estudio Nacional de Drogas en Población General. SENDA.","WHO Region of the Americas"
"34","China","Report not provided","是","Global Adult Tobacco Survey the International Tobacco Control policy evaluation project.","WHO Western Pacific Region"
