"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","In accordance with the Government decision there are restrictions for duty 
free sale to international travellers (the limit is 400 cigarettes and 25 cigars)","WHO European Region"
"7","Australia","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"8","Austria","All policies are developed in the light of the pertinent EU-legislation and the guidelines.","All policies are developed in the light of the pertinent EU-legislation and the guidelines.","Allowances for the import of tobacco products are limited to
200 cigarettes or
100 cigarillos or
50 cigars or
250 gram tobacco or
A combination of these products within the limits","WHO European Region"
"9","Azerbaijan","Answer not provided","Ministry of Taxes of the Republic of Azerbaijan – 2015 http://www.taxes.gov.az/modul.php?name=qanun&cat=3&lang=_eng – The Tax Code of the Republic of Azerbaijan – Article 188.1.1 (Excise exemptions)","name=qanun&cat=3 – The Tax Code of the Republic of Azerbaijan – Article 188.1.1","WHO European Region"
"10","Bahamas","Report not provided","Legislation drafted.","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Answer not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"14","Belarus","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"21","Botswana","None","Report not provided","Report not provided","WHO African Region"
"22","Brazil","xxx","xxx","Answer not provided","WHO Region of the Americas"
"23","Brunei Darussalam","Answer not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
