"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","National Revenue Authority (ARA) works with the National Police, the finance police (or financial police) and the Mobile Support Group to control illicit trade. The Finance and Mobile Support Group are independent of the National Police but administratively are located in the National Police offices across the country.","National Revenue Authority (ARA) works with the National Police, the finance police (or financial police) and the Mobile Support Group to control illicit trade. The Finance and Mobile Support Group are independent of the National Police but administratively are located in the National Police offices across the country.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Manufacturing of tobacco products is licensed according to the RA Law ''On Licensing''. Distribution of tobacco products does not require a direct licensing but according to the RA Law “On Local Duties and Payments ” the points of sale in order to sell tobacco products have to pay local duties and then to get the right (certificate) to sell tobacco products","WHO European Region"
"7","Australia","In relation to (Article 15.2(a)), under the Tobacco Plain Packaging Act 2011, tobacco product retail packaging must be free from any markings other than the permitted markings, as specified in the Tobacco Plain Packaging Regulations 2011. 
Permitted markings include, for example, brand and variant name; statements of measurement (e.g. the pack size or volume); and origin marks (alphanumeric codes and covert marks).     
      
The Tobacco Plain Packaging Act 2011 provides for tobacco companies to use certain anti-counterfeiting techniques, including alphanumeric codes, barcodes and an unlimited number of covert marks (marks that are not visible to the naked eye), on packaging on a voluntary basis.","In relation to question C313 (Article 15.2(a)), under the Tobacco Plain Packaging Act 2011, tobacco product retail packaging must be free from any markings other than the permitted markings, as specified in the Tobacco Plain Packaging Regulations 2011. 

Permitted markings include, for example, brand and variant name; statements of measurement (e.g. the pack size or volume); and origin marks (alphanumeric codes and covert marks).           

In relation to C312, the Tobacco Plain Packaging Act 2011 provides for tobacco companies to use certain anti-counterfeiting techniques, including alphanumeric codes, barcodes and an unlimited number of covert marks (marks that are not visible to the naked eye), on packaging on a voluntary basis.","Answer not provided","WHO Western Pacific Region"
"8","Austria","","Answer not provided","Para. 7 of the Austrian tobacco act requires marking of all tobacco products in an adequete way that secures the identification and tracing of the products. Therefore every packing unit must carry a batch number or an equivalent indication allowing to identfy the place and date of its production.
Para. 11 (2) of the Austrian tobacco taxation act (''Tabaksteuergesetz'' Federal Law Gazette No. 704/1994 idgF) requires that tobacco products that are dedicated for sale on the Austrian market are marked with the indication ''for sale in Austria''. For details see https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004877
Under Austrian law there is a state monopoly on the sale of tobacco. The sale of tobacco products to customers is limited to tobacconists hospitality venues and pit stops with gastronomical services. Tobacconists need a license issued by the monopoly administration authority (Monopolverwaltungsgesellschaft). 
Smuggling of cigarettes and other tobacco products constitutes the offence of smuggling or evasion of import duties (Hinterziehung von Eingangs-abgaben) under Para. 35 of the Austrian Fiscal Penalties Act (Finanzstrafgesetz Federal Law Gazette No 129/1958 idgF).
The fiscal offence of smuggling and evasion of import duties is punishable under Para. 35 (4) of the Fiscal Penalties Act with a fine of up to the twice amount of the tax being payable on the goods imported or with a fine of up to the twice amount of the aforesaid reduction illegally gained by the evasion of import duties. In addition to the fine a term imprisonment of up to two years may be imposed.
In addition to the fiscal offence under Para. 35 of the Fiscal Penalties act the financial offence of intentional violation of state monopoly on tobacco regulations under Para. 44 of the fiscal penalties act also applies and is punishable with a fine of up to the amount of the so called basis of assessment (Bemessungsgrundlage) which is equivalent to the price attainable for the tobacco product on the regular domestic market or to the retail price fixed for such items being subject to monopoly regulations.
Counterfeiting of tobacco products can be prosecuted according to the provisions of § 14 of the Austrian Tobacco Act (Tabakgesetz) since it usually constitutes a violation of requirements to mark tobacco products in order to identify their indicated manufacturer and determine their origin (fines up to Para. 7 260 - in the case of repetition up to Para. 14 530 -) or be prosecuted as offence of Para. 60 of the Austrian trade mark protection act (Markenschutzgesetz - Federal Law Gazette No. 260/1970 idgF). Violations under § 60 of the trade mark protection act are only prosecuted on request of victim. Fines of up to 360 daily rates or in the case of a commission on a professional basis term imprisonment of up to 2 years can be imposed.
For financial offences under Para. 35 and 44 of the Financial Penalties Act Para. 17 (2) a","WHO European Region"
"9","Azerbaijan","Sources: 
Law on Tobacco and Tobacco Product of Azerbaijan Republic – Articles 15, 16 and 19;
The Tax Code of the Republic of Azerbaijan","Sources: 
Law on Tobacco and Tobacco Product of Azerbaijan Republic – Articles 15, 16 and 19;
The Tax Code of the Republic of Azerbaijan","Sources: 
Law on Tobacco and Tobacco Product of Azerbaijan Republic – Articles 15 16 and 19;
The Tax Code of the Republic of Azerbaijan – Article 89","WHO European Region"
"10","Bahamas","Report not provided","•	Enactment of Excise Stamp (Tobacco Products) Control Act 2013
•	http://laws.bahamas.gov.bs/cms/images/LEGISLATION/PRINCIPAL/2013/2013-0008/ExciseStampTobaccoProductsControlAct2013_1.pdf","Answer not provided","WHO Region of the Americas"
