"","Party","2018","2016","2014","Region"
"1","Afghanistan","developing approved pectoral and written messages for tobacco packaging
developing standard sings for no tobacco uses
increase 100 % tax on tobacco product ( tariff base)
restriction of tobacco use in public gathering places such as hotels, restaurants, coffees etc (by written  contentment)
restriction of tobacco use in government and non government offices
Hospital no tobacco policy","developing approved pectoral and written messages for tobacco packaging
developing standard sings for no tobacco uses
increase 100 % tax on tobacco product ( tariff base)
restriction of tobacco use in public gathering places such as hotels, restaurants, coffees etc (by written  contentment)
restriction of tobacco use in government and non government offices
Hospital no tobacco policy","No budget advisor and special trained people in this aspect","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","On 12.03.2013 the Law “On health protection from tobacco products” has made same amendments modifications. Some of the most important modifications on the law 
; Its improved the definition of public place in the legislation also the definition of workplace also warning messages about the health now are in figures or illustration that shows damages that came from smoking.","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"8","Austria","The Austrian tobacco law was amended in August 2015 and introduces new definitions of novel tobacco products (such as e-cigarettes, etc.). In a first step, it provides the same regulations regarding somking bans in public places (including restaurants) for all novel tobacco products.  

Since 20 May 2016, the regulations of the 2014 EU tobacco product directive (no. 2014/40/EU) and its delegated acts had to be implemented into national law. Accordingly, chewing tobacco is prohibited and a system for the authorisation of novel tobacco products has been introduced. In addition, comprihensive surveillance and control measures have been imposed. The Austrian Agency for Health and Food Safety (AGES) is tasked to manage all these obligations under the authority of the FMH.","The Austrian tobacco law was amended in August 2015 and introduces new definitions of novel tobacco products (such as e-cigarettes, etc.). In a first step, it provides the same regulations regarding somking bans in public places (including restaurants) for all novel tobacco products. As of May 2018, there will be a total smoking ban in restaurants, bars, etc. Only for hotels and other accomodation facilities there are exceptional provisions stating that particular smoking rooms may be established in which the consumption and serving of drinks and food is prohibited. 

As of 20 May 2016, the regulations of the 2014 EU tobacco product directive (no. 2014/40/EU) and its delegated acts have to be implemented into national law. Accordingly, chewing tobacco will be prohibited and a system for the authorisation of novel tobacco products will be introduced. In addition, comprihensive surveillance and control measures will be imposed. The Austrian Agency for Health and Food Safety (AGES) will be tasked to manage all these obligations under the authority of the FMH.","The Austrian Tobacco Act (“Tabakgesetz” Federal law gazette No. 450/1994 in its applicable version) was issued in 1995 and amended several times:
The 2004 amendment brought Austrian tobacco law in line with the European Strategy for Tobacco Control and the WHO FCTC. A general smoking ban in rooms of public places like offices shopping malls theatres means of transport etc. as well as an absolute ban in schools and other facilities where young people are accommodated supervised or educated were introduced. Also a comprehensive ban on tobacco advertising and sponsorship was stipulated. 
Furthermore as of 1/1/2009 major amendments to the Austrian tobacco act entered into force including smoking restrictions (with exemptions) also for hospitality venues. After a transitional period lasting until 30/6/2010 at least 50% of the places of all hospitality venues with the exemption of 1-room-premises with a surface of under 50m² (in certain cases up to 80m² if a division into 2 rooms is forbidden by legal provisions) must be smokefree. If hospitality venues provide more than 1 room for serving guests the main room is in any case covered by a smoking ban. Smoking and non-smoking areas cannot be in one room but only in detached rooms that can be closed with a door. Furthermore hospitality venues have to be marked as smoking/non-smoking or mixed premises at the entrance and also inside. Fines for violations of the smoking bans were introduced for the tenants of the premises (public rooms as well as hospitality venues) as well as smokers.
Furthermore various measures have been and still are undertaken in Austria to reduce tobacco consumption and prevent especially young people to start smoking. On the national level there are series of public awareness media campaigns especially targeted at school children and parents were run (for example: ''Nichtrauchen lohnt sich'' (2010) ''echt cool'' (2011); also on the provincial level there are many campaigns available: f.ex. “Free your mind” (project on smoking prevention for school children in Lower Austria 2013) “PLUS” (national prevention programme for children with focus on legal drugs/tobacco 2013). In November 2014 a special conference focussing on tobacco will take place.","WHO European Region"
"9","Azerbaijan","State Program “Azerbaijan Youth in 2017-2021” with aspects of tobacco control are being implemented.

“National NCD Strategy and Operational Plan 2015-2020”, including measures on tobacco control are continued to implement.

In July, 2017 World Bank Group’s Tobacco Taxation mission visited Azerbaijan and take Policy Dialogue with Government and other relevant organizations. As a result, it was agreed that the Bank team, in collaboration with the Ministries of Finance, Taxes and Health, will prepare a detailed modeling assessment under different policy scenarios to evaluate the likely impact of tobacco tax policy reforms on prices, consumption, and tax revenues over 2018-2021 budgetary period.","“National NCD Strategy and Operational Plan 2015-2020”, including measures on tobacco control approved by Presidential Order.
2011-2015 Action Plan of the State Program on ""Poverty Reduction and Sustainable Development in the Republic of Azerbaijan for 2008-2015"" and State Program “Azerbaijan Youth in 2011-2015” with aspects of tobacco control are being implemented.","“National NCD Strategy and Operational Plan 2013-2020” including measures on tobacco control developed. 
2011-2015 Action Plan of the State Program on ''Poverty Reduction and Sustainable Development in the Republic of Azerbaijan for 2008-2015'' and State Program “Azerbaijani youth in 2011-2015” with aspects of tobacco control are now implemented","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
