"","Party","2018","2016","2014","Region"
"1","Afghanistan",NA,NA,"We have law on ban of the tobacco production and ban for the children specially under 18 years old","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","As a result of a senate Inquiry into the Tobacco Industry and Tobacco Related Illnesses in 1997 the three largest tobacco manufacturers in the Australian market agreed in 2000 to report annually on the ingredients of their cigarettes including per brand variant. This is a voluntary agreement between the Commonwealth Government and Philip Morris Limited, British American Tobacco Australia Limited and Imperial Tobacco Australia Limited.  The data is posted unmodified at http://www.health.gov.au/internet/main/publishing.nsf/Content/health-pubhlth-strateg-drugs-tobacco-ingredients.htm. The three tobacco companies also undertook cigarette emissions testing on a one off basis in 2001. The emissions data were supplied to the Australian Government Department of Health and posted unmodified at http://www.health.gov.au/internet/main/publishing.nsf/Content/tobacco-emis.

The Australian Government Department of Health is in the early stages of considering options and developing a regulation impact statement for implementation of the WHO FCTC Partial Guidelines for Article 9 (relating to regulation of the contents of tobacco products) and Article 10 (relating to regulation of tobacco product disclosures), to reduce the harmful effects of tobacco use.","As a result of a senate Inquiry into the Tobacco Industry and Tobacco Related Illnesses in 1997 the three largest  tobacco manufacturers in the Australian market agreed in 2000 to report annually on the ingredients of their cigarettes including per brand variant. This is a voluntary agreement between the Commonwealth Government and Philip Morris Limited, British American Tobacco Australia Limited and Imperial Tobacco Australia Limited.  The data is posted unmodified at  http://www.health.gov.au/internet/main/publishing.nsf/Content/health-pubhlth-strateg-drugs-tobacco-ingredients.htm. The three tobacco companies also undertook cigarette emissions testing on a one off basis in 2001.  The emissions data were supplied to the Australian Government Department of Health and posted unmodified at http://www.health.gov.au/internet/main/publishing.nsf/Content/tobacco-emis.
The Australian Government Department of Health is in the early stages of considering options and developing a regulation impact statement for implementation of the World Health Organization Framework Convention on Tobacco Control (WHO FCTC) Partial Guidelines for Article 9 (relating to regulation of the contents of tobacco products) and Article 10 (relating to regulation of tobacco product disclosures), to reduce the harmful effects of tobacco use.","The three main tobacco companies involved in the Australian market (Philip Morris Limited. British American Tobacco Australia Limited and Imperial Tobacco Australia Limited) disclose information about the ingredients of cigarettes pursuant to a voluntary agreement with the Australian Government Department of Health. The data is posted unmodified at http://www.health.gov.au/internet/main/publishing.nsf/Content/health-pubhlth-strateg-drugs-tobacco-ingredients.htm. The three tobacco companies also undertook cigarette emissions testing on a one off basis in 2001. The emissions data were supplied to the Australian Government Department of Health and posted unmodified at http://www.health.gov.au/internet/main/publishing.nsf/Content/tobacco-emis.
The Australian Government Department of Health is developing a regulation impact statement on options for further implementation of WHO FCTC Partial Guidelines for Article 9 (relating to regulation of the contents of tobacco products) and Article 10 (relating to regulation of tobacco product disclosures). to reduce the harmful effects of tobacco use.","WHO Western Pacific Region"
"8","Austria","In order to transpose the EU Tobacco Products Directive (TPD II) into national law, an amendment of the Austrian Tobacco Act, which entered into force on 20 May 2016, stipulates reporting obligations for all ingredients.","Austria is currently finalizing the transposition of the EU Tobacco Products Directive (TPD II) into national law. This results in an amendment of the Austrian Tobacco Act which will become effective on 20 May 2016 and takes into account reporting obligations for all ingredients and enhanced reporting obligations for additives on a “priority list”.","Austria is already preparing for the transposition of the EU Tobacco Products Directive (TPD II) into national law: This will result in an amendment of the Austrian Tobacco act also taking into account reporting obligations for all ingredients and enhanced reporting obligations for additives on a “priority list”.","WHO European Region"
"9","Azerbaijan","On 01 December 2017 the new Law of Azerbaijan Republic ""On restriction of tobacco use"" was adopted. The article 7 of the Law states the right to receive information about tobacco and effects of its use as follow:
""Everyone has the right to receive information on tobacco products and emissions of tobacco products...""","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013) addresses regulation of tobacco product disclosures","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Tobacco products manufacturers are requested to submit annual reports about contents of their products.","Tobacco products manufacturers are requested to submit annual reports about contents of their products.","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","No progress on emissions and content","No progress on emissions and content","Answer not provided","WHO Region of the Americas"
"14","Belarus","Принят и с 15 мая 2016 года вступил   в силу технический регламент Таможенного союза ""Технический регламент на табачную продукцию"" (ТР ТС 035/2014).","Требования к сигаретам из табака изложены в ГОСТ 3935-2000 ""Сигареты. Общие технические условия"". Последние изменение к стандарту утверждено в декабре 2008 г. Регламентирующие характеристики - содержании смолы и никотина в конденсате дыма сигарет (миллиграмм на сигарету). Принят и с 15 мая 2016 года вступает   в силу технический регламент Таможенного союза ""Технический регламент на табачную продукцию"" (ТР ТС 035/2014).","Requirements for cigarettes of tobacco contained in ISO 3935-2000 ''Cigarettes. General technical conditions''. Latest revision of the standard was approved in December 2008 Regulatory features - the tar and nicotine in cigarette smoke condensate (milligrams per cigarette).","WHO European Region"
