"","Party","2018","2016","2014","Region"
"1","Afghanistan","Report not provided","nowadays the water pie use is increasing and raw material plus packaging for oral tobacco comes from abroad and packaging in Kabul","Indicator not used","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Indicator not used","WHO European Region"
"3","Algeria","Report not provided","Answer not provided","Indicator not used","WHO African Region"
"4","Angola","Report not provided","Data on tobacco use is not available in Angola. In spite of the lack of regular studies and surveys, the smoking prevalence at country level is very low.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Indicator not used","WHO European Region"
"7","Australia","Report not provided","Smokeless Tobacco Products: The commercial importation and retail sale of chewing tobacco and oral snuff is prohibited in Australia
ENDS/ENNDS: Australia is currently exploring options to minimise the risks associated with the marketing and use of ENDS/ENNDS in Australia. 
Waterpipe tobacco: All of Australias tobacco control measures apply to waterpipe tobacco, including plain packaging and graphic health warnings and minimum age restitutions to purchase waterpipe tobacco.","Indicator not used","WHO Western Pacific Region"
"8","Austria","Report not provided","The amendment of the Austrian tobacco act in August 2015 includes new tobacco related products; those products are included in the regulations for smoking bans in public places as well as restaurants, bars, etc. as of May 2016. 

As of May 2018 there will be a total smoking ban in restaurants, bars, etc.","Indicator not used","WHO European Region"
"9","Azerbaijan","Report not provided","İnformation related to question E6: Law of the Azerbaijan Republic “On tobacco and tobacco products” and ""Tobacco products. Packaging and Marking"" State Standard (AZS 335-2009) applies also to smokeless tobacco products and water pipe tobacco.","Indicator not used","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Report not provided","SMOKELESS TOBACCO IS BANNED IN BAHRAIN. IN ADDITION, E-CIG IS BANNED, HOWEVER, RECENTLY MINISTRY OF COMMERCE ALLOWED THE ENTRY OF E-HOOKAH FOR PERSONAL USE ONLY.","Indicator not used","WHO Eastern Mediterranean Region"
"12","Bangladesh","Report not provided","Answer not provided","Indicator not used","WHO South-East Asia Region"
"13","Barbados","Report not provided","no further information","Indicator not used","WHO Region of the Americas"
"14","Belarus","Report not provided","Внесены предложения по совершенствованию законодательства, регулирующего продажу электронных курительных приспособлений.","Indicator not used","WHO European Region"
"15","Belgium","Report not provided","Answer not provided","Indicator not used","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"17","Benin","Report not provided","Answer not provided","Indicator not used","WHO African Region"
"18","Bhutan","Report not provided","Answer not provided","Indicator not used","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Report not provided","Report not provided","Indicator not used","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Report not provided","Answer not provided","Indicator not used","WHO European Region"
"21","Botswana","Report not provided","Report not provided","Indicator not used","WHO African Region"
"22","Brazil","Report not provided","- National campaign about the harms of water pipe tobacco
- ANVISAs resolution prohibits to sell, import and advertise ENDS nationwide","Indicator not used","WHO Region of the Americas"
"23","Brunei Darussalam","Report not provided","Report not provided","Indicator not used","WHO Western Pacific Region"
"24","Bulgaria","Report not provided","Answer not provided","Indicator not used","WHO European Region"
"25","Burkina Faso","Report not provided","Le plan stratégique 2016-2020 a prévu lélaboration de textes règlementaires spécifiques dédiés à ces volets. En attendant, la prise de ces textes, la loi 040-2010/AN a prévu dans ses dispositions des articles en rapport avec ces catégories de tabac.","Indicator not used","WHO African Region"
"26","Burundi","Report not provided","Answer not provided","Indicator not used","WHO African Region"
"27","Cambodia","Report not provided","Report not provided","Indicator not used","WHO Western Pacific Region"
"28","Cameroon","Report not provided","Answer not provided","Indicator not used","WHO African Region"
"29","Canada","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"30","Cape Verde","Report not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Indicator not used","WHO African Region"
"32","Chad","Report not provided","Report not provided","Indicator not used","WHO African Region"
"33","Chile","Report not provided","En relación a los SEAN existe una regulación de prohibición de comercialización de estos productos con contenido de nicotina por resolución del Instituto de Salud Püblica de Chile en la cual indica que solo pueden ser comercializados los productos que comprueben un uso terapéutico es debido a este motivo que no es posible comercializarlos en Chile ya que ningún producto lo ha demostrado","Indicator not used","WHO Region of the Americas"
"34","China","Report not provided","Answer not provided","Indicator not used","WHO Western Pacific Region"
"35","Colombia","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"36","Comoros","Report not provided","Report not provided","Indicator not used","WHO African Region"
"37","Congo","Report not provided","Notre loi en parle. Ces produits ne sont pas vendus au Congo, mais ils en existent avec l’afflux migratoire on assiste à la consommation de ces produits par nos jeunes. Cet un acte de suivisme.","Indicator not used","WHO African Region"
"38","Cook Islands","Report not provided","Answer not provided","Indicator not used","WHO Western Pacific Region"
"39","Costa Rica","Report not provided","Estos productos de Tabaco para poder comercializarse en el territorio nacional deben cumplir con las disposiciones contempladas en la Ley General de control de tabaco y sus efectos nocivos en la salud Ley 9028 y su Reglamento. 
En Costa Rica estas variedades son poco utilizadas sin embargo   de los productos de tabaco sin humo se importa el tabaco para mascar de la marca Copenhagen y Skoal, así como para narguile   el tabaco de la marca Mazaya y Nakhla de acuerdo a la base de Declaraciones Juradas de los ingredientes y emisiones de los productos de Tabaco y sus derivados.","Indicator not used","WHO Region of the Americas"
"40","Côte d'Ivoire","Report not provided","la cigarette est le produit du tabac le plus consommé les autres formes cités dans la question E6 sont pratiquement inexistantes sur le marché.","Indicator not used","WHO African Region"
"41","Croatia","Report not provided","This products are expected to be ragulated with the adoption of the new Law on restricting the use of tobacco products.","Indicator not used","WHO European Region"
"42","Cyprus","Report not provided","In terms of ENDS/ENNDS there are provisions in the new legislation to prohibit the use in closed public spaces. There will also be regulation of ingredients.","Indicator not used","WHO European Region"
"43","Czech Republic","Report not provided","Smokeless tobacco products, ENDS/ENNDS are covered  specifically to different extent by current national legislation. For example, as regards smokeless tobacco products, there are provisions related to packaging and labelling, prohibition of sale of snus etc. in place. Electronic cigarettes are covered specifically in the act No. 379/2005 Coll. (e.g. ban of  sale of electronic cigarettes to minors) etc.
 New legislation, transposing EU Tobacco products Directive (2014/40/EU), will bring more specific regulation mainly as  regards of ENDS/ENNDS.","Indicator not used","WHO European Region"
"44","Democratic People's Republic of Korea","Report not provided","Report not provided","Indicator not used","WHO South-East Asia Region"
"45","Democratic Republic of the Congo","Report not provided","Answer not provided","Indicator not used","WHO African Region"
"46","Denmark","Report not provided","New regulation concerning ENDS is being negotiated in parliament.","Indicator not used","WHO European Region"
"47","Djibouti","Report not provided","Answer not provided","Indicator not used","WHO Eastern Mediterranean Region"
"48","Dominica","Report not provided","Answer not provided","Report not provided","WHO Region of the Americas"
"49","Ecuador","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
