"","Party","2018","2016","2014","Region"
"1","Afghanistan","Report not provided","Answer not provided","The law indicated the protection of the environment and the health of the personal will be strictly considered to be safe","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Report not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Report not provided","Commercial tobacco farming and manufacturing no longer occurs in Australia. However, the Commonwealth and state and territory governments have environmental and occupational health and safety legislation, regulation and policies in place to protect the environment and the health of persons in relation to the environment. Tobacco manufacturers are subject to these requirements if they return their operations to Australia.","Commercial tobacco farming no longer occurs in Australia. Three tobacco manufacturing companies operate in Australia. The Commonwealth and state and territory governments have environmental and occupational health and safety legislation. regulation and policies in place to protect the environment and the health of persons in relation to the environment. Tobacco manufacturers are subject to these requirements.","WHO Western Pacific Region"
"8","Austria","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"9","Azerbaijan","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Report not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Report not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Report not provided","There is no cultivation or manufacture of tobacco in Barbados","Answer not provided","WHO Region of the Americas"
"14","Belarus","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"18","Bhutan","Report not provided","Answer not provided","The law provides that no person in the country shall cultivate harvest or manufacture tobacco or tobacco products","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"21","Botswana","Report not provided","Report not provided","Report not provided","WHO African Region"
"22","Brazil","Report not provided","On 2013 MDA contracted extension services to assist 11.200 tobacco producers in the Southern States of Rio Grande do Sul, Santa Catarina and Paraná, where is concentrated 98% of tobacco for cigarrettes produced in Brazil.
These are 3 years contracts and include subjects related to “diversification of production and income, commercialization, value adding, farmer organization, and others related to the FCTC, such as, the health of tobacco producers, protection and conservation of natural resources, and awareness raising about the objectives of the FCTC. 
Apart from the contracts on diversification, MDA also contracted extension services on municipalities that produce tobacco, to assist another 33.400 families on other topics such as, agroecology, dairy activities, coffee production, and sustainability.
Furthermore, it has a specific item on its budget that supports training of farmers and extension agents, implementation of demonstration units on economic viable alternatives to tobacco, and research concerning diversification.","Answer not provided","WHO Region of the Americas"
"23","Brunei Darussalam","Report not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"24","Bulgaria","Report not provided","Answer not provided","From November 17 2011 in Bulgaria can offer only „cigarettes with reduced ignition propensity” or so-called „RIP cigarettes” (Reduced Ignition Propensity). All cigarettes at the market will have to conform the standard EN 16156:2010 on fire „Cigarettes. Evaluation of the ignition propensity. Safety requirement. „The standard was developed under a mandate from the European Commission and the European Free Trade Association (EFTA) and supports essential requirements for the general safety of products in accordance with Directive 2001/95/EC.
Compliance with the standard is mandatory for manufacturers and for retailers of tobacco products - cigarettes and supplies for RYO cigarettes. The conformity assessment of cigarettes will be evidenced by a document certifying the results of the laboratory tests of the burning ability of cigarette paper.
In Bulgaria requirements for fire safety about tobacco products are provided in Standard EN 16156:2010 „Cigarettes. Evaluation of the ignition propensity. Safety” in connection with BDS EN ISO 12863:2010 ”Standard method for assessing the ignition propensity of cigarettes” under the provisions of the Directive on general product safety 2001/95/EC of the European Parliament and the Council therefore that they are made of cigarette paper with a reduced ability of ignition..","WHO European Region"
"25","Burkina Faso","Report not provided","Les fabricants des produits du tabac sont soumis à la réalisation dune étude dimpact environnementale et social dont le rapport fait lobjet dune session dune équipe multisectorielle comprenant le ministère de la santé et le comité national de lutte contre le tabac.","Il n’existe aucune politique portant sur la protection de l’environnement.","WHO African Region"
"26","Burundi","Report not provided","Les ateliers de sensibilisation sur le tabagisme passif","Report not provided","WHO African Region"
"27","Cambodia","Report not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"28","Cameroon","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"29","Canada","Report not provided","Health Canadas Pest Management Regulatory Agency (PMRA) regulates pesticides for all agricultural crops, including tobacco. In doing so, it takes health and the environment into consideration.  

While the Tobacco Act does not provide environmental measures with respect to manufacturing, Canada has extensive national and sub-national legislation and regulations that provide for the protection of the environment, labour standards, and measures that protect the health of persons in relation to the environment.","Health Canada''s Pest Management Regulatory Agency (PMRA) regulates pesticides for all agricultural crops. including tobacco. In doing so. it takes health and the environment into consideration. 
While the Tobacco Act does not provide environmental measures with respect to manufacturing. Canada has extensive national and sub-national legislation and regulations that provide for the protection of the environment. labour standards. and measures that protect the health of persons in relation to the environment.","WHO Region of the Americas"
"30","Cape Verde","Report not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","Report not provided","Report not provided","Report not provided","WHO African Region"
"33","Chile","Report not provided","Por otra parte; las modificaciones  a la Ley 19.419, en su Artículo 10º se señala:
 Se prohíbe fumar en los siguientes lugares incorpora en la letra b) y el número  4 respectivamente  lo siguiente:
b) Espacios cerrados o abiertos públicos o privados, que correspondan a dependencias de: 
4. En las galerías, tribunas y otras aposentadurías destinadas al público en los recintos deportivos, gimnasios o estadios. Esta prohibición se extiende a la cancha y a toda el área comprendida en el perímetro conformado por dichas galerías, tribunas y aposentadurías, salvo en los lugares especialmente habilitados para fumar que podrán tener los mencionados recintos.","En la mayoría de los Planes Comunales enviados al Departamento de Promoción de Salud (2013). se integra en el ámbito comunal la estrategia : Plazas y Parques sin Humo 
Por otra parte; las modificaciones a la Ley 19.419. en su Artículo 10º se señala:
 Se prohíbe fumar en los siguientes lugares incorpora en la letra b) y el número 4 respectivamente lo siguiente:
b) Espacios cerrados o abiertos públicos o privados. que correspondan a dependencias de: 
4. En las galerías. tribunas y otras aposentadurías destinadas al público en los recintos deportivos. gimnasios o estadios. Esta prohibición se extiende a la cancha y a toda el área comprendida en el perímetro conformado por dichas galerías. tribunas y aposentadurías. salvo en los lugares especialmente habilitados para fumar que podrán tener los mencionados recintos.","WHO Region of the Americas"
