"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","The contents of tobacco products is regulated by the Government decision #540-n (since 2005) “On Approving the technical Regulation on Tobacco ” which envisages testing and measuring of the contents of the tobacco products. According to the above-mentioned decision testing should be conducted by a certified testing laboratory. The testing methods should be defined under the standards presented the Technical Regulations","WHO European Region"
"7","Australia","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"8","Austria","Maximum allowance of nicotine (1 mg), tar (10 mg) and carbonmonoxide (10 mg) for cigarette smoke is defined in article 4 of the Austrian Tobacco Act. According to article 9 and 10 of the Austrian Tobacco Act, the Federal Ministry of Health can send inspectors to visit tobacco manufacturing or importing companies that are entitled to take samples of all tobacco products in order to be tested with regard to contents and emissions.

As through the amendment of the Austrian Tobacco Act in May 2016, new allowences take into account tobacco and related products.","Maximum allowance of nicotine (1 mg), tar (10 mg) and carbonmonoxide (10 mg) for cigarette smoke is defined in article 4 of the Austrian Tobacco Act. According to article 9 and 10 of the Austrian Tobacco Act, the Federal Ministry of Health can send inspectors to visit tobacco manufacturing or importing companies that are entitled to take samples of all tobacco products in order to be tested with regard to contents and emissions.

The above allowences will be amended due to the regulations of the TPD II. New allowences take into account tobacco and related products.","Maximum allowance of nicotine (1 mg) tar (10 mg) and carbonmonoxide (10 mg) for cigarette smoke is defined in § 4 of the national tobacco act.
According to Para. 9 and 10 of the Austrian tobacco act the Federal ministry of health can send inspectors to visit tobacco manufacturing or importing companies that are entitled to take samples of all tobacco products in order to be tested with regard to contents and emissions.","WHO European Region"
"9","Azerbaijan","Source: the Law on Tobacco and Tobacco Product of Azerbaijan Republic - Articles 11; 12","Source: the Law on Tobacco and Tobacco Product of Azerbaijan Republic - Articles 11; 12","Source: the Law on Tobacco and Tobacco Product of Azerbaijan Republic - Articles 11; 12","WHO European Region"
"10","Bahamas","Report not provided","Legislation drafted.","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
