"","Party","2018","2016","2014","Region"
"1","Afghanistan","Yes","Yes","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Yes","Yes","Answer not provided","WHO African Region"
"4","Angola","Yes","Yes","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Yes","Yes","Answer not provided","WHO Western Pacific Region"
"8","Austria","Yes","Yes","Answer not provided","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","No","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Yes","Yes","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Yes","Yes","Answer not provided","WHO Region of the Americas"
"14","Belarus","Yes","Yes","Answer not provided","WHO European Region"
"15","Belgium","Yes","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Yes","Answer not provided","WHO Region of the Americas"
"17","Benin","Yes","Yes","Answer not provided","WHO African Region"
"18","Bhutan","No","No","Answer not provided","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Yes","Yes","Answer not provided","WHO European Region"
"21","Botswana","Yes","Report not provided","Report not provided","WHO African Region"
"22","Brazil","No","No","Answer not provided","WHO Region of the Americas"
"23","Brunei Darussalam","No","Report not provided","Answer not provided","WHO Western Pacific Region"
"24","Bulgaria","Yes","Answer not provided","Answer not provided","WHO European Region"
"25","Burkina Faso","Yes","Yes","Answer not provided","WHO African Region"
"26","Burundi","Report not provided","Yes","Report not provided","WHO African Region"
"27","Cambodia","Answer not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"28","Cameroon","No","Yes","Answer not provided","WHO African Region"
"29","Canada","Yes","No","Answer not provided","WHO Region of the Americas"
"30","Cape Verde","Yes","Yes","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
