"","Party","2018","2016","2014","Region"
"1","Afghanistan","Report not provided","GYTS 2004 (Kabul)
Survey among adult men in Kabul 2010","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Albania Demographic and Health Survey 2009 
Albania Demographic and Health Survey 2005 
Albania Reproductive Health Survey 2002 
Assessment and valuation of smoking prevalence among adult population 2000 
GYTS 2004 and 2009 
GHPSS 2005 and 2010","WHO European Region"
"3","Algeria","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Report not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Global Youth Tobacco Survey 2003 and 2009 
Health Behaviour School Children 2011
Global School Personal Survey 2009
Global Health Professional Student Survey 2006 and 2010
Tobacco Prevalence Survey 2004-2005
Health System Performance Assessment (with the tobacco fragment) 2007 and 2009 and 2012","WHO European Region"
"7","Australia","Report not provided","National Surveys 
National Health Survey                                   2014/2015
Australian Secondary School Students Alcohol and Drug Survey (ASSAD) 2014
National Drug Strategy Household Survey	2013
Australian Health Survey 	                        2011/ 2012
Australian Secondary School Students Alcohol and Drug Survey (ASSAD)	2011
National Drug Strategy Household Survey	2010
Australian Secondary School Students Alcohol and Drug Survey (ASSAD)	2008
National Drug Strategy Household Survey	2007
National Health Survey	                                2004/2005
Australian Secondary School Students Alcohol and Drug Survey (ASSAD)	2005
Subnational Surveys: 
Western Australia - Tomlin, Stephania, Radomiljac, Ali and Kay, Alison 2015. Health and Wellbeing of
Adults in Western Australia 2014, Overview and Trends. Department of Health,
Western Australia
http://ww2.health.wa.gov.au/~/media/Files/Corporate/Reports%20and%20publications/Population%20surveys/2041-HWSS-Adults-WA-Overview-and-Trends.ashx
South Australia -  South Australian Omnibus Survey","Australian Government. Australian Institute of Health and Welfare. 2010 National Drug Strategy Household Survey report (July 2011). available online at: http://www.aihw.gov.au/publication-detail/?id=32212254712.
White V and Smith G. Australian secondary school students'' use of tobacco. alcohol. and over-the-counter and illicit substances in 20011 (December 2012) (Report prepared for Drug Strategy Branch. Australian Government Department of Health and Ageing). available online at: http://www.nationaldrugstrategy.gov.au/internet/drugstrategy/publishing.nsf/Content/2C4E3D846787E47BCA2577E600173CBE/$File/school08.pdf. 
Australian Bureau of Statistics. Australian Health Survey 2011-13. comprising of: 
National Aboriginal and Torres Strait Islander Social Survey (2011-2012). available online at: http://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/4714.0Main%20Features72008?opendocument&tabname=Summary&prodno=4714.0&issue=2008&num=&view=#PARALINK2.
Australian Health Survey 2011-2012. available online at: http://www.abs.gov.au/AUSSTATS/abs@.nsf/second+level+view?ReadForm&prodno=4364.0&viewtitle=National%20Health%20Survey:%20Summary%20of%20Results~1995~Previous~28/08/1997&&tabname=Past%20Future%20Issues&prodno=4364.0&issue=1995&num=&view=&. 
Biomedical Results for Chronic Diseases. 2011-12. available online at: http://www.abs.gov.au/ausstats/abs@.nsf/Lookup/4364.0.55.005Chapter6002011-12","WHO Western Pacific Region"
"8","Austria","Report not provided","ESPAD 2015
HBSC 2014
Austrian Health Interview Survey (ATHIS) of 2014 (""Österreichische Gesundheitsbefragung"")","General population survey (last survey was conducted in 2008 http://www.api.or.at/akis/download/gps2008band1.pdf
Health behaviour in school aged children 2010: http://bmg.gv.at/home/Schwerpunkte/Praevention/Schulgesundheit/WHO_Studie_Health_Behaviour_in_School_aged_Children_; 
European School Survey Project on Alcohol and Other Drugs - ''ESPAD'' (latest results published are from 2007) http://www.api.or.at/akis/download/espad%202007band1.pdf
Österreichischer Frauengesundheitsbericht 2010/11: http://bmg.gv.at/cms/home/attachments/0/1/3/CH1004/CMS1299496168458/frauengesundheitsbericht.pdf
national health survey (Österreichische Gesundheitsbefragung) 2006/07: http://www.bmg.gv.at/cms/home/attachments/1/1/8/CH1066/CMS1187768952223/oesterr_gesundheitsbefragung_2006_20071.pdf
WHO-Survey/Health behaviour in school aged children 2010: http://bmg.gv.at/cms/home/attachments/0/2/3/CH1105/CMS1327919019042/hbsc_schuelerbericht2010_barrierefrei1.pdf","WHO European Region"
"9","Azerbaijan","Report not provided","GYTS 2011
NCD risk factors survey 2011","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","STEPS 2012
Global Youth Tobacco Survey 2013","Bahamas STEPS Survey 2012 Global Youth Tobacco Survey 2013","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Report not provided","Non communicable diseases and risk factors survey (2007),Global Health Professions Student Survey (GHPSS), 2009, Global Youth Tobacco Survey (GTYS),2003 and 2015.","Non communicable diseases and risk factors survey (2007) Global Health Professions Student Survey (GHPSS) 2009 Global Youth Tobacco Survey (GTYS) 2003.","WHO Eastern Mediterranean Region"
"12","Bangladesh","Report not provided","Global Adult Tobacco Survey 2009 and NCD Risk Factor Survey 2010","Global Adult Tobacco Survey 2009 and NCD Risk Factor Survey 2010","WHO South-East Asia Region"
