"","Party","2018","2016","2014","Region"
"1","Afghanistan","No","No","No","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Yes","WHO European Region"
"3","Algeria","No","No","No","WHO African Region"
"4","Angola","No","No","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","No","No","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Yes","WHO European Region"
"7","Australia","Yes","Yes","Yes","WHO Western Pacific Region"
"8","Austria","Yes","Yes","Yes","WHO European Region"
"9","Azerbaijan","No","No","No","WHO European Region"
"10","Bahamas","Report not provided","No","No","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Yes","Yes","Yes","WHO Eastern Mediterranean Region"
"12","Bangladesh","No","No","No","WHO South-East Asia Region"
"13","Barbados","Yes","Yes","Yes","WHO Region of the Americas"
"14","Belarus","Yes","Yes","Yes","WHO European Region"
"15","Belgium","Yes","Yes","Yes","WHO European Region"
"16","Belize","Report not provided","Yes","Yes","WHO Region of the Americas"
"17","Benin","Yes","No","No","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Yes","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","No","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Yes","Yes","Yes","WHO European Region"
"21","Botswana","Yes","Report not provided","Report not provided","WHO African Region"
"22","Brazil","No","No","No","WHO Region of the Americas"
"23","Brunei Darussalam","Yes","Report not provided","Yes","WHO Western Pacific Region"
"24","Bulgaria","Yes","Yes","Yes","WHO European Region"
"25","Burkina Faso","No","No","No","WHO African Region"
"26","Burundi","Report not provided","No","Report not provided","WHO African Region"
"27","Cambodia","Answer not provided","Report not provided","No","WHO Western Pacific Region"
"28","Cameroon","No","No","No","WHO African Region"
"29","Canada","Yes","Yes","Yes","WHO Region of the Americas"
"30","Cape Verde","No","No","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","Yes","Report not provided","Report not provided","WHO African Region"
"33","Chile","No","No","No","WHO Region of the Americas"
"34","China","Yes","Yes","Yes","WHO Western Pacific Region"
"35","Colombia","Yes","No","No","WHO Region of the Americas"
"36","Comoros","Yes","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","Yes","Yes","WHO African Region"
"38","Cook Islands","No","No","Yes","WHO Western Pacific Region"
"39","Costa Rica","Yes","Yes","Yes","WHO Region of the Americas"
"40","Côte d'Ivoire","No","No","No","WHO African Region"
"41","Croatia","Yes","Yes","Yes","WHO European Region"
"42","Cyprus","Report not provided","No","No","WHO European Region"
"43","Czech Republic","No","No","No","WHO European Region"
"44","Democratic People's Republic of Korea","No","Report not provided","Yes","WHO South-East Asia Region"
"45","Democratic Republic of the Congo","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"46","Denmark","No","No","Yes","WHO European Region"
"47","Djibouti","Yes","Yes","No","WHO Eastern Mediterranean Region"
"48","Dominica","Report not provided","No","Report not provided","WHO Region of the Americas"
"49","Ecuador","Yes","Yes","Yes","WHO Region of the Americas"
"50","Egypt","No","No","No","WHO Eastern Mediterranean Region"
"51","El Salvador","Yes","Yes","Yes","WHO Region of the Americas"
"52","Equatorial Guinea","No","No","Report not provided","WHO African Region"
"53","Estonia","No","No","No","WHO European Region"
"54","Ethiopia","Report not provided","Report not provided","Report not provided","WHO African Region"
"55","European Union","Yes","Yes","Yes","WHO European Region"
"56","Fiji","Report not provided","Report not provided","Yes","WHO Western Pacific Region"
"57","Finland","Yes","No","No","WHO European Region"
"58","France","Yes","Yes","Yes","WHO European Region"
"59","Gabon","No","No","No","WHO African Region"
"60","Gambia","No","No","No","WHO African Region"
"61","Georgia","No","No","No","WHO European Region"
"62","Germany","Yes","Yes","Yes","WHO European Region"
"63","Ghana","Yes","Yes","No","WHO African Region"
"64","Greece","Report not provided","Yes","Yes","WHO European Region"
"65","Grenada","No","No","No","WHO Region of the Americas"
"66","Guatemala","No","No","No","WHO Region of the Americas"
"67","Guinea","Report not provided","No","Report not provided","WHO African Region"
"68","Guinea-Bissau","No","No","Report not provided","WHO African Region"
"69","Guyana","Yes","Report not provided","Report not provided","WHO Region of the Americas"
"70","Honduras","Yes","Yes","Answer not provided","WHO Region of the Americas"
"71","Hungary","Report not provided","Yes","Yes","WHO European Region"
"72","Iceland","Yes","Yes","Yes","WHO European Region"
"73","India","Report not provided","Yes","Yes","WHO South-East Asia Region"
"74","Iran (Islamic Republic of)","Yes","Yes","Yes","WHO Eastern Mediterranean Region"
