"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Indicator not used","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Indicator not used","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Indicator not used","WHO European Region"
"7","Australia","Activity at the sub national level 
In South Australia, a state-wide social marketing campaign is implemented by the South Australian Government to inform smokers of the harms of smoking and encourage smoking cessation. The campaign operates at best practice reach and frequency levels and utilises a range of media including television, radio and digital media. 

Non-government organisations are funded to provide smoking cessation support services, including training for health professionals. The Quitline service is provided through Cancer Council South Australia. Under South Australia’s Closing the Gap commitment Aboriginal Community Controlled Health Services are funded by the State Government to provide smoking cessation support services and deliver quit smoking messages at the local level. This includes a service specifically to support smoke-free pregnancies among Aboriginal women and their families. Additionally, South Australia delivers an Aboriginal-specific tobacco campaign ‘Give up smokes for good’. The campaign is an ambassador-led initiative that aims to encourage Aboriginal people in South Australia to quit smoking.  

The Victorian Government develops and implements programs and best practice in tobacco control, as well as funds and oversees programs and services provided by external agencies. These functions and activities form a comprehensive tobacco control approach integrating anti-smoking social marketing, smoking cessations services, programs to reduce smoking in sub-populations and certain settings, research, legislative reform, and education and enforcement activities under the Tobacco Act 1987 (Tobacco Act).  A brief description of certain programs is below.

Anti-smoking social marketing:
Victoria, through funding Quit Victoria, develops and implements mass media anti-smoking social marketing campaigns. In Victoria, the primary target audience of Quit Victoria’s social marketing strategy is smokers aged 18-49 in blue collar occupations (reflecting the predominant smoking population apart from the Aboriginal and Torres Strait Islander population). Targeting of Aboriginal and Torres Strait Islander young people and adults is undertaken through local and regional communication initiatives by Aboriginal Community Health and other organisations.

Outdoor smoking bans:
The Victorian Government implemented a comprehensive education and awareness program in relation to the smoking bans in outdoor areas that commenced on 1 August 2017. Radio and online advertising on the internet and social media was utilised prior to the introduction of the bans, and in the period following their introduction. Communication and guidance materials outlining the new laws, and free ‘No Smoking’ signage was made available on the Department of Health and Human Service’s website and provided directly to local councils and organisations affected by the bans, such as hospitality businesses. 

Best Practice Forum for Aboriginal Tobacco Control:
The Best Practice Forum for Aboriginal Tobacco Control is co-chaired by the Victorian Department of Health and Human Services and Victorian Aboriginal Community Controlled Organisation. The forum brings together key expert stakeholders to share best practice on reducing tobacco-related harm among Aboriginal and Torres Strait Islanders.

Supporting Patients to be Smoke-free: 
The supporting patients to be smoke-free project is funded by the Department of Health and Human Services and led by Alfred Health. It aims to ensure all people who access the Victorian health system are asked about their smoking and offered support to quit. Alfred Health provides support to all Victorian health services to implement the ABCD approach, systematically identifying all smokers and providing them with support to quit by:
•	Asking;
•	providing advice (Brief intervention); and
•	recording the action taken at the point of hospital discharge (Communicating at Discharge).

Smoke-free Latrobe
The Smoke-free Latrobe project is funded by the Department of Health and Human Services and led by the Gippsland Primary Health Network with assistance from Quit Victoria. It is an intensive place based approach which works to embed delivery of smoking cessation support across the health system, with a particular focus on primary care.

The Victorian Government also provides funding to Victorian Aboriginal Community Controlled Health Organisation to undertake tobacco control initiatives, which include place based approaches under the Working Together for Health program. 

In Western Australia (WA), non-government organisations (NGOs) have been contracted to raise awareness of the harms caused by smoking. 
Established in 2000, Cancer Council Western Australia’s (CCWA) “Make Smoking History” (MSH) Campaign aims to reduce the prevalence of smoking among adults in Western Australia and to reduce the incidence of people starting to smoke. CCWA employs a comprehensive; whole-of-population approach using evidence based and best practice strategies. CCWA has demonstrated that a multi-faceted, carefully planned program that is sustained with a good level of funding has made a difference to the smoking prevalence within WA. Specifically, the MSH campaign seeks to;
•	influence public opinion and policy on key smoking and health issues;
•	raise awareness of the harms of smoking and the benefits of quitting; and 
•	assist and support smokers to quit by providing them with information and resources to help plan their quit attempt. 

The MSH Campaign employs a comprehensive range of strategies including hard-hitting mass media advertising; production and distribution of public education materials; professional development and workforce capacity building; community-based support strategies (including strategies for high prevalence population groups); and research and evaluation. Other components of the campaign include media and political advocacy on topical smoking and health issues and input into the development of public policy on health. 

Tobacco control activities in New South Wales require strong partnerships and ongoing commitment among stakeholders. The New South Wales Ministry of Health works collaboratively with Local Health Districts, other government and non-government agencies. Accelerating the rate of decline in smoking during pregnancy is a priority in New South Wales with a particular focus on closing the gap between Aboriginal and non-Aboriginal women. This includes health workers routinely identifying smokers and providing them with advice and referrals to treatment.

Tobacco resistance and control targeting Aboriginal communities
In NSW the Quit for new life program provides best practice smoking cessation support to women having an Aboriginal baby and those within their household who are nicotine dependent. The program offers evidence-based cessation support including access to free nicotine replacement therapy and behavioural counselling; the latter provided by local cessation support officers or Aboriginal Quitline. As the five year funding period for Quit for new life ends on 1 July 2018, services implementing the program are focussed on embedding smoking cessation into routine clinical care through their sustainability plans. This will ensure Aboriginal pregnant women and their cohabitants who smoke continue to receive evidence-based support and treatment for smoking cessation beyond the life of the program. 

The Aboriginal Quitline provides an individually tailored and culturally accepted smoking cessation support service to Aboriginal callers.
The Cancer Institute NSW in partnership with the National Indigenous Television (NITV) channel has developed an Aboriginal Quit smoking mini-series. Aboriginal former smokers and professional rugby league players share their own quitting journeys to help encourage others in their community to quit the habit for good. 

In 2016-2017,the Australian Capital Territory has had a significant focus on programs for young women running the “If you smoke your future’s not pretty” campaign and the “Quit for You Quit for Two” campaign targeting young pregnant women. The Australian Capital Territory Department of Health has also funded the Winnunga Nimmiyjah Aboriginal Medical Service and Gugan Gulwan Youth Aboriginal Corporation to deliver a number of smoking cessation activities targeted at Aboriginal and Torres Strait Islander people in the Australian Capital Territory.

Each state and territory, with help from a one-off pay payment from the Australian Government to fund quitline and call back smoking cessation services. 

In Tasmania, the Quit Social Marketing program implements campaigns to increase public awareness of the health risks of smoking and to prompt quit smoking attempts. Since 2013, the program has been funded at levels the research evidence indicates will significantly decrease smoking prevalence. A range of public and retailer education materials were also developed to support new tobacco and electronic cigarette laws introduced on 29 November 2017.","Activity at the sub national level 
The Victorian Government develops and implements programs and best practice in tobacco control, as well as funds and oversees programs and services provided by external agencies. These functions and activities form a comprehensive tobacco control approach integrating anti-smoking social marketing, smoking cessations services, programs to reduce smoking in sub-populations and certain settings, research, legislative reform, and education and enforcement activities under the Tobacco Act 1987 (the Tobacco Act).  A brief description of certain programs is below.

Anti-smoking social marketing:
Victoria, through funding Quit Victoria, develops and implements mass media anti-smoking social marketing campaigns. In Victoria, the primary target audience of Quit Victoria’s social marketing strategy is smokers aged 18-49 in blue collar occupations (reflecting the predominant smoking population apart from the Aboriginal and Torres Strait Islander population). Targeting of Aboriginal and Torres Strait Islander young people and adults is undertaken through local and regional communication initiatives by Aboriginal Community Health and other organisations.

Outdoor smoking bans:
The Victorian Government implemented a comprehensive education and awareness program in relation to the outdoor smoking bans that commenced on 13 April 2015. Print and radio advertising and social media was utilised prior to the introduction of the bans, and in the period following their introduction. 
Communication and guidance materials outlining the new laws was made available on the Department of Health and Human Service’s website and provided directly to local councils and organisations affected by the bans, such as hospitals and schools.
Best Practice Forum for Aboriginal Tobacco Control:
The Best Practice Forum for Aboriginal Tobacco Control is co-chaired by the Department of Health & Human Services and Victorian Aboriginal Community Controlled Organisation (VACCHO). The forum brings together key expert stakeholders to share best practice on reducing tobacco-related harm among Aboriginal and Torres Strait Islanders.

Supporting Patients to be Smoke-free: 
A pilot program, in partnership with seven health services, to deliver brief smoking interventions in a hospital context.
Smoke-free smiles:
A pilot program trialing a new brief smoking cessation intervention framework developed specifically for the oral health setting.
The Victorian Government provides funding to Victorian Aboriginal Community Controlled Health Organisation to undertake tobacco control initiatives. 

In Western Australia (WA), non-government organisations (NGOs) have been contracted to raise awareness of the harms caused by smoking. 
Established in 2000, Cancer Council Western Australia’s (CCWA) “Make Smoking History” (MSH) Campaign aims to reduce the prevalence of smoking among adults in Western Australia and to reduce the incidence of people starting to smoke. CCWA employs a comprehensive; whole-of-population approach using evidence based and best practice strategies. CCWA has demonstrated that a multi-faceted, carefully planned program that is sustained with a good level of funding has made a difference to the smoking prevalence within WA. Specifically, the MSH campaign seeks to: 
•	Influence public opinion and policy on key smoking and health issues 
•	Raise awareness of the harms of smoking and the benefits of quitting 
•	Assist and support smokers to quit by providing them with information and resources to help plan their quit attempt. 
The MSH Campaign employs a comprehensive range of strategies including hard-hitting mass media advertising; production and distribution of public education materials; professional development and workforce capacity building; community-based support strategies (including strategies for high prevalence population groups); and research and evaluation.  Other components of the campaign include media and political advocacy on topical smoking and health issues and input into the development of public policy on health. 

Tobacco control activities in New South Wales (NSW) require strong partnerships and ongoing commitment among stakeholders. The NSW Ministry of Health works collaboratively with Local Health Districts, other government and non-government agencies.
Tobacco resistance and control targeting Aboriginal communities
Under the National Partnership Agreement ‘Closing the Gap’ for Aboriginal Health Outcomes, two programs have been implemented to contribute to reduced smoking rates among Aboriginal people. These are:
1.	The Quit for new life program provides best practice smoking cessation support to women having an Aboriginal baby and those within their household who are nicotine dependent. The program is an initiative of the NSW Ministry of Health in partnership with Kids and Families NSW and is primarily being delivered through Aboriginal Maternal and Infant Health Services (AMIHS) and Building Strong Foundations (BSF) programs located within Local Health Districts (LHDs) across NSW.

Women attending participating services for antenatal and postnatal care in NSW will be offered comprehensive smoking cessation support. This includes brief advice, educational resources, referral to Quitline, free Nicotine Replacement Therapy where clinically appropriate (also available for householders who smoke) and extended follow-up support.  The sustainability of the program will be promoted through a focus on practice change strategies that embed comprehensive smoking cessation support into routine delivery of maternity care. 

Quit for new life is being rolled out across NSW over a four year period (2012/13 - 2015/16). Regular monitoring of key indicators and a comprehensive evaluation strategy will provide valuable data on the impact the program has on reducing the high rate of smoking during pregnancy amongst Aboriginal women in NSW.  
The Aboriginal Health and Medical Research Council (AH&MRC) Tobacco Resistance and Control (A-TRAC), a comprehensive tobacco control program that aims to build the capacity of Aboriginal Health Workers at Aboriginal Community Controlled Health Services (ACCHSs) and integrate tobacco control and smoking cessation activities into the ACCHS model of comprehensive primary health care.
In 2015 the NSW Ministry of Health and the Aboriginal and Medical Research Council products the ATRAC Framework which aims to support the planning, integration and coordination of Aboriginal tobacco resistance and control efforts across NSW. The Framework identifies relevant evidence and key principles to encourage best practice approaches to address smoking in Aboriginal communities.
The NSW Ministry of Health is currently partnering in the development of the Can’t Even Quit mobile quit support application: www.cantevenquit.org.au/.

Each state and territory, with help from a one-off pay payment from the Australian Government, fund quitline and call back smoking cessation  services.","Indicator not used","WHO Western Pacific Region"
"8","Austria","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
