"","Party","2018","2016","2014","Region"
"1","Afghanistan","involved different sector such as municipality, hotels union, environmental health dept, NEPA ( national environment protection administration) and Police for follow up
check list for monitoring has been developed and implmented
plan for monitoring developed
continue monitoring mission 
provinces informed for all above","involved different sector such as municipality, hotels union, environmental health dept for follow up
check list for monitoring has been developed
2 position has been hired for only tobacco in environmental health dept MoPH
plan for monitoring developed
monitoring mission started
provinces informed for all aboives","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Article 15 of the Law “For the protection of health from tobacco products” ban smoking in “Workplaces health institutions excluding institutions of mental health (only for patients) educational institutions public transport business areas bars restaurants disco night clubs and other public places”. So our law is in accordance with the convention and creates free tobacco environments. This article is not yet applied. State Sanitary Inspectorate has been not effective. When the task force nr.2 operated in Tirana the implementation of the law has been 78% effective and also in high level (60%) on national level but this situation was only when the task force operated in Albania. Task force nr 2 started on 02.08.2012 (order 362) and stopped on 22.10.2012 (order no 530). 
On 12.03.2013 the law “On health protection from tobacco products” has made same amendments modifications. Some of the most important modifications on the law 
; Its improved the definition of public place also the definition of workplace.
This article is not yet applied.","WHO European Region"
"3","Algeria","lancement des campagnes de sensibilisation sur les risques engendrés par le tabagisme par plusieurs secteurs ( santé ,intérieur et collectivités locales ,  solidarité nationale , communication  , jeunesse et sports , affaire religieuse, éducation nationale , enseignement supérieur, transport et  la justice.","Depuis la création du comité multisectoriel de prévention et de sensibilisation sur le tabagisme , une série de mesure ont été concrétisées pour lutter contre le tabagisme","Answer not provided","WHO African Region"
"4","Angola","According to the current legislation, each public space is responsible for enforcing the smoking ban in the respective area; the Ministry of Health produces and distributes, on a regular manner, materials on smoking bans. Media campaigns continue also to be developed on a regular basis.","According to the current legislation, each public space is responsible for enforcing the smoking ban in the respective area; the Ministry of Health produces and distributes, on a regular manner, materials on smoking bans. Media campaigns continue also to be developed on a regular basis.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Antigua & Barbuda has issued a Cabinet Decision which bans tobacco smoking in ALL Government Institutions including vehicles and premises. In addition draft legislation is being prepared guided by the FCTC.","Antigua & Barbuda has issued a Cabinet Decision which bans tobacco smoking in ALL Government Institutions including vehicles and premises. In addition draft legislation is being prepared guided by the FCTC.","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","The states and territory governments have lead responsibility for smoking restrictions to prevent second-hand smoking in Australia. Smoking is now banned in all indoor public places and transport and most jurisdictions have begun to extend bans on smoking to some outdoor public places. 

In Victoria, from 1 August 2017, smoking was banned:
•	in outdoor areas at hospitality and food venues used for eating food. This includes footpath dining areas, courtyards and beer gardens during times food is being eaten, or is available to be eaten
•	in all outdoor areas at food fairs. A food fair is an event where the principal activity is the supply of food for consumption at the event
•	within 10 metres of a food stall or food vendor at organised outdoor event (other than a food fair).
•	to complement smoke-free outdoor dining, smoking is banned in an outdoor drinking area if any part of that area is within 4 metres of an outdoor dining area, unless separated by a wall of at least 2.1 metres high. This means the two areas can be separated by either:
•	a 4 metre buffer zone; or
•	a wall of at least 2.1 metres high.

If the separation requirement is not met, smoking is banned in an outdoor drinking area. This law applies to the same venue as well as to neighbouring venues.

From 1 July 2015, smoking was banned in all areas at Victorian prisons.

The revised Smoke-Free Public Places Act 2003 came into force in the Australian Capital Territory on 18 March 2016. This streamlines the process for establishing new smoke-free areas by enabling the Chief Minister and responsible Minister to jointly declare new smoke-free areas and events via a disallowable instrument.  Public play spaces and public transport waiting areas have since been declared as smoke free public places. 

The South Australian Government has introduced smoke-free outdoor dining areas under the Tobacco Products Regulation Act 1997, including partnering with local governments to introduce declared smoke-free declared outdoor.","The states and territory governments have lead responsibility for smoking restrictions to prevent second-hand smoking in Australia. Smoking is now banned in all indoor public places and transport and most jurisdictions have begun to extend bans on smoking to some outdoor public places. 
In Victoria, from 13 April 2015, smoking was banned:
•	in outdoor areas of, and at and within 4 metres of entrances to, childcare centres, kindergartens and schools
•	at and within 4 metres of entrances to children’s indoor play centres and Victorian public premises (public hospitals, registered community health centres and certain Victorian Government buildings).
From 1 July 2015, smoking was banned in all areas at Victorian prisons.

Further, the ACT Government’s Future Directions for tobacco reduction in the ACT 2013-2016 (Future Directions) was launched on 31 May 2013 (World No Tobacco Day).  Future Directions focuses on two key action areas for further development: restricting access to tobacco and restricting places of tobacco use.

The Smoke-Free Public Places Amendment Bill 2016 was passed by the ACT Legislative Assembly on 10 March 2016 to facilitate the implementation of Future Directions. The revised Smoke-Free Public Places Act 2003, which came into force on 18 March 2016, streamlines the process for establishing new smoke-free areas by enabling the Chief Minister and responsible Minister to jointly declare new smoke-free areas and events via a disallowable instrument. The revised Act includes a framework to ensure a robust assessment of the costs and benefits associated with making a specific public place or event smoke-free.","The states and territory governments have lead responsibility for smoking restrictions to prevent second-hand smoking in Australia. Smoking is now banned in all indoor public places and transport and most jurisdictions have begun to extend bans on smoking to some outdoor public places. Please see Annex 1 for further information and Annex 2 for links to the relevant state and territory legislation.","WHO Western Pacific Region"
"8","Austria","Concerning the protection from exposure to tobacco smoke, the judiciary of the Austrian supreme courts is getting more and more strict. 

Since 2016 the Austrian Tobacco Act has been further tightened by means of regulations regarding the protection from exposure to tobacco smoke through further introduction of smoking bans in various places.","Concerning the protection from exposure to tobacco smoke, the judiciary of the Austrian supreme courts is getting more and more strict. 

In 2012 sanctions for violations of the smoking restrictions in indoor workplaces were raised according to article 130 Sect. 1 Z 15 of the Austrian law on health and safety at work act (Arbeitnehmerschutzgesetz).","Concerning the protection from exposure to tobacco smoke the judiciary of the Austrian supreme courts is getting more and more strict.
In 2012 sanctions for violations of the smoking restrictions in indoor workplaces were raised according to Para. 130 Sect. 1 Z 15 of the Austrian law on health and safety at work act (Arbeitnehmerschutzgesetz); for details see 3.2.2.10.","WHO European Region"
"9","Azerbaijan","The Code “On Administrative Violations” of the Republic of Azerbaijan enacted in 2000 and updated on 29 December 2015 provides the following penalties: for smoking cigarette in aircraft, railway (raised up to 40 manats), metro, sea and river (raised up to 40 manats) transports (respectively Articles ## 299; 305; 306 and 318); for smoking in other prohibited places, as pointed in the Law of the Republic of Azerbaijan “On Tobacco and Tobacco Products” - 30 manats (new Article 212.1.); in case of no ensuring allocation of special places for smoking and absence of ""No Smoking"" warning message or the sign in enterprises, institutions, organizations - 400 manats to officials and 1000 manats to legal entities (new Article 212.2.); smoking in the buses that move regularly through between or within towns and cities and on international routes shall result in the penalty amount of 40 to 50 manats (Article 322.0.4.); for violation the rules of commerce on ethylene (food) alcohol, and alcoholic beverages or tobacco goods (penalty raised up to 80 manats - Article 455.1.) (http://azertag.az/store/files/news/ASASNAME.pdf - available in Azerbaijani language only).","The Code “On Administrative Violations” of the Republic of Azerbaijan enacted in 2000 and updated on 29 December 2015 provides the following penalties: for smoking cigarette in aircraft, railway (raised up to 40 manats), metro, sea and river (raised up to 40 manats) transports (respectively Articles ## 299; 305; 306 and 318); for smoking in other prohibited places, as pointed in the Law of the Republic of Azerbaijan “On Tobacco and Tobacco Products” - 30 manats (new Article 212.1.); in case of no ensuring allocation of special places for smoking and absence of ""No Smoking"" warning message or the sign in enterprises, institutions, organizations - 400 manats to officials and 1000 manats to legal entities (new Article 212.2.); smoking in the buses that move regularly through between or within towns and cities and on international routes shall result in the penalty amount of 40 to 50 manats (Article 322.0.4.); for violation the rules of commerce on ethylene (food) alcohol, and alcoholic beverages or tobacco goods (penalty raised up to 80 manats - Article 455.1.) (http://azertag.az/store/files/news/ASASNAME.pdf - available in Azerbaijani language only).","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013)","WHO Region of the Americas"
