"","Party","2018","2016","2014","Region"
"1","Afghanistan","increased for 10 % to 20 % in tariff","increased for 10 % to 20 %","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Steady","WHO European Region"
"3","Algeria","Le prix des produits tabagiques  a augmenté de 30  %  en fonction des produits , depuis l’année 2015","Le prix des produits tabagiques  a augmenté de 20 à 25  %  en fonction des produits , depuis l’année 2015","Le prix du tabac a légèrement augmenté depuis les deux dernières années.","WHO African Region"
"4","Angola","Hubo un marcado aumento de precio de cigarrilos importados como por efecto del aumento de la tasa de impuesto","There have been significant increases in cigarette prices over the last four years as a reflection of inflation.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","In the past two years, Benson and Hedges increased by $0.40 ECD (forty (40) cents) while Kool and Newport increased by $0.75 ECD (seventy-five (75) cents).","In the past two years. Benson and Hedges increased by $0.40 ECD (forty (40) cents) while Kool and Newport increased by $0.75 ECD (seventy-five (75) cents","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","The prices of tobacco products was increased but not significantly which is connected with the changes in taxation system and with the inflation and in consequence to that the changes in the prices did not impact the consumption","WHO European Region"
"7","Australia","Between 2014 and 2016, a pack of Winfield 25s rose by $4.85, or 22.66%; a pack of Peter Jackson 30s rose by $6.50, or 27.43%; and a pack of Horizon 50s rose by $10 or 29.67%, although it should be noted that the source of prices has changed between 2014 and 2016 (previously the Retail Tobacconist magazine, now the Patterson Road website).

There is no domestically produced tobacco products in Australia.","Between 2014 and 2016, a pack of Winfield 25s rose by $4.85, or 22.66%; a pack of Peter Jackson 30s rose by $6.50, or 27.43%; and a pack of Horizon 50s rose by $10 or 29.67%, although it should be noted that the source of prices has changed between 2014 and 2016 (previously the Retail Tobacconist magazine, now the Patterson Road website).

There is no domestically produced tobacco products in Australia.","UPDATE - Between 2012 and 2014 a 25 pack of Winfield cigarettes has increased in price by AUD $(17.15 -16.55 = .60) or 3.5 per cent. a 40 pack of Longbeach cigarettes has increased by AUD ($ 24.80 – 23.95 = .85) or 3.4 per cent. and a 30 pack of Peter Jackson cigarettes has increased by AUD $(18.9 18.70 ) or 1.06p er cent. Please see Annex 1 for further information .","WHO Western Pacific Region"
"8","Austria","The retail prices of tobacco products have been constantly increasing, basically by 15-20 Eurocents/20 cigarettes annually.","Basically the prices of tobacco products have been constantly increasing. For some individual brands of cigarettes, however, industry lowered retail prices for limited periods of time in order to gain market shares.","prices are constantly increasing","WHO European Region"
"9","Azerbaijan","The prices of imported tobacco products have declined approximately 10-20-40% since last reporting.","The prices of tobacco products have increased approximately twice since last reporting. However, this trend is not due to any specific tobacco control policy. From February to December 2015 the US/AZN exchange rate has changed from 0.78 to 1.55, so the Azerbaijani manat lost half of its value. This was the main reason the prices of tobacco products increased in manats.","The prices of tobacco products increased by up to 30%. The trend has not linked to any specific tobacco control policy.","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
