"","Party","2018","2016","2014","Region"
"1","Afghanistan","increase on tariff from 10% to 20 % (100% increase)","increase tax on tobacco products from 10% to 20 % (100% tariff based)","The above mentioned law indicated that avoid production trade and encourage the farmers to cultivate alternative agricultural items instead prevention of environment","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Augmentation des taxes de 10 % en 2017 par rapport à 2016
Augmentation des prix de 30 % selon produit du tabac en 2017 par rapport à 2016","Augmentation des taxes de 10 % en 2016 par rapport à 2015
Augmentation des prix de 20 -25 % selon produit du tabac en 2016 par rapport à 2015","Answer not provided","WHO African Region"
"4","Angola","Angola increased by 50% the import tax on tobacco products and by 30% the consumption tax.","Angola increased by 50% the import tax on tobacco products and by 30% the consumption tax.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","....","WHO European Region"
"7","Australia","The Australian Government began implementing staged annual 12.5% tobacco excise increases and excise-equivalent customs duty on tobacco and tobacco-related products on 1 December 2013, followed by additional 12.5% increases on 1 September 2014, 2015, 2016 and 2017. These annual excise increases will continue between 2018 and 2020.
In addition, Australia is the only country in the world to index tobacco excise to wage inflation average weekly ordinary time earnings (AWOTE) to ensure that tobacco products do not become relatively more affordable over time.
These increases are expected to bring the percentage of excise tax in the retail price of cigarettes in Australia much closer to the World Health Organization (WHO) recommended benchmark of 70%. Whilst the Government has been active in raising the excise on tobacco products, the tobacco industry routinely increases its prices, which affects the Government’s ability to maintain this ratio.
As part of the 2017-18 Federal Budget, ‘roll-your-own’ and other tobacco products such as cigars were subject to the same tax treatment as manufactured cigarettes. It is intended that this measure will ensure fairness and efficiency in tobacco taxes by bringing the taxation of roll-your-own tobacco products in line with manufactured cigarettes.
From 1 July 2017, travellers aged 18 years and over entering Australia can only bring 25 grams of duty free tobacco, plus one open packet. The tobacco can be in any form (cigarette, loose leaf and so on) and is equivalent to approximately 25 cigarettes.
If a person has more than this amount, he or she will be required to pay duty on all tobacco in your possession, unless he or she agrees to dispose of the excess.","Since 2013, Australia has been implementing staged increases in excise and excise-equivalent customs duty on tobacco and tobacco-related products of 12.5%. The first increase commenced on 1 December 2013, the second and third commenced on 1 September 2014 and 1 September 2015 and  the final increase of 12.5% will occur on 1 September 2016.  These increases are in addition to the change to bi-annual indexation of tobacco products (from Consumer Price Index to Average Weekly Ordinary Time Earnings), which took effect from 1 March 2014. 

Further, Australia applies quantity restrictions to sales of duty free tobacco products to, and imports of duty free tobacco products by, international travellers. In September 2012, a reduction in the duty free allowance for tobacco products from 250 cigarettes or 250g of cigars or tobacco products to 50 cigarettes or 50g of cigars or tobacco products per person was introduced for persons aged 18 years and over.","In Australia. excise and excise equivalent customs duty apply to tobacco with an objective of reducing consumption. As outlined above in section 2.8. the first of a four staged. 12.5 per cent increase in excise and excise-equivalent customs duty on tobacco and tobacco-related products commenced on 1 December 2013. and further 12.5 per cent increases will occur on 1 September 2014. 1 September 2015 and 
1 September 2016. These increases are in addition to the change to bi-annual indexation of tobacco products (from Consumer Price Index to Average Weekly Ordinary Time Earnings). which took effect from 1 March 2014.
Further. Australia applies quantity restrictions to sales of tobacco products and imports of tobacco products by international travellers. In September 2012. a reduction in the duty free allowance for tobacco products from 250 cigarettes or 250g of cigars or tobacco products to 50 cigarettes or 50g of cigars or tobacco products per person was introduced for persons aged 18 years and over.","WHO Western Pacific Region"
"8","Austria","Excise duty rates on manufactured tobacco were increased in 2016 and 2017. The Tobacco Tax Act provides for further increases in 2018.","Excise duty rates on manufactured tobacco were increased in 2014 and 2015. The Tobacco Tax Act provides for further increases in 2016 and 2017.","Minimum retail selling prices for cigarettes and fine-cut tobacco were in force from May 2006 to May 2010 (in 2006: € 3 25 per pack/cigarettes in 2010 € 3 45 per pack/cigarettes).
Following a judgment of the European Court of Justice (C-198/08 from 4/3/2010) stating that such minimum retail selling prices are incompatible with the EU-law (EU-directive 95/59/EC) the minimum retail selling prices were cancelled.
On the one hand tobacco taxes increased in January 2011 July 2011 and January 2012.","WHO European Region"
"9","Azerbaijan","Since last report up to December 2017, there were no changes in tobacco taxation. 
However, on 21 December, 2017 the Decree of the Cabinet of Ministers of Azerbaijan Republic ""On Approval of excise rates of goods involved in Excise Tax on the territory of the Republic of Azerbaijan"" was amended. This decision comes into force after 30 days, on 23 January, 2018 (the tax rates for imported tobacco products were raised up to 2-3 time from previous rates).
Information about these changes will be reflected in the next reporting period.","On 29.01.2015 an import duty rate for imported tobacco products in the Azerbaijan Republic was modified (Decision No 17 of the Cabinet of Ministers of the Azerbaijan Republic). In the past a rate for all imported cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes was 1.8 US$ per 1000 sticks. Recently the import duty rate has been changed in a following way: 
Cigars, cut-end cigars, and cigarillos consisting of tobacco - 10.0 manats per 1000 pcs.; Cigarettes consisting of tobacco - 4,0 manats per 1000 pcs. 
(http://www.cabmin.gov.az/?/az/pressreliz/view/1541/  - available in Azerbaijani language only).","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Passage of the Tobacco Excise Stamp Tax Act 2013 raising the taxation on tobacco products","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","I n Bahrain, taxes on tobacco and tobacco products were levied based on ad valorem, however starting 30th December 2017 Bahrain started full implementation of Gulf Council Countries agreement to apply selective taxes such as selective (harmful substances)fee.","I n Bahrain, taxes on tobacco and tobacco products are levied based on ad valorem only, however starting February 2016 a special fee was added on tobacco and tobacco products equals to 100% of factory price( ad valorem). In addition, negotiation is still underway between Gulf Council Countries to add other types of taxes such as selective (harmful substances)fee.","Currently ad valorem tax is applied to tobacco products amounting to 100% of its price; however negotiation is underway to introduce sales customs.","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Duty free concessions are not allowed in Barbados for tobacco products","Duty free concessions are not allowed in Barbados for tobacco products","On two occasions the Government of Barbados increased taxes on the retail value of tobacco products. This was achieved by changing the excise tax on tobacco in 2008 and 20111/2012. On the first occasion taxes were increased by 100% while in 20111/2012 the increase was 25% of the import value.","WHO Region of the Americas"
"14","Belarus","Увеличение розничных цен на табачные изделия, рост ставок акцизов","Увеличение розничных цен на табачные изделия, рост ставок акцизов","Increase in retail prices for tobacco products the growth rates of excise duties","WHO European Region"
"15","Belgium","Answer not provided","Answer not provided","Le quota annuel pour les achats en franchise diplomatique est 0 à partir du 1er janvier 2014.","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","Augmentation progressive des taxes sur les cigarettes et autres produits du tabac de 10 % à 45 % dans lactuelle loi des finances","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","A person importing tobacco products for personal consumption shall be 100% sales tax. Imports from third countries are subjected to additional 100 % duty.
For personal consumption the permissible quantity for Import of tobacco or tobacco products per month has been increased/amended as:
300 sticks of cigarettes; or
400 sticks of bidis; or
50 pieces of cigar; or
250 grams of other tobacco or tobacco products.","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Se ha incrementado el 5% de impuesto ad valorem al tabaco rubio diciembre de 2010","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Based on the number of issued excise stamps on cigarettes per year, it is concluded that the prescribed annual increase in excise duties affects the reduction in demand for cigarettes.","Answer not provided","New Tobacco Control Law in the Federation of B&H enforced in 2011 as well Law on excise enforced on state level caused increasing trends of excise and price policy of tobacco products in line with international taxation recommendation and FCTC requirements","WHO European Region"
"21","Botswana","30% Tobacco Levy was introduced and we have just completed GATS Study awaiting results.","Report not provided","Report not provided","WHO African Region"
"22","Brazil","The Decree 8.656 of January 29th 2016 determined a new increase in taxes on cigarettes from May 1st and further increase after December 1st 2016. It also raises the minimum price of the cigarette packages to R$ 5.00 after May 1st 2016.","The Decree 8.656 of January 29th 2016 determined a new increase in taxes on cigarettes from May 1st and further increase after December 1st 2016. It also raises the minimum price of the cigarette packages to R$ 5.00 after May 1st 2016.","In the past three years federal taxes applied to cigarettes increased 82%","WHO Region of the Americas"
"23","Brunei Darussalam","Excise Duty has been amended: Tobacco tax increased by 100% (as of April 2017).","Report not provided","Amended in 2010","WHO Western Pacific Region"
