"","Party","2018","2016","2014","Region"
"1","Afghanistan","Report not provided","financial resources for implementation of tobacco control law is scarce even in government and WHO","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Because of the global economic crisis which had its negative impact on Albania as well the lack of resources was quite substantial in such fields as for example implementation of cessation policy etc.","WHO European Region"
"3","Algeria","Report not provided","Answer not provided","Lun des objectifs principaux de la mise en place dun Comité intersectoriel pour la lutte antitabac est l’élaboration d’une stratégie nationale de lutte antitabac. Ce nest quà la lumière de cette stratégie quune estimation des besoins pourra être faite ainsi qu’une évaluation précise des écarts éventuels avec les ressources disponibles.","WHO African Region"
"4","Angola","Report not provided","Financial resources
Human resources - capacity building","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Insufficient cooperation from local key stakeholders. absence of a government supported tobacco control unit and limited capacity for legal assistance","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Report not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"8","Austria","Report not provided","Limited availability of human resources and financial ressources as a result of savings in public administration on national as well as provicial/regional level.","limited availability of human resources and financial ressources as a result of savings in public administration on national as well as federal state/regional level.","WHO European Region"
"9","Azerbaijan","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Report not provided","Our legislation needs to be strengthened to enhance the tobacco control strategies and plans.","No certified labs are available in Bahrain and regional countries to monitor contents of tobacco products","WHO Eastern Mediterranean Region"
"12","Bangladesh","Report not provided","Government revenue budget for tobacco control is not all sufficient for proper implementation of Tobacco Control Law. Awareness about the law among public and many officers of administration in field level and law enforcing agencies is also minimal.","Government revenue budget for tobacco control is not all sufficient for implementing the law.Public awareness about the law is also minimal.","WHO South-East Asia Region"
"13","Barbados","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"14","Belarus","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Report not provided","en dehors des aides financières fournies par lOMS rien nest prévu dans le budget national pour la lutte antitabac","Answer not provided","WHO African Region"
"18","Bhutan","Report not provided","Human and financial resources gap.","The resources available are for carrying out the demand reduction measures however measures concerning tobacco dependence and cessation (Article 14) are yet to be implemented. Although Tobacco cessation is one of the provision in the National tobacco legislation Bhutan lacks the following: 
There is no comprehensive and integrated programme concerning tobacco dependence and cessation.
There is no National quitline for tobacco cessation.
Pharmaceutical products for treatment of tobacco dependence are not available in the Public health service.
Limited number of medical staff has received training on cessation and treatment of tobacco dependences.
Since Bhutan has banned the sales of Tobacco products the enforcement agency needs to further enhance the focus on supply reduction measures","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Report not provided","Intersectorial collaboration in FCTC implementation 
Securing continued financing for tobacco control measures","Enforcement of tobacco control capacity building through strengthening of intersectorial collaboration and coordination.","WHO European Region"
"21","Botswana","Report not provided","Report not provided","Report not provided","WHO African Region"
"22","Brazil","Report not provided","Limited financial resources to maintain regular advocacy, campaigns, regional support to states and municipalities and to strengthen current policies.","Technical and financial assistance related to the following FCTC articles: 6º. 9. 10. 15. 17. 18 e 19","WHO Region of the Americas"
"23","Brunei Darussalam","Report not provided","Report not provided","Lack of resources
Tobacco control is seen as a lower-priority issue by some non-health agencies.","WHO Western Pacific Region"
"24","Bulgaria","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"25","Burkina Faso","Report not provided","Answer not provided","L’évaluation conjointe de la mise en œuvre de la CCLAT au Burkina Faso en août 2013.","WHO African Region"
"26","Burundi","Report not provided","Nous avons élaboré et validé un Plan Stratégique National de Lutte contre le Tabagisme 2016-2020 mais le budget de mise en œuvre est très déficitaire par manque de partenaires. Ce qui fait que son opérationnalisation reste problématique. Aussi ,il nexiste pas de fonds alloués à la lutte contre le tabagisme.","Report not provided","WHO African Region"
"27","Cambodia","Report not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"28","Cameroon","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"29","Canada","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"30","Cape Verde","Report not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","Report not provided","Report not provided","Report not provided","WHO African Region"
"33","Chile","Report not provided","Los recursos para el desarrollo de campañas de prevención, estas están acotadas a un segmento menor de la población","Si bien se han establecido recursos para el desarrollo de campañas de prevención. estas están acotadas a un segmento menor de la población. El presupuesto de la Oficina de Tabaco es de U$150.000. Este presupuesto se suma a iniciativas de distintos sectores en busca de la promoción de hábitos saludables donde. generalmente. uno de sus componentes es tabaco.","WHO Region of the Americas"
"34","China","Report not provided","1．中国人群特别是男性人群的吸烟率居高不下，社会环境对吸烟习惯的影响较大。2. 控烟工作起步晚，资金经费投入不够，控烟能力建设仍需改进。 3. 与控烟相关的部分法律、法规有待于进一步完善和有效实施。4. 在一些地区，烟草相关产业仍然是当地的经济支柱。","1. Chinese people especially men''s smoking rates remain high social environment significant impact on smoking habits. 2. Tobacco control started late tobacco control capacity-building still needed to be improved. 3. The segment of the tobacco control laws and regulations need to be further refined and implemented effectively. 4. In some areas tobacco-related industry remains a main part of the local economy.","WHO Western Pacific Region"
"35","Colombia","Report not provided","- Equipo técnico reducido para atender las ingentes demandas y actividades en el marco de la política de control de tabaco.","- Equipo técnico reducido para atender las ingentes demandas y actividades en el marco de la política de control de tabaco.","WHO Region of the Americas"
"36","Comoros","Report not provided","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","Answer not provided","Le manque des textes d’application de la loi relative a la lutte antitabac et le désintéressement des cadres des autres ministères dans la lutte antitabac.","WHO African Region"
"38","Cook Islands","Report not provided","To push for the Tobacco Products Control Bill to be enacted through Parliament within this year 2016","From the needs assessment analysis came about recommendations (following are some and have achieved): development of the2012 – 2016 tobacco action plan tax increase implemented smoking cessation program established legal training assistance review of the current tobacco act yet to be implemented strengthen partnership with Stakeholders.","WHO Western Pacific Region"
