"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","There are a small number of exemptions to the workplace smoking ban such as in declared smoking areas in a casino and a place of business occupied by the sole operator that is not for public use.","In Victoria, from 1 August 2017, the Victorian Government committed to banning smoking in outdoor dining areas.
There are a small number of exemptions to the workplace smoking ban such as in declared smoking areas in a casino and a place of business occupied by the sole operator that is not for public use.","Answer not provided","WHO Western Pacific Region"
"8","Austria","Answer not provided","Answer not provided","According to the National Tobacco Act sanctions for violations of the smoking bans/restrictions in public indoor places including hospitality venues are implemented (fines up to € 2.000 - for first violation by tenant up to € 10.000 - for repeated/ongoing violations; fines up to € 100 - for first violation by smokers/up to € 1.000 - for second violation).
According to Para. 130 Sect. 1 Z 15 of the Austrian law on health and safety at work at sanctions for violations of the smoking restrictions can be imposed (fines from € 166 up to € 8.324 for first violation by tenant from € 333 up to € 16.659 for repeated/ongoing violations.
On 18th February 2014 an “authentic interpretation” concerning the Austrian national tobacco act entered into force: It states that it is reasonable for guests of hospitality venues to quickly pass smoking rooms/areas in order to enter non-smoking rooms/areas or WC facilities","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Legislation drafted.","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Generally good compliance","Generally good compliance","Answer not provided","WHO Region of the Americas"
"14","Belarus","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
