"","Party","2018","2016","2014","Region"
"1","Afghanistan","Protocol is under process to be approved by parliament","Ministry of finance informed of developed written and pectoral messages and about other measures to prevent illicit products, but still not put in place","in above mentioned law on Tobacco clearly indicated the finality for who import tobacco production illicitly and for whom who sold on children subject to pay the certain amount as finality","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Le commerce illicite et la contrebande de tabac est réprimé par les dispositions de lordonnance 05-06 de lannée 2005, relative à la lutte contre la contrebande. Cette ordonnance prévoit des sanctions comportant:  la confiscation du tabac et des moyens de transport saisis;  +  la confiscation de tous matériels destinés à la fabrication illicite de tabac + des peines demprisonnement.
Par ailleurs, la contrefaçon est sanctionnée dans le cadre dune réglementation nationale qui a transposé les dispositions de la législation type de lOMC en la matière dans le cadre de la protection des droits de propriété intellectuelle liés au commerce (les ADPICS).
Toutes les marchandises de contrefaçon (tabac et autres) sont systématiquement saisies et détruits par décision de justice. De même que le propriétaire de la marque contrefaite peut demander des réparations civiles.","Le commerce illicite et la contrebande de tabac est réprimé par les dispositions de lordonnance 05-06 de lannée 2005, relative à la lutte contre la contrebande. Cette ordonnance prévoit des sanctions comportant:  la confiscation du tabac et des moyens de transport saisis;  +  la confiscation de tous matériels destinés à la fabrication illicite de tabac + des peines demprisonnement.
Par ailleurs, la contrefaçon est sanctionnée dans le cadre dune réglementation nationale qui a transposé les dispositions de la législation type de lOMC en la matière dans le cadre de la protection des droits de propriété intellectuelle liés au commerce (les ADPICS).
Toutes les marchandises de contrefaçon (tabac et autres) sont systématiquement saisies et détruits par décision de justice. De même que le propriétaire de la marque contrefaite peut demander des réparations civiles.","Le commerce illicite et la contrebande de tabac sont réprimés par les dispositions de lordonnance 05-06 de lannée 2005 relative à la lutte contre la contrebande. Cette ordonnance prévoit des sanctions comportant: 
-	la confiscation du tabac et des moyens de transport saisis; 
-	la confiscation de tous matériels destinés à la fabrication illicite de tabac ;
-	des peines demprisonnement.
Par ailleurs la contrefaçon est sanctionnée dans le cadre dune réglementation nationale qui a transposé les dispositions de la législation type de lOMC en la matière dans le cadre de la protection des droits de propriété intellectuelle liés au commerce (les ADPICS).
Toutes les marchandises de contrefaçon (tabac et autres) sont systématiquement saisies et détruites par décision de justice. De même que le propriétaire de la marque contrefaite peut demander des réparations civiles.","WHO African Region"
"4","Angola","Angola has a National Revenue Authority (ARA)  which is under the direct supervision of Ministry of Finance and therefore adheres to the MoF policies. The ARA is the department responsible for collection of customs data and taxes. It is independent of the tax directorate in the MoF and can propose a tax amendment upon request and justification by a relevant Ministry or agency. The approval of the amendment will however be submitted to MoF and the latter will submit it to the Cabinet, the National Assembly, and finally, the President. Angola is facing the challenge of illicit products including tobacco though it was reported to be infrequent. There has been seizure of illicit tobacco products mostly on their way to Namibia. This occurs because cigarettes are considered to be cheaper in Angola comparing to Namibia where the taxes are higher. The other source of illicit tobacco was mentioned to be China.  Upon seizure, the products were kept under joint commission by the Revenue Authority, Ministry of Health, Ministry of Finance and Commerce and later burnt. There are fines too upon capture but these were not articulated in details. Any person traveling out of Angola who wishes to carry tobacco is allowed to take 20 packets for personal use.","Angola has a National Revenue Authority (ARA)  which is under the direct supervision of Ministry of Finance and therefore adheres to the MoF policies. The ARA is the department responsible for collection of customs data and taxes. It is independent of the tax directorate in the MoF and can propose a tax amendment upon request and justification by a relevant Ministry or agency. The approval of the amendment will however be submitted to MoF and the latter will submit it to the Cabinet, the National Assembly, and finally, the President. Angola is facing the challenge of illicit products including tobacco though it was reported to be infrequent. There has been seizure of illicit tobacco products mostly on their way to Namibia. This occurs because cigarettes are considered to be cheaper in Angola comparing to Namibia where the taxes are higher. The other source of illicit tobacco was mentioned to be China.  Upon seizure, the products were kept under joint commission by the Revenue Authority, Ministry of Health, Ministry of Finance and Commerce and later burnt. There are fines too upon capture but these were not articulated in details. Any person traveling out of Angola who wishes to carry tobacco is allowed to take 20 packets for personal use.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Australia has in place a strong legislative and regulatory framework to combat the illicit trade of tobacco products including:
• Excise Act 1901 and the Excise Tariff Act 1921 - provide a strong regulatory regime for licensing the manufacture and storage of tobacco products, controlling the movement of product on which excise has not been paid, and sanctions and penalties for contravention of the regulatory provisions.
• Criminal Code Act 1995 - contains relevant offences including in relation to bribery of officials, dealing with proceeds of crime, obtaining financial advantage by deception and participating in a criminal group.
• Crimes Act 1914 - provides for search and seizure by the Australian Federal Police.
• Customs Act 1901 provides for offences and penalties for importation with intent to defraud revenue, unlawful possession of smuggled goods and evading payment of any duty. 
• Proceeds of Crime Act 2002 - provides a comprehensive scheme for tracing, investigating, restraining and confiscating proceeds generated from Commonwealth indictable offences, foreign indictable offences and certain offences against state and territory law.
• Tobacco Plain Packaging Act 2011 – requires all tobacco products sold, offered for sale or otherwise supplied in Australia to be in plain packaging.  It provides offences for the selling, supplying, purchasing or manufacturing of non-compliant tobacco products.

As part of Australia’s ongoing efforts to combat the illicit trade in tobacco, the Australian Government Department of Home Affairs and Australian Border Force have an active ongoing role in monitoring and undertaking enforcement activity in relation to illicit tobacco importation. In 2015, the Australian Government established the Tobacco Strike Team, to proactively target, disrupt, and dismantle organised crime syndicates involved in large-scale importations of illicit tobacco and their global supply chains. Based on its early successes, in May 2016, the Australian Government announced $7.7 million in additional Tobacco Strike Team funding. 

In addition the Australian Government has the Illicit Tobacco Interdepartmental Committee (now the Tobacco Control Interdepartmental Committee) which provides whole-of-Government strategic direction and oversight of the government’s response to tackling the illicit trade in tobacco. 

In relation to the Protocol to eliminate illicit trade in tobacco products (ITP), under domestic arrangements, Australia is able to accede to the Protocol once all the necessary domestic laws to implement obligations under the Protocol are in place.  For Australia to become a Party to the Protocol, legal and regulatory changes would be required to achieve full compliance, including the implementation of a track and trace regime.","Australia has in place a strong legislative and regulatory framework to combat the illicit trade of tobacco products including:
•	Excise Act 1901 and the Excise Tariff Act 1921 - provide a strong regulatory regime for licensing the manufacture and storage of tobacco products, controlling the movement of product on which excise has not been paid, and sanctions and penalties for contravention of the regulatory provisions.
•	Criminal Code Act 1995 - contains relevant offences including in relation to bribery of officials, dealing with proceeds of crime, obtaining financial advantage by deception and participating in a criminal group.
•	Crimes Act 1914 - provides for search and seizure by the Australian Federal Police.
•	Customs Act 1901 provides for seizure and disposal by the Australian Border Force.  It also includes offences for smuggling tobacco or tobacco products and conveying or possessing smuggled tobacco products, and allows a penalty of up to ten years imprisonment to be imposed, in addition to the monetary penalty of up to five times the amount of duty evaded.
•	Proceeds of Crime Act 2002 - provides a comprehensive scheme for tracing, investigating, restraining and confiscating proceeds generated from Commonwealth indictable offences, foreign indictable offences and certain offences against state and territory law.
•	Tobacco Plain Packaging Act 2011 – requires all tobacco products sold, offered for sale or otherwise supplied in Australia to be in plain packaging.  It provides offences for the selling, supplying, purchasing or manufacturing of non-compliant tobacco products.

As part of Australia’s ongoing work to reduce illicit trade in tobacco, the Australian Taxation Office (ATO) and the Australian Department of Immigration and Border Protection (DIBP) have an active ongoing role in monitoring and enforcement activity in relation to illicit tobacco production or importation. In 2015, the DIBP established a specialised intelligence unit and the Tobacco Strike Team, to provide an improved understanding of the illicit tobacco market and the syndicates involved in tobacco smuggling activities, and target serious organised crime syndicates and other commercial enterprises that are exploiting the border to make significant profits from illicit goods including tobacco.
 In addition the Australian Government established the Illicit Tobacco Interdepartmental Committee which provides whole-of-Government strategic direction and oversight of the government’s response to tackling the illicit trade in tobacco.  

In relation to the Protocol to eliminate illicit trade in tobacco products (ITP), under domestic arrangements, Australia is able to accede to the Protocol once all the necessary domestic laws to implement obligations under the Protocol are in place.  For Australia to become a Party to the Protocol, legal and regulatory changes would be required to achieve full compliance, including the implementation of a track and trace regime.  The Department of Immigration and Border Protection is investigating track and trace as part of broader supply chain security measures.","Australia has in place a strong legislative and regulatory framework to combat the illicit trade of tobacco products. The Australian Taxation Office (ATO) and the Australian Customs and Border Protection Service (ACBPS) have an active ongoing role in monitoring and enforcement activity in relation to illicit tobacco production or importation. 
Current excise law provides a strong regulatory regime for licensing the manufacture and storage of tobacco products. controlling the movement of product on which excise has not been paid. and attendant sanctions and penalties for contravention of the regulatory provisions. Primary legislation is the Excise Act 1901 and the Excise Tariff Act 1921. 
The Criminal Code Act 1995 contains relevant offences including in relation to bribery of officials. dealing with proceeds of crime. obtaining financial advantage by deception and participating in a criminal group. 
The Crimes Act 1914 provides for search and seizure by the Australian Federal Police. The Customs Act 1901 provides for seizure and disposal by the Australian Customs and Border Protection Service. The Proceeds of Crime Act 2002 provides a comprehensive scheme for tracing. investigating. restraining and confiscating proceeds generated from Commonwealth indictable offences. foreign indictable offences and certain offences against state and territory law.
Recent steps taken by the Australian Government. as part of its ongoing work to reduce illicit trade in tobacco. include increased penalties for tobacco smuggling. On 6 November 2012. the Customs Amendment (Smuggled Tobacco) Act 2012 received Royal Assent. The Act created new offences for smuggling tobacco or tobacco products and conveying or possessing smuggled tobacco products. and allows a penalty of up to ten years imprisonment to be imposed. in addition to the existing monetary penalty of up to five times the amount of duty evaded. These changes are intended to more accurately reflect the risks posed to the Australian community and the seriousness of the offences. and to provide a strong deterrent to criminals.
In relation to the Protocol to eliminate illicit trade in tobacco products (ITP). Australia was actively involved in the negotiation of the text of the ITP. participating in all the drafting group meetings and the Intergovernmental Negotiating Body. Australia has commenced work on the domestic processes that precede a decision by the Australian Government on whether to accede to the ITP.","WHO Western Pacific Region"
"8","Austria","Austria, as the first country of the WHO European Region and the first EU Member State, has signed and ratified the Protocol on Illicit Trade in 2014. By so doing, Austria underlined the important role the Protocol is meant to play.  

Austria supports an enhanced international cooperation by participating in operational activities of the EU-EMPACT action plan.

Implementation of an EU-wide track and trace system for tobacco products in progress in accordance with the EU tobacco products directive (TPD II).","Austria, as the first country of the WHO European Region and the first EU Member State, has signed and ratified the Protocol on Illicit Trade in 2014. By so doing, Austria underlined the important role the Protocol is meant to play.","Answer not provided","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","","Passage and Implementation of the Tobacco Excise Stamp Tax Act 2013","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Ratification of Illicit trade Protocol is still under negotiation in the Government.","Ratification of Illicit trade Protocol is still under negotiation in the Government.","Collaboration between Ministry of Health and Ministry of Interior is strenghthened to combat illicit trade of tobacco products. Ratification of Illicit trade Protocol is under negotiation in the Government","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","there is continued dialogue with law enforcement and customs departments","Unfortunately not much progress however there is continued dialogue with law enforcement and customs departments","Answer not provided","WHO Region of the Americas"
"14","Belarus","Активное выявление и конфискация нелегально продаваемого товара.","Активное выявление и конфискация нелегально продаваемого товара.","Active detection and confiscation of illegally sold goods","WHO European Region"
"15","Belgium","les articles 15 et 16 de la nouvelle directive européenne 2014/40/UE est dapplication seront dapplication pour les cigarettes et le tabac à rouler à partir du 20 mai 2019. Les autorités belges travaillent activement à la mise en place de ces mesures.","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","une unité mixte de contrôle des conteneurs est mise en place au niveau du port autonome de Cotonou et le responsable de cette unité est le point focal tabac du ministère de lintérieur. il procède à la saisie de tous les produits de tabac illicite qui arrivent au port de cotonou","une unité mixte de contrôle des conteneurs est mise en place au niveau du port autonome de Cotonou et le responsable de cette unité est le point focal tabac du ministère de lintérieur. il procède à la saisie de tous les produits de tabac illicite qui arrivent au port de cotonou","la signature du protocole sur le commerce illicite du tabac en septembre 2013","WHO African Region"
"18","Bhutan","stakeholders consultation meetings were held.","Answer not provided","A total fines of Ngultrum 6 14 200/- has been collected and 
138 number of people convicted for the period 2011 until 2013 and their tobacco products confiscated","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"21","Botswana","Tobacco Control Unit is working in collaboration with other departments including non governmental organisation to investigate and prosecute to eliminate illicit trade.  Some of the departments or bodies helping in combating illicit trade are Botswana Unified Revenue Services, Botswana Police Service, Attorney General Chambers, Anti Tobacco Network and Directorate of Public Prosecution.","Report not provided","Report not provided","WHO African Region"
"22","Brazil","- The text of the Protocol was approved by the Chamber of Deputies and the Federal Senate. In the Federal Senate, an interpretative declaration was added to his text. Presidential sanction is needed.
- Seminars on the Protocol to Eliminate Illicit Trade in Tobacco Products were held;
- Studies on the subject were conducted.
- Brazil already has several measures to combat illicit trade such as the Trace System, which allows full control of all cigarette production lines in its territory, as well as a solid regulatory framework for licensing and inspection. However, there is a need to map and study the current situation of the country against the measures established in the Protocol, to have a better understanding and establish a plan of action for its implementation.","xxx","Answer not provided","WHO Region of the Americas"
"23","Brunei Darussalam","1) Customs Excise Order 2017 has been amended by increasing the tax on tobacco products by 100%.
2) Cooperation(s) between other enforcement agencies have been enhanced in areas encompassing inland, maritime and border areas.","Report not provided","Answer not provided","WHO Western Pacific Region"
"24","Bulgaria","In 2015 and 2016 there was a decrease of illegal trade to about 7% of the market, which is a result of increased control, especially in 2015. In fact, in 2016 and reported the lowest levels of consumption illegal cigarettes - about 1 billion pieces. However, the revenues of the illegal market remain serious - BGN 120-170 million in 2016.","Answer not provided","In the last two years Customs Agency has developed and implemented automated system for excise goods. Since 2013 for tax warehouses that produce and store tobacco products applies online control system about input and output quantities of tobacco products.","WHO European Region"
