"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","20.00","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","55.00","55.00","Answer not provided","WHO African Region"
"4","Angola","80.00","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","60.31","60.31","Answer not provided","WHO Western Pacific Region"
"8","Austria","78.93","77.46","77.15","WHO European Region"
"9","Azerbaijan","23.00","23.00","30.5","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","60.00","26.00","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","81.00","81.00","Answer not provided","WHO South-East Asia Region"
"13","Barbados","48.00","48.00","Answer not provided","WHO Region of the Americas"
"14","Belarus","53.70","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","79.00","77.00","Answer not provided","WHO European Region"
"16","Belize","Report not provided","37.11","21.2","WHO Region of the Americas"
"17","Benin","40.00","40.00","45","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","42.00","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","82.50","Answer not provided","73","WHO European Region"
"21","Botswana","30.00","Report not provided","Report not provided","WHO African Region"
"22","Brazil","79.00","77.00","Answer not provided","WHO Region of the Americas"
"23","Brunei Darussalam","Answer not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"24","Bulgaria","Answer not provided","Answer not provided","80","WHO European Region"
"25","Burkina Faso","Answer not provided","Answer not provided","55","WHO African Region"
"26","Burundi","Report not provided","37.00","Report not provided","WHO African Region"
"27","Cambodia","31.10","Report not provided","Answer not provided","WHO Western Pacific Region"
"28","Cameroon","19.00","19.00","Answer not provided","WHO African Region"
"29","Canada","64.06","70.00","Answer not provided","WHO Region of the Americas"
"30","Cape Verde","30.50","30.50","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","33.00","Report not provided","Report not provided","WHO African Region"
"33","Chile","81.00","81.00","83","WHO Region of the Americas"
"34","China","62.00","62.00","Answer not provided","WHO Western Pacific Region"
"35","Colombia","62.40","Answer not provided","Answer not provided","WHO Region of the Americas"
"36","Comoros","Answer not provided","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","Answer not provided","32","WHO African Region"
"38","Cook Islands","Answer not provided","Answer not provided","38.1","WHO Western Pacific Region"
"39","Costa Rica","78.00","78.00","Answer not provided","WHO Region of the Americas"
"40","Côte d'Ivoire","43.00","42.00","Answer not provided","WHO African Region"
"41","Croatia","77.00","81.71","79.68","WHO European Region"
"42","Cyprus","Report not provided","29.00","Answer not provided","WHO European Region"
"43","Czech Republic","78.31","85.80","77.87","WHO European Region"
"44","Democratic People's Republic of Korea","Answer not provided","Report not provided","Answer not provided","WHO South-East Asia Region"
"45","Democratic Republic of the Congo","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"46","Denmark","79.00","79.00","Answer not provided","WHO European Region"
"47","Djibouti","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"48","Dominica","Report not provided","75.00","Report not provided","WHO Region of the Americas"
"49","Ecuador","69.97","73.02","Answer not provided","WHO Region of the Americas"
"50","Egypt","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"51","El Salvador","52.50","Answer not provided","Answer not provided","WHO Region of the Americas"
"52","Equatorial Guinea","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"53","Estonia","65.74","Answer not provided","Answer not provided","WHO European Region"
"54","Ethiopia","Report not provided","Report not provided","Report not provided","WHO African Region"
"55","European Union","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"56","Fiji","Report not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"57","Finland","86.10","83.20","80","WHO European Region"
"58","France","80.00","80.00","80","WHO European Region"
"59","Gabon","32.00","30.00","Answer not provided","WHO African Region"
"60","Gambia","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"61","Georgia","Answer not provided","54.00","Answer not provided","WHO European Region"
"62","Germany","72.03","77.05","Answer not provided","WHO European Region"
"63","Ghana","30.10","30.10","88","WHO African Region"
"64","Greece","Report not provided","68.00","Answer not provided","WHO European Region"
"65","Grenada","Answer not provided","Answer not provided","73","WHO Region of the Americas"
"66","Guatemala","49.00","57.00","Answer not provided","WHO Region of the Americas"
"67","Guinea","Report not provided","18.00","Report not provided","WHO African Region"
"68","Guinea-Bissau","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"69","Guyana","14.00","Report not provided","Report not provided","WHO Region of the Americas"
"70","Honduras","18.00","18.00","Answer not provided","WHO Region of the Americas"
"71","Hungary","Report not provided","75.93","Answer not provided","WHO European Region"
"72","Iceland","56.00","56.00","Answer not provided","WHO European Region"
"73","India","Report not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"74","Iran (Islamic Republic of)","20.00","5.00","Answer not provided","WHO Eastern Mediterranean Region"
"75","Iraq","0.00","100.00","Answer not provided","WHO Eastern Mediterranean Region"
"76","Ireland","79.25","79.70","78.3","WHO European Region"
"77","Israel","Report not provided","Report not provided","Report not provided","WHO European Region"
"78","Italy","77.00","77.00","76.53","WHO European Region"
"79","Jamaica","52.48","40.18","Answer not provided","WHO Region of the Americas"
"80","Japan","63.10","64.40","Answer not provided","WHO Western Pacific Region"
"81","Jordan","90.30","72.00","Answer not provided","WHO Eastern Mediterranean Region"
"82","Kazakhstan","Answer not provided","Report not provided","24","WHO European Region"
"83","Kenya","Answer not provided","Answer not provided","52","WHO African Region"
"84","Kiribati","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"85","Kuwait","100.00","100.00","Answer not provided","WHO Eastern Mediterranean Region"
"86","Kyrgyzstan","Report not provided","30.00","Answer not provided","WHO European Region"
"87","Lao People's Democratic Republic","Answer not provided","Answer not provided","19.7","WHO Western Pacific Region"
"88","Latvia","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"89","Lebanon","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"90","Lesotho","Report not provided","Report not provided","Answer not provided","WHO African Region"
"91","Liberia","23.20","23.20","Report not provided","WHO African Region"
"92","Libya","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"93","Lithuania","83.00","83.00","Answer not provided","WHO European Region"
"94","Luxembourg","68.68","Answer not provided","70","WHO European Region"
"95","Madagascar","20.00","20.00","73.50","WHO African Region"
"96","Malaysia","74.00","Answer not provided","53","WHO Western Pacific Region"
"97","Maldives","50.00","50.00","48.6","WHO South-East Asia Region"
"98","Mali","35.00","35.00","79.73","WHO African Region"
"99","Malta","75.60","76.00","75.26","WHO European Region"
"100","Marshall Islands","Answer not provided","Answer not provided","28.6","WHO Western Pacific Region"
"101","Mauritania","9.00","9.00","14","WHO African Region"
"102","Mauritius","85.30","Answer not provided","65","WHO African Region"
"103","Mexico","67.00","65.00","Answer not provided","WHO Region of the Americas"
"104","Micronesia (Federated States of)","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"105","Mongolia","33.30","Report not provided","Answer not provided","WHO Western Pacific Region"
"106","Montenegro","Answer not provided","Answer not provided","57","WHO European Region"
"107","Myanmar","Answer not provided","100.00","Answer not provided","WHO South-East Asia Region"
"108","Namibia","Report not provided","Report not provided","Report not provided","WHO African Region"
"109","Nauru","Report not provided","46.00","Report not provided","WHO Western Pacific Region"
"110","Nepal","27.00","Report not provided","Answer not provided","WHO South-East Asia Region"
"111","Netherlands","Answer not provided","78.51","Answer not provided","WHO European Region"
"112","New Zealand","Answer not provided","Answer not provided","76","WHO Western Pacific Region"
"113","Nicaragua","49.69","19.00","Report not provided","WHO Region of the Americas"
"114","Niger","Report not provided","Answer not provided","Report not provided","WHO African Region"
"115","Nigeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"116","Niue","Report not provided","Report not provided","12.5","WHO Western Pacific Region"
"117","Norway","63.00","66.00","Answer not provided","WHO European Region"
"118","Oman","21.00","21.00","25","WHO Eastern Mediterranean Region"
"119","Pakistan","54.00","65.00","Answer not provided","WHO Eastern Mediterranean Region"
"120","Palau","71.00","71.00","70","WHO Western Pacific Region"
"121","Panama","59.20","59.20","59.2","WHO Region of the Americas"
"122","Papua New Guinea","44.00","100.00","Answer not provided","WHO Western Pacific Region"
"123","Paraguay","16.00","19.00","Answer not provided","WHO Region of the Americas"
"124","Peru","52.00","Answer not provided","38.6","WHO Region of the Americas"
"125","Philippines","69.50","70.00","Answer not provided","WHO Western Pacific Region"
"126","Poland","80.00","79.00","Answer not provided","WHO European Region"
"127","Portugal","79.90","78.08","83","WHO European Region"
"128","Qatar","100.00","100.00","Answer not provided","WHO Eastern Mediterranean Region"
"129","Republic of Korea","74.00","74.00","Answer not provided","WHO Western Pacific Region"
"130","Republic of Moldova","41.00","34.00","Answer not provided","WHO European Region"
"131","Romania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"132","Russian Federation","Report not provided","41.00","Answer not provided","WHO European Region"
"133","Rwanda","Report not provided","Report not provided","Report not provided","WHO African Region"
"134","Saint Kitts and Nevis","Report not provided","Answer not provided","Report not provided","WHO Region of the Americas"
"135","Saint Lucia","63.50","Answer not provided","Report not provided","WHO Region of the Americas"
"136","Saint Vincent and the Grenadines","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"137","Samoa","Answer not provided","Answer not provided","Report not provided","WHO Western Pacific Region"
"138","San Marino","Answer not provided","Answer not provided","74.2","WHO European Region"
"139","Sao Tome and Principe","Answer not provided","Report not provided","12.4","WHO African Region"
"140","Saudi Arabia","100.00","Answer not provided","100","WHO Eastern Mediterranean Region"
"141","Senegal","Answer not provided","Answer not provided","70.9","WHO African Region"
"142","Serbia","77.87","77.98","Answer not provided","WHO European Region"
"143","Seychelles","72.00","71.00","66.7","WHO African Region"
"144","Sierra Leone","13.20","10.00","Answer not provided","WHO African Region"
"145","Singapore","68.00","68.00","68","WHO Western Pacific Region"
"146","Slovakia","Report not provided","79.00","90","WHO European Region"
"147","Slovenia","78.40","78.40","79.81","WHO European Region"
"148","Solomon Islands","28.00","Report not provided","30","WHO Western Pacific Region"
"149","South Africa","52.00","Answer not provided","Answer not provided","WHO African Region"
"150","Spain","79.94","79.94","79.04","WHO European Region"
"151","Sri Lanka","75.60","Answer not provided","Report not provided","WHO South-East Asia Region"
"152","Sudan","Answer not provided","Report not provided","Report not provided","WHO Eastern Mediterranean Region"
"153","Suriname","51.00","69.00","69","WHO Region of the Americas"
"154","Swaziland","Report not provided","Answer not provided","Report not provided","WHO African Region"
"155","Sweden","78.00","78.00","Answer not provided","WHO European Region"
"156","Syrian Arab Republic","Answer not provided","Answer not provided","Report not provided","WHO Eastern Mediterranean Region"
"157","Tajikistan","Report not provided","Report not provided","Answer not provided","WHO European Region"
"158","Thailand","78.00","Answer not provided","Answer not provided","WHO South-East Asia Region"
"159","The former Yugoslav Republic of Macedonia","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"160","Timor-Leste","Answer not provided","Report not provided","Report not provided","WHO South-East Asia Region"
"161","Togo","45.00","45.00","45","WHO African Region"
"162","Tonga","Report not provided","59.00","Answer not provided","WHO Western Pacific Region"
"163","Trinidad and Tobago","34.00","34.00","Answer not provided","WHO Region of the Americas"
"164","Tunisia","74.00","74.00","Answer not provided","WHO Eastern Mediterranean Region"
"165","Turkey","84.00","84.00","Answer not provided","WHO European Region"
"166","Turkmenistan","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"167","Tuvalu","Report not provided","Report not provided","14.8","WHO Western Pacific Region"
"168","Uganda","Report not provided","Answer not provided","40.3","WHO African Region"
"169","Ukraine","70.00","70.00","60","WHO European Region"
"170","United Arab Emirates","20.00","20.00","Answer not provided","WHO Eastern Mediterranean Region"
"171","United Kingdom of Great Britain and Northern Ireland","Report not provided","Answer not provided","Report not provided","WHO European Region"
"172","United Republic of Tanzania","Answer not provided","Answer not provided","28.1","WHO African Region"
"173","Uruguay","66.00","65.50","Answer not provided","WHO Region of the Americas"
"174","Uzbekistan","Report not provided","19.00","Answer not provided","WHO European Region"
"175","Vanuatu","Report not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"176","Venezuela","Report not provided","Report not provided","Answer not provided","WHO Region of the Americas"
