Art. 5
General Trade,Tobacco Trade,Minimal distance,Centroid Distance,Country Borders,GlobalLink Posts,GlobalLink Referrals,FCTC COP co-participation,FCTC INB co-participation,Interest Group co-membership
rho,-0.03 (0.15) ,0.06 (0.09) ,-0.02 (0.09) ,-0.04 (0.31) ,0.07 (0.08) ,0.01 (0.13) ,0.00 (0.08) ,-0.18 (0.17) ,-0.45 (0.17) ***,-0.02 (0.09) 
Gov. Ownership,1.42 (0.68) **,1.37 (0.67) **,1.41 (0.67) **,1.48 (0.70) **,1.32 (0.67) **,1.40 (0.66) **,1.40 (0.68) **,1.45 (0.69) **,1.45 (0.77) *,1.41 (0.68) **
Tobacco Prod. PP,-0.08 (0.22) ,-0.08 (0.21) ,-0.07 (0.22) ,-0.10 (0.23) ,-0.07 (0.21) ,-0.08 (0.22) ,-0.07 (0.22) ,-0.10 (0.22) ,-0.14 (0.26) ,-0.07 (0.21) 
Years since Sign.,0.35 (0.19) *,0.33 (0.19) *,0.34 (0.19) *,0.38 (0.21) *,0.32 (0.19) *,0.34 (0.19) *,0.34 (0.19) *,0.35 (0.20) *,0.44 (0.23) *,0.34 (0.19) *
Years since Ratif.,0.87 (0.16) ***,0.86 (0.15) ***,0.85 (0.15) ***,0.92 (0.19) ***,0.85 (0.15) ***,0.85 (0.15) ***,0.85 (0.15) ***,0.88 (0.16) ***,1.04 (0.20) ***,0.86 (0.16) ***
GDP pp,0.31 (0.23) ,0.28 (0.23) ,0.30 (0.23) ,0.31 (0.25) ,0.28 (0.23) ,0.30 (0.23) ,0.29 (0.24) ,0.24 (0.24) ,0.15 (0.27) ,0.30 (0.23) 
Democracy,0.55 (0.29) *,0.54 (0.29) *,0.54 (0.29) *,0.58 (0.31) *,0.55 (0.28) *,0.54 (0.29) *,0.54 (0.28) *,0.51 (0.29) *,0.43 (0.32) ,0.53 (0.29) *
PolShift,-0.37 (0.48) ,-0.39 (0.48) ,-0.36 (0.47) ,-0.38 (0.50) ,-0.34 (0.46) ,-0.38 (0.46) ,-0.38 (0.47) ,-0.34 (0.48) ,-0.26 (0.52) ,-0.36 (0.47) 
Art. 6
rho,-0.02 (0.14) ,0.01 (0.09) ,-0.05 (0.09) ,-0.34 (0.32) ,-0.03 (0.08) ,0.06 (0.11) ,0.07 (0.08) ,-0.24 (0.16) ,-0.35 (0.17) **,-0.00 (0.09) 
