"General Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.02 ","0.30 ***","0.13 ","0.45 ***","0.08 "
"","(0.10)","(0.12)","(0.22)","(0.15)","(0.14)"
"Gov. Ownership","-0.01 ","0.17 ","0.37 ","0.34 ","0.32 "
"","(0.42)","(0.49)","(0.41)","(1.02)","(1.30)"
"Tobacco Prod. PP","0.17 ","-0.10 ","-0.46 **","0.48 ","0.45 "
"","(0.22)","(0.26)","(0.21)","(0.54)","(0.69)"
"Years since Sign.","0.14 ","0.31 **","0.09 ","-0.13 ","0.13 "
"","(0.13)","(0.15)","(0.13)","(0.34)","(0.43)"
"Years since Ratif.","0.17 *","0.15 ","0.15 *","0.98 ***","0.76 ***"
"","(0.09)","(0.10)","(0.08)","(0.22)","(0.28)"
"GDP pp","-0.16 ","0.23 ","-0.23 ","-0.04 ","0.14 "
"","(0.15)","(0.18)","(0.14)","(0.36)","(0.46)"
"Democracy","0.06 ","0.02 ","0.15 ","-0.56 ","-0.02 "
"","(0.17)","(0.20)","(0.17)","(0.43)","(0.54)"
"% Female Smoke","-0.02 ","0.34 *","0.45 ***","0.20 ","0.84 "
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.52)"
"% Male Smoke","0.24 ","0.36 *","0.14 ","0.36 ","0.15 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.58)"
"Labor","-0.11 ","-0.02 ","-0.03 ","-0.62 ","-1.05 *"
"","(0.20)","(0.23)","(0.19)","(0.48)","(0.62)"
"Women's rights","-0.13 ","0.81 ","0.39 ","-0.74 ","2.50 *"
"","(0.44)","(0.53)","(0.43)","(1.09)","(1.38)"
"Population","0.24 ","0.32 ","-0.04 ","-0.15 ","0.01 "
"","(0.20)","(0.23)","(0.19)","(0.48)","(0.61)"
"Eastern Mediterranean","0.42 ","-0.71 ","0.89 ","-3.01 *","1.79 "
"","(0.70)","(0.83)","(0.68)","(1.73)","(2.19)"
"European","0.35 ","-0.00 ","-0.22 ","0.17 ","1.88 "
"","(0.45)","(0.53)","(0.44)","(1.11)","(1.42)"
"African","0.35 ","-0.49 ","-0.39 ","-1.88 *","1.33 "
"","(0.42)","(0.50)","(0.41)","(1.06)","(1.35)"
"Western Pacific","0.57 ","-0.32 ","0.12 ","-1.85 ","2.81 *"
"","(0.51)","(0.60)","(0.50)","(1.26)","(1.60)"
"South-East Asia","0.29 ","-0.08 ","-0.06 ","-2.47 ","0.80 "
"","(0.65)","(0.77)","(0.63)","(1.59)","(2.03)"
"(Intercept)","1.89 ","-2.57 ","1.36 ","4.48 ","1.09 "
"","(1.34)","(1.59)","(1.30)","(3.34)","(4.22)"
"Bloomberg Count","-0.11 ","-0.05 ","0.03 ","0.18 ","0.19 "
"","(0.13)","(0.15)","(0.12)","(0.31)","(0.40)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.11","0.07","0.06","0.04"
"Tobacco Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.02 ","0.24 **","0.28 **","0.28 **","0.10 "
"","(0.08)","(0.09)","(0.14)","(0.11)","(0.11)"
"Gov. Ownership","-0.01 ","0.14 ","0.35 ","0.49 ","0.31 "
"","(0.42)","(0.49)","(0.40)","(1.03)","(1.30)"
"Tobacco Prod. PP","0.16 ","-0.28 ","-0.49 **","0.08 ","0.35 "
"","(0.21)","(0.25)","(0.21)","(0.53)","(0.67)"
"Years since Sign.","0.14 ","0.36 **","0.12 ","0.01 ","0.15 "
"","(0.13)","(0.15)","(0.12)","(0.33)","(0.42)"
"Years since Ratif.","0.16 *","0.11 ","0.15 *","0.94 ***","0.74 ***"
"","(0.09)","(0.10)","(0.08)","(0.23)","(0.28)"
"GDP pp","-0.16 ","0.24 ","-0.25 *","-0.02 ","0.13 "
"","(0.15)","(0.17)","(0.14)","(0.37)","(0.46)"
"Democracy","0.06 ","-0.04 ","0.14 ","-0.65 ","-0.05 "
