"Article 5","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.23 ","-0.09 ","-0.06 ","-0.00 ","0.03 "
"","(0.27)","(0.08)","(0.06)","(0.03)","(0.03)"
"Lagged Y (Number of Items)","0.43 ***","0.43 ***","0.43 ***","0.43 ***","0.44 ***"
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Americas","-0.55 ","-0.66 *","-0.69 *","-0.66 *","-0.73 *"
"","(0.40)","(0.38)","(0.38)","(0.38)","(0.38)"
"African","-0.25 ","-0.34 ","-0.35 ","-0.29 ","-0.33 "
"","(0.37)","(0.37)","(0.37)","(0.36)","(0.37)"
"European","-0.49 ","-0.48 ","-0.50 ","-0.45 ","-0.54 "
"","(0.38)","(0.38)","(0.38)","(0.38)","(0.39)"
"South-East Asia","-0.61 ","-0.50 ","-0.55 ","-0.54 ","-0.58 "
"","(0.38)","(0.37)","(0.37)","(0.37)","(0.37)"
"Western Pacific","-0.52 ","-0.44 ","-0.48 ","-0.49 ","-0.55 "
"","(0.36)","(0.36)","(0.36)","(0.36)","(0.36)"
"Democracy (POLITY)","0.01 ","0.01 ","0.01 ","0.01 ","0.01 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"GDP per capita (ppp)","0.02 ","0.05 ","0.04 ","0.03 ","0.03 "
"","(0.20)","(0.20)","(0.20)","(0.20)","(0.20)"
"Tobacco Prod. per capita","0.00 ","-0.00 ","0.00 ","0.00 ","0.01 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"% Female Smoke","-0.99 ","-0.83 ","-0.89 ","-0.91 ","-0.92 "
"","(1.05)","(1.04)","(1.04)","(1.04)","(1.03)"
"% Male Smoke","0.29 ","0.20 ","0.26 ","0.26 ","0.34 "
"","(0.67)","(0.67)","(0.67)","(0.67)","(0.68)"
"Women's Labor","0.00 ","0.00 ","0.01 ","0.00 ","0.01 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Women's rights","0.00 ","0.00 ","0.00 ","0.00 ","0.00 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Bloomberg $$$ PP","-0.34 ","-0.33 ","-0.33 ","-0.34 ","-0.35 "
"","(0.28)","(0.28)","(0.28)","(0.28)","(0.28)"
"Government Ownership","0.27 ","0.31 ","0.31 ","0.31 ","0.27 "
"","(0.22)","(0.22)","(0.22)","(0.22)","(0.22)"
"Control of Corruption","-0.20 ","-0.23 ","-0.22 ","-0.21 ","-0.16 "
"","(0.20)","(0.20)","(0.20)","(0.21)","(0.21)"
"Rule of Law","0.15 ","0.17 ","0.16 ","0.16 ","0.10 "
"","(0.24)","(0.24)","(0.24)","(0.25)","(0.25)"
"Health Exp. per capita (ppp)","0.05 ","0.03 ","0.04 ","0.05 ","0.06 "
"","(0.15)","(0.15)","(0.15)","(0.15)","(0.15)"
"Years since Sign.","0.05 ","0.05 ","0.05 ","0.05 ","0.04 "
"","(0.05)","(0.05)","(0.05)","(0.05)","(0.05)"
"Years since Ratif.","0.06 ","0.06 ","0.06 ","0.06 ","0.05 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Year 2014","-0.45 ","-0.40 ","-0.24 ","-0.08 ","-0.09 "
"","(0.46)","(0.32)","(0.23)","(0.16)","(0.16)"
"Year 2016","-0.69 ","-0.24 ","-0.26 ","-0.33 **","-0.32 *"
"","(0.46)","(0.19)","(0.18)","(0.17)","(0.17)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of Bloomberg funds'. "
