"Article 14","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.01 ","-0.00 ","0.07 ","-0.00 ","0.05 *"
"","(0.27)","(0.09)","(0.06)","(0.03)","(0.03)"
"Lagged Y (Number of Items)","0.67 ***","0.67 ***","0.67 ***","0.67 ***","0.67 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","0.52 ","0.51 ","0.81 ","0.51 ","-0.00 "
"","(2.08)","(2.05)","(2.06)","(2.05)","(2.07)"
"African","-0.37 ","-0.39 ","0.04 ","-0.38 ","-0.63 "
"","(2.01)","(1.98)","(2.00)","(1.98)","(1.98)"
"European","0.63 ","0.65 ","0.84 ","0.67 ","-0.01 "
"","(2.13)","(2.08)","(2.08)","(2.09)","(2.11)"
"South-East Asia","0.60 ","0.62 ","0.57 ","0.64 ","0.42 "
"","(2.05)","(2.06)","(2.03)","(2.06)","(2.03)"
"Western Pacific","1.41 ","1.43 ","1.15 ","1.44 ","1.07 "
"","(1.98)","(2.00)","(1.98)","(1.99)","(1.98)"
"Democracy (POLITY)","-0.14 ","-0.14 ","-0.16 ","-0.14 ","-0.11 "
"","(0.19)","(0.19)","(0.19)","(0.19)","(0.19)"
"GDP per capita (ppp)","0.35 ","0.36 ","0.31 ","0.36 ","0.32 "
"","(1.07)","(1.08)","(1.07)","(1.08)","(1.08)"
"Tobacco Prod. per capita","-0.12 ","-0.12 ","-0.12 ","-0.12 ","-0.08 "
"","(0.14)","(0.14)","(0.14)","(0.14)","(0.14)"
"% Female Smoke","-1.34 ","-1.28 ","-1.52 ","-1.24 ","-1.44 "
"","(5.66)","(5.57)","(5.50)","(5.57)","(5.50)"
"% Male Smoke","1.25 ","1.23 ","1.44 ","1.23 ","1.72 "
"","(3.97)","(3.98)","(3.94)","(3.97)","(4.00)"
"Women's Labor","-0.01 ","-0.01 ","-0.01 ","-0.01 ","0.01 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.06)"
"Women's rights","0.03 ","0.03 ","0.03 ","0.03 ","0.03 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Government Ownership","0.07 ","0.08 ","0.12 ","0.10 ","-0.21 "
"","(1.16)","(1.15)","(1.15)","(1.18)","(1.16)"
"Control of Corruption","-0.58 ","-0.58 ","-0.60 ","-0.60 ","-0.12 "
"","(1.07)","(1.07)","(1.07)","(1.09)","(1.10)"
"Rule of Law","0.25 ","0.25 ","0.33 ","0.27 ","-0.24 "
"","(1.31)","(1.31)","(1.31)","(1.33)","(1.33)"
"Health Exp. per capita (ppp)","1.63 **","1.63 **","1.62 **","1.62 **","1.72 **"
"","(0.81)","(0.81)","(0.80)","(0.81)","(0.82)"
"Years since Sign.","0.39 ","0.40 ","0.36 ","0.40 ","0.34 "
"","(0.29)","(0.29)","(0.29)","(0.29)","(0.29)"
"Years since Ratif.","-0.32 ","-0.32 ","-0.30 ","-0.32 ","-0.39 *"
"","(0.21)","(0.21)","(0.21)","(0.21)","(0.21)"
"Year 2014","-1.38 ","-1.34 ","-0.38 ","-1.29 ","-1.51 *"
"","(1.82)","(1.48)","(1.10)","(0.82)","(0.82)"
"Year 2016","-2.94 ","-2.82 **","-3.35 ***","-2.84 ***","-2.87 ***"
"","(2.03)","(1.13)","(0.95)","(0.86)","(0.85)"
"N","501","501","501","501","501"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the lagged number of items reported. "
