"Article 5","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.06 ","-0.14 ","-0.10 ","0.01 ","0.01 "
"","(0.31)","(0.09)","(0.07)","(0.04)","(0.04)"
"Americas","-0.87 *","-0.90 **","-0.96 **","-0.90 **","-0.92 **"
"","(0.47)","(0.44)","(0.44)","(0.44)","(0.45)"
"African","-0.42 ","-0.50 ","-0.54 ","-0.43 ","-0.44 "
"","(0.43)","(0.43)","(0.43)","(0.43)","(0.43)"
"European","-0.47 ","-0.50 ","-0.54 ","-0.47 ","-0.49 "
"","(0.45)","(0.44)","(0.45)","(0.44)","(0.45)"
"South-East Asia","-0.71 ","-0.64 ","-0.72 *","-0.70 ","-0.71 "
"","(0.44)","(0.43)","(0.43)","(0.43)","(0.43)"
"Western Pacific","-0.62 ","-0.54 ","-0.60 ","-0.62 ","-0.63 "
"","(0.42)","(0.42)","(0.42)","(0.42)","(0.43)"
"Democracy (POLITY)","0.02 ","0.02 ","0.02 ","0.02 ","0.02 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"GDP per capita (ppp)","-0.06 ","-0.03 ","-0.03 ","-0.06 ","-0.06 "
"","(0.23)","(0.23)","(0.23)","(0.23)","(0.23)"
"Tobacco Prod. per capita","-0.01 ","-0.01 ","-0.01 ","-0.01 ","-0.01 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"% Female Smoke","-1.77 ","-1.63 ","-1.72 ","-1.75 ","-1.76 "
"","(1.23)","(1.22)","(1.23)","(1.22)","(1.22)"
"% Male Smoke","0.24 ","0.13 ","0.21 ","0.24 ","0.25 "
"","(0.77)","(0.77)","(0.77)","(0.78)","(0.78)"
"Women's Labor","0.00 ","0.00 ","0.00 ","0.00 ","0.00 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Women's rights","0.00 ","0.00 ","0.00 ","0.00 ","0.00 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Government Ownership","0.72 ***","0.73 ***","0.73 ***","0.72 ***","0.72 ***"
"","(0.25)","(0.25)","(0.25)","(0.25)","(0.25)"
"Control of Corruption","-0.34 ","-0.37 ","-0.36 ","-0.33 ","-0.33 "
"","(0.23)","(0.23)","(0.23)","(0.24)","(0.23)"
"Rule of Law","0.32 ","0.34 ","0.33 ","0.30 ","0.30 "
"","(0.28)","(0.28)","(0.28)","(0.29)","(0.28)"
"Health Exp. per capita (ppp)","0.16 ","0.13 ","0.15 ","0.16 ","0.16 "
"","(0.17)","(0.17)","(0.17)","(0.17)","(0.17)"
"Years since Sign.","0.08 ","0.08 ","0.09 ","0.08 ","0.08 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.06)"
"Years since Ratif.","0.19 ***","0.19 ***","0.19 ***","0.19 ***","0.19 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.05)"
"Year 2014","0.57 ","0.20 ","0.37 ","0.66 ***","0.66 ***"
"","(0.53)","(0.36)","(0.26)","(0.17)","(0.17)"
"Year 2016","0.58 ","0.80 ***","0.78 ***","0.67 ***","0.67 ***"
"","(0.52)","(0.19)","(0.19)","(0.17)","(0.17)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This is the baseline specification. "
