"Article 5","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","-0.05 ","-0.01 ","-0.00 ","-0.02 ","0.03 "
"","(0.20)","(0.05)","(0.03)","(0.03)","(0.04)"
"Lagged Y (Number of Items)","0.35 ***","0.36 ***","0.35 ***","0.36 ***","0.36 ***"
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"No report","-10.32 ","-10.32 ","-10.32 ","-10.34 ","-10.29 "
"","(441.30)","(440.30)","(439.85)","(433.70)","(445.88)"
"Americas","-0.18 ","-0.18 ","-0.18 ","-0.17 ","-0.19 "
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.12)"
"African","-0.12 ","-0.12 ","-0.12 ","-0.12 ","-0.13 "
"","(0.15)","(0.15)","(0.15)","(0.15)","(0.15)"
"European","-0.12 ","-0.12 ","-0.12 ","-0.11 ","-0.13 "
"","(0.16)","(0.16)","(0.16)","(0.16)","(0.16)"
"Western Pacific","-0.06 ","-0.06 ","-0.06 ","-0.05 ","-0.06 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"South-East Asia","0.01 ","0.01 ","0.01 ","0.01 ","-0.00 "
"","(0.09)","(0.09)","(0.09)","(0.09)","(0.09)"
"Control of Corruption","-0.02 ","-0.02 ","-0.02 ","-0.02 ","-0.02 "
"","(0.19)","(0.19)","(0.19)","(0.19)","(0.19)"
"Rule of Law","0.25 ","0.25 ","0.25 ","0.24 ","0.25 "
"","(0.20)","(0.20)","(0.20)","(0.20)","(0.20)"
"GDP pp","-0.18 *","-0.18 *","-0.18 *","-0.18 *","-0.18 *"
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"Years since Ratif.","0.02 ","0.02 ","0.02 ","0.02 ","0.02 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Tobacco Prod. PP","0.01 ","0.01 ","0.01 ","0.01 ","0.02 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.06)"
"% Female Smoke","-0.05 ","-0.05 ","-0.05 ","-0.05 ","-0.06 "
"","(0.09)","(0.09)","(0.09)","(0.09)","(0.09)"
"% Male Smoke","0.17 **","0.17 **","0.17 **","0.17 **","0.17 **"
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"Women's Labor","-0.11 ","-0.11 ","-0.11 ","-0.11 ","-0.11 "
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"Women's rights","0.04 ","0.04 ","0.04 ","0.04 ","0.04 "
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"Population","0.10 ","0.10 ","0.10 ","0.10 ","0.11 "
"","(0.07)","(0.07)","(0.07)","(0.07)","(0.07)"
"Government Ownership","0.10 ","0.11 ","0.10 ","0.10 ","0.09 "
"","(0.21)","(0.21)","(0.21)","(0.21)","(0.21)"
"Year 2014","-0.25 *","-0.25 *","-0.25 *","-0.26 *","-0.25 *"
"","(0.15)","(0.15)","(0.15)","(0.15)","(0.15)"
"Year 2016","-0.33 **","-0.33 **","-0.33 **","-0.33 **","-0.33 **"
"","(0.16)","(0.16)","(0.16)","(0.16)","(0.16)"
"Health Exp.","-0.00 ","-0.00 ","-0.00 ","0.00 ","-0.01 "
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.12)"
"N","519","519","519","519","519"
"AIC","1606.53","1606.59","1606.60","1606.16","1606.18"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes a dummy equal to 1 when the member did not provided a report on 2012. "
