"Article 6","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.61 **","0.12 ","0.16 ***","0.09 ***","0.09 ***"
"","(0.28)","(0.09)","(0.06)","(0.03)","(0.04)"
"Lagged Y (Number of Items)","0.60 ***","0.59 ***","0.59 ***","0.58 ***","0.59 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","0.80 *","0.67 ","0.75 *","0.66 ","0.51 "
"","(0.44)","(0.44)","(0.44)","(0.44)","(0.44)"
"African","0.18 ","0.10 ","0.23 ","0.04 ","-0.03 "
"","(0.42)","(0.42)","(0.42)","(0.42)","(0.42)"
"European","0.43 ","0.66 ","0.71 ","0.53 ","0.43 "
"","(0.45)","(0.44)","(0.44)","(0.44)","(0.45)"
"South-East Asia","0.20 ","0.38 ","0.43 ","0.28 ","0.35 "
"","(0.44)","(0.43)","(0.43)","(0.43)","(0.43)"
"Western Pacific","0.84 **","0.89 **","0.88 **","0.84 **","0.84 **"
"","(0.42)","(0.42)","(0.41)","(0.42)","(0.42)"
"Democracy (POLITY)","0.00 ","0.00 ","-0.00 ","0.00 ","0.01 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"GDP per capita (ppp)","-0.01 ","-0.01 ","-0.00 ","-0.02 ","-0.01 "
"","(0.24)","(0.24)","(0.24)","(0.23)","(0.24)"
"Tobacco Prod. per capita","-0.01 ","-0.02 ","-0.02 ","-0.00 ","-0.00 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"% Female Smoke","-0.20 ","-0.10 ","-0.06 ","0.01 ","-0.02 "
"","(1.24)","(1.25)","(1.21)","(1.22)","(1.22)"
"% Male Smoke","-0.60 ","-0.60 ","-0.58 ","-0.58 ","-0.52 "
"","(0.74)","(0.74)","(0.73)","(0.74)","(0.73)"
"Women's Labor","-0.00 ","-0.00 ","-0.00 ","0.00 ","0.00 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Women's rights","0.01 *","0.01 **","0.01 *","0.01 *","0.01 *"
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Bloomberg FCTC $$$ PP","-0.54 *","-0.58 *","-0.62 **","-0.52 ","-0.58 *"
"","(0.31)","(0.32)","(0.31)","(0.31)","(0.31)"
"Government Ownership","0.13 ","0.24 ","0.24 ","0.10 ","0.15 "
"","(0.25)","(0.25)","(0.25)","(0.25)","(0.25)"
"Control of Corruption","-0.54 **","-0.53 **","-0.55 **","-0.40 *","-0.40 *"
"","(0.23)","(0.23)","(0.23)","(0.24)","(0.24)"
"Rule of Law","0.43 ","0.42 ","0.44 ","0.27 ","0.26 "
"","(0.28)","(0.28)","(0.28)","(0.28)","(0.28)"
"Health Exp. per capita (ppp)","0.14 ","0.17 ","0.16 ","0.17 ","0.18 "
"","(0.18)","(0.18)","(0.18)","(0.18)","(0.18)"
"Years since Sign.","0.07 ","0.08 ","0.08 ","0.06 ","0.07 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.06)"
"Years since Ratif.","-0.04 ","-0.04 ","-0.03 ","-0.05 ","-0.06 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Year 2014","-0.62 *","0.46 ","0.51 **","0.02 ","0.02 "
"","(0.35)","(0.35)","(0.25)","(0.17)","(0.17)"
"Year 2016","-0.40 ","0.24 ","0.20 ","0.35 **","0.40 **"
"","(0.41)","(0.21)","(0.19)","(0.18)","(0.18)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of FCTC Bloomberg funds'. "
