"Article 6","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.67 **","0.16 *","0.20 ***","0.09 ***","0.10 ***"
"","(0.27)","(0.09)","(0.06)","(0.03)","(0.03)"
"Lagged Y (Number of Items)","0.56 ***","0.55 ***","0.55 ***","0.54 ***","0.55 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","0.97 **","0.85 **","0.94 **","0.86 **","0.70 *"
"","(0.39)","(0.39)","(0.39)","(0.39)","(0.39)"
"African","0.49 ","0.42 ","0.58 ","0.33 ","0.26 "
"","(0.40)","(0.40)","(0.40)","(0.40)","(0.40)"
"European","0.62 ","0.87 **","0.92 **","0.75 *","0.61 "
"","(0.42)","(0.41)","(0.41)","(0.41)","(0.42)"
"South-East Asia","0.73 *","0.93 **","1.02 **","0.85 **","0.91 **"
"","(0.44)","(0.43)","(0.42)","(0.43)","(0.42)"
"Western Pacific","1.11 ***","1.14 ***","1.15 ***","1.10 ***","1.08 ***"
"","(0.40)","(0.41)","(0.40)","(0.40)","(0.40)"
"Democracy (POLITY)","0.00 ","0.01 ","-0.00 ","-0.00 ","0.01 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"GDP per capita (ppp)","-0.03 ","-0.04 ","-0.02 ","-0.06 ","-0.06 "
"","(0.23)","(0.23)","(0.23)","(0.23)","(0.23)"
"Tobacco Prod. per capita","-0.03 ","-0.03 ","-0.03 ","-0.02 ","-0.01 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"% Female Smoke","0.76 ","0.89 ","0.98 ","0.93 ","0.89 "
"","(1.18)","(1.19)","(1.15)","(1.18)","(1.18)"
"% Male Smoke","-0.67 ","-0.63 ","-0.53 ","-0.64 ","-0.54 "
"","(0.76)","(0.77)","(0.75)","(0.75)","(0.74)"
"Women's Labor","-0.01 ","-0.01 ","-0.01 ","-0.00 ","0.00 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"PolShift","0.03 ","0.04 ","0.03 ","0.02 ","0.03 "
"","(0.20)","(0.20)","(0.19)","(0.20)","(0.20)"
"Bloomberg FCTC #","0.08 ","0.09 ","0.07 ","0.07 ","0.08 "
"","(0.16)","(0.16)","(0.16)","(0.16)","(0.16)"
"Government Ownership","0.02 ","0.14 ","0.14 ","0.01 ","0.04 "
"","(0.24)","(0.24)","(0.24)","(0.24)","(0.24)"
"Health Exp. per capita (ppp)","0.11 ","0.15 ","0.13 ","0.15 ","0.17 "
"","(0.17)","(0.17)","(0.17)","(0.17)","(0.17)"
"Years since Ratif.","-0.11 ***","-0.10 **","-0.09 **","-0.11 ***","-0.13 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Year 2014","-0.62 *","0.63 *","0.65 ***","0.08 ","0.11 "
"","(0.33)","(0.34)","(0.24)","(0.18)","(0.18)"
"Year 2016","-0.17 ","0.46 *","0.40 *","0.67 ***","0.79 ***"
"","(0.40)","(0.25)","(0.24)","(0.23)","(0.23)"
"N","478","478","478","478","478"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes Bloomberg FCTC count, Political Shifts, and a lagged number of items implemented. "
