"Article 8","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","1.04 ***","0.15 ","0.07 ","0.08 **","0.05 "
"","(0.30)","(0.11)","(0.08)","(0.04)","(0.04)"
"Lagged Y (Number of Items)","0.49 ***","0.49 ***","0.49 ***","0.48 ***","0.49 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","-0.31 ","-0.66 ","-0.64 ","-0.69 ","-0.71 *"
"","(0.43)","(0.42)","(0.42)","(0.42)","(0.43)"
"African","-0.79 *","-0.97 **","-0.98 **","-1.03 **","-1.06 ***"
"","(0.41)","(0.41)","(0.41)","(0.40)","(0.41)"
"European","-0.88 **","-0.75 *","-0.74 *","-0.87 **","-0.83 *"
"","(0.42)","(0.42)","(0.42)","(0.43)","(0.43)"
"South-East Asia","-0.84 **","-0.71 *","-0.67 ","-0.79 *","-0.72 *"
"","(0.42)","(0.43)","(0.43)","(0.43)","(0.43)"
"Western Pacific","-0.45 ","-0.35 ","-0.36 ","-0.40 ","-0.37 "
"","(0.40)","(0.41)","(0.41)","(0.41)","(0.41)"
"Democracy (POLITY)","-0.01 ","-0.01 ","-0.01 ","-0.01 ","-0.01 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"GDP per capita (ppp)","0.04 ","0.06 ","0.07 ","0.06 ","0.06 "
"","(0.22)","(0.22)","(0.22)","(0.22)","(0.22)"
"Tobacco Prod. per capita","-0.07 **","-0.08 **","-0.08 **","-0.07 **","-0.07 **"
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"% Female Smoke","0.99 ","1.13 ","1.23 ","1.37 ","1.17 "
"","(1.15)","(1.17)","(1.17)","(1.16)","(1.16)"
"% Male Smoke","-0.30 ","-0.33 ","-0.39 ","-0.25 ","-0.32 "
"","(0.76)","(0.77)","(0.77)","(0.78)","(0.77)"
"Women's Labor","0.01 ","0.00 ","0.00 ","0.00 ","0.01 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Women's rights","0.01 ","0.01 ","0.01 ","0.00 ","0.00 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Bloomberg #","0.05 ","0.05 ","0.04 ","0.04 ","0.04 "
"","(0.05)","(0.05)","(0.05)","(0.05)","(0.05)"
"Government Ownership","0.02 ","0.07 ","0.09 ","-0.02 ","0.05 "
"","(0.24)","(0.24)","(0.24)","(0.24)","(0.24)"
"Control of Corruption","-0.38 *","-0.35 ","-0.36 ","-0.26 ","-0.30 "
"","(0.22)","(0.22)","(0.22)","(0.23)","(0.23)"
"Rule of Law","0.38 ","0.36 ","0.37 ","0.27 ","0.29 "
"","(0.27)","(0.27)","(0.27)","(0.27)","(0.28)"
"Health Exp. per capita (ppp)","-0.01 ","0.01 ","-0.00 ","-0.00 ","0.00 "
"","(0.16)","(0.16)","(0.16)","(0.16)","(0.16)"
"Years since Sign.","0.03 ","0.04 ","0.04 ","0.03 ","0.03 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.06)"
"Years since Ratif.","0.00 ","0.01 ","0.01 ","0.01 ","0.00 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Year 2014","-3.05 ***","-0.22 ","-0.34 ","-0.56 ***","-0.54 **"
"","(0.77)","(0.26)","(0.23)","(0.20)","(0.21)"
"Year 2016","-3.52 ***","-1.28 ***","-1.02 ***","-0.96 ***","-0.94 ***"
"","(0.80)","(0.40)","(0.31)","(0.22)","(0.23)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'Number of Bloomberg project'. "
