"General Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.02 ","0.30 ***","0.12 ","0.45 ***","0.08 "
"","(0.10)","(0.12)","(0.22)","(0.15)","(0.14)"
"Gov. Ownership","-0.02 ","0.15 ","0.45 ","0.35 ","0.50 "
"","(0.42)","(0.50)","(0.41)","(1.03)","(1.30)"
"Tobacco Prod. PP","0.17 ","-0.10 ","-0.44 **","0.48 ","0.48 "
"","(0.22)","(0.26)","(0.21)","(0.54)","(0.68)"
"Years since Sign.","0.14 ","0.32 **","0.09 ","-0.13 ","0.12 "
"","(0.13)","(0.15)","(0.13)","(0.34)","(0.42)"
"Years since Ratif.","0.17 *","0.15 ","0.14 *","0.98 ***","0.73 ***"
"","(0.09)","(0.10)","(0.08)","(0.22)","(0.28)"
"GDP pp","-0.16 ","0.23 ","-0.20 ","-0.04 ","0.21 "
"","(0.15)","(0.18)","(0.14)","(0.37)","(0.47)"
"Democracy","0.08 ","0.03 ","0.12 ","-0.58 ","-0.08 "
"","(0.17)","(0.20)","(0.17)","(0.43)","(0.54)"
"% Female Smoke","-0.02 ","0.34 *","0.46 ***","0.20 ","0.87 *"
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.52)"
"% Male Smoke","0.23 ","0.36 *","0.12 ","0.38 ","0.12 "
"","(0.18)","(0.22)","(0.18)","(0.45)","(0.57)"
"Labor","-0.14 ","-0.03 ","-0.02 ","-0.57 ","-1.01 *"
"","(0.19)","(0.23)","(0.18)","(0.48)","(0.60)"
"Women's rights","-0.15 ","0.78 ","0.45 ","-0.70 ","2.67 *"
"","(0.45)","(0.53)","(0.43)","(1.09)","(1.39)"
"Population","0.11 ","0.27 *","-0.04 ","0.05 ","0.15 "
"","(0.12)","(0.14)","(0.11)","(0.29)","(0.36)"
"Eastern Mediterranean","0.37 ","-0.73 ","0.90 ","-2.92 *","1.87 "
"","(0.70)","(0.82)","(0.67)","(1.72)","(2.17)"
"European","0.38 ","0.02 ","-0.26 ","0.12 ","1.74 "
"","(0.45)","(0.53)","(0.43)","(1.11)","(1.41)"
"African","0.34 ","-0.50 ","-0.37 ","-1.88 *","1.37 "
"","(0.42)","(0.50)","(0.41)","(1.06)","(1.35)"
"Western Pacific","0.59 ","-0.28 ","-0.06 ","-1.88 ","2.38 "
"","(0.52)","(0.62)","(0.51)","(1.29)","(1.64)"
"South-East Asia","0.34 ","-0.04 ","-0.18 ","-2.55 ","0.48 "
